Website,CDN_Server_1,CDN_Server_2,CDN_Server_3,CDN_Server_4,CDN_Server_5,CDN_Server_6,CDN_Server_7,CDN_Server_8,CDN_Server_9,CDN_Server_10,CDN_Server_11,CDN_Server_12,CDN_Server_13
google.com,syd09s23-in-f14.1e100.net,mil07s08-in-f14.1e100.net,yyz10s20-in-f14.1e100.net,lhr48s30-in-f14.1e100.net,yq-in-f138.1e100.net,lga34s39-in-f14.1e100.net,lga34s32-in-f14.1e100.net,bom07s26-in-f14.1e100.net,sof01s11-in-f110.1e100.net,si-in-f138.1e100.net,nuq04s45-in-f14.1e100.net,lga25s73-in-f14.1e100.net,sfo03s24-in-f14.1e100.net
facebook.com,edge-star-mini-shv-01-fra3.facebook.com,edge-star-mini-shv-01-ams2.facebook.com,edge-star-mini-shv-01-iad3.facebook.com,edge-star-mini-shv-01-lhr8.facebook.com,edge-star-mini-shv-04-sin6.facebook.com,edge-star-mini-shv-01-syd2.facebook.com,edge-star-mini-shv-02-lga3.facebook.com,edge-star-mini-shv-01-yyz1.facebook.com,edge-star-mini-shv-02-pnq1.facebook.com,edge-star-mini-shv-01-lga3.facebook.com,edge-star-mini-shv-01-sjc3.facebook.com,,
apple.com,applescript.apple.com,advertising.apple.com,brkgls.com,apple.com.my,firewire.apple.com,livepage.apple.com,guide.apple.com,icloud.com,iworktrialbuy.apple.com,apple.com.bo,apple.com.au,shake.apple.com,
youtube.com,sfo03s27-in-f14.1e100.net,ams15s41-in-f14.1e100.net,syd15s06-in-f14.1e100.net,bom12s19-in-f14.1e100.net,sg-in-f93.1e100.net,lga25s71-in-f14.1e100.net,yyz12s08-in-f14.1e100.net,lga25s81-in-f14.1e100.net,lga34s34-in-f14.1e100.net,fra16s50-in-f14.1e100.net,nuq04s43-in-f14.1e100.net,ya-in-f190.1e100.net,lhr48s27-in-f14.1e100.net
googleapis.com,ys-in-f104.1e100.net,lga34s31-in-f4.1e100.net,sfo03s27-in-f4.1e100.net,yyz12s06-in-f4.1e100.net,bom07s37-in-f4.1e100.net,lhr25s13-in-f4.1e100.net,nuq04s42-in-f4.1e100.net,lga25s77-in-f4.1e100.net,lga34s37-in-f4.1e100.net,ams17s10-in-f4.1e100.net,fra24s12-in-f4.1e100.net,sa-in-f104.1e100.net,syd09s24-in-f4.1e100.net
instagram.com,instagram-p42-shv-04-sin6.fbcdn.net,instagram-p42-shv-02-lhr8.fbcdn.net,instagram-p42-shv-01-sjc3.fbcdn.net,instagram-p42-shv-01-syd2.fbcdn.net,instagram-p42-shv-01-iad3.fbcdn.net,instagram-p42-shv-01-yyz1.fbcdn.net,instagram-p42-shv-02-fra3.fbcdn.net,instagram-p42-shv-02-pnq1.fbcdn.net,instagram-p42-shv-02-lga3.fbcdn.net,instagram-p42-shv-01-ams2.fbcdn.net,,,
gstatic.com,syd15s17-in-f3.1e100.net,lga25s81-in-f3.1e100.net,lga34s38-in-f3.1e100.net,nuq04s44-in-f3.1e100.net,sfo03s27-in-f3.1e100.net,fra16s51-in-f3.1e100.net,bom12s12-in-f3.1e100.net,ams17s12-in-f3.1e100.net,lhr25s34-in-f3.1e100.net,yyz12s07-in-f3.1e100.net,lga34s33-in-f3.1e100.net,sh-in-f94.1e100.net,yx-in-f120.1e100.net
googletagmanager.com,sfo03s24-in-f8.1e100.net,sl-in-f97.1e100.net,yyz12s08-in-f8.1e100.net,syd09s25-in-f8.1e100.net,bom12s17-in-f8.1e100.net,ams17s08-in-f8.1e100.net,ya-in-f97.1e100.net,lga25s80-in-f8.1e100.net,sfo03s25-in-f8.1e100.net,ams16s21-in-f200.1e100.net,lga34s36-in-f8.1e100.net,fra24s07-in-f8.1e100.net,lga25s72-in-f8.1e100.net
googlevideo.com,sd-in-f99.1e100.net,yyz12s07-in-f4.1e100.net,atl26s14-in-f4.1e100.net,sfo03s32-in-f4.1e100.net,syd15s17-in-f4.1e100.net,yi-in-f99.1e100.net,pnbomb-ab-in-f4.1e100.net,lhr26s05-in-f4.1e100.net,lga25s79-in-f4.1e100.net,lga25s73-in-f4.1e100.net,lhr25s31-in-f4.1e100.net,lga25s78-in-f4.1e100.net,fra16s48-in-f4.1e100.net
fbcdn.net,edge-star-mini-shv-02-lhr8.facebook.com,edge-star-mini-shv-02-fra5.facebook.com,edge-star-mini-shv-01-ams2.facebook.com,edge-star-mini-shv-01-iad3.facebook.com,edge-star-mini-shv-04-sin6.facebook.com,edge-star-mini-shv-01-syd2.facebook.com,edge-star-mini-shv-02-lga3.facebook.com,edge-star-mini-shv-01-yyz1.facebook.com,edge-star-mini-shv-02-pnq1.facebook.com,edge-star-mini-shv-01-lga3.facebook.com,edge-star-mini-shv-01-sjc3.facebook.com,,
doubleclick.net,sfo03s27-in-f14.1e100.net,bom12s12-in-f14.1e100.net,ams15s41-in-f14.1e100.net,lhr25s32-in-f14.1e100.net,sfo03s32-in-f14.1e100.net,yq-in-f139.1e100.net,sh-in-f139.1e100.net,lga25s74-in-f14.1e100.net,fra16s51-in-f14.1e100.net,lga34s38-in-f14.1e100.net,syd15s16-in-f14.1e100.net,yyz12s06-in-f14.1e100.net,lga25s77-in-f14.1e100.net
googleusercontent.com,lga34s36-in-f1.1e100.net,bom12s20-in-f1.1e100.net,yyz10s14-in-f1.1e100.net,lhr48s29-in-f1.1e100.net,syd15s17-in-f1.1e100.net,ams17s10-in-f1.1e100.net,lga34s34-in-f1.1e100.net,nuq04s44-in-f1.1e100.net,yb-in-f132.1e100.net,sfo03s21-in-f1.1e100.net,sc-in-f132.1e100.net,fra16s08-in-f193.1e100.net,
googlesyndication.com,yyz12s07-in-f4.1e100.net,syd09s25-in-f4.1e100.net,lga34s34-in-f4.1e100.net,nuq04s39-in-f4.1e100.net,prg03s05-in-f4.1e100.net,fra24s02-in-f4.1e100.net,bom07s37-in-f4.1e100.net,nuq04s43-in-f4.1e100.net,yt-in-f106.1e100.net,lga25s79-in-f4.1e100.net,lga25s73-in-f4.1e100.net,lhr25s26-in-f4.1e100.net,sl-in-f106.1e100.net
icloud.com,apple.com.my,apple.com.gy,world-any.aaplimg.com,apple.es,vipd-healthcheck.a01.3banana.com,apple.com.co,seminars.apple.com,apple.fr,apple.com.do,icloud.com,apple.com,,
youtu.be,ams15s42-in-f14.1e100.net,lga34s40-in-f14.1e100.net,mil07s08-in-f14.1e100.net,sfo03s25-in-f14.1e100.net,sc-in-f91.1e100.net,yx-in-f91.1e100.net,pnbomb-ac-in-f14.1e100.net,lhr25s32-in-f14.1e100.net,syd15s15-in-f14.1e100.net,lga25s78-in-f14.1e100.net,lga34s35-in-f14.1e100.net,nuq04s43-in-f14.1e100.net,yyz12s07-in-f14.1e100.net
netflix.com,ec2-3-225-92-8.compute-1.amazonaws.com,ec2-52-3-144-142.compute-1.amazonaws.com,ec2-52-38-7-83.us-west-2.compute.amazonaws.com,ec2-44-240-158-19.us-west-2.compute.amazonaws.com,ec2-54-160-93-182.compute-1.amazonaws.com,ec2-3-251-50-149.eu-west-1.compute.amazonaws.com,ec2-3-211-157-115.compute-1.amazonaws.com,ec2-54-170-196-176.eu-west-1.compute.amazonaws.com,ec2-44-242-13-161.us-west-2.compute.amazonaws.com,ec2-54-74-73-31.eu-west-1.compute.amazonaws.com,ec2-54-155-178-5.eu-west-1.compute.amazonaws.com,,
