Website,CDN_Server_1,CDN_Server_2,CDN_Server_3,CDN_Server_4,CDN_Server_5,CDN_Server_6,CDN_Server_7,CDN_Server_8,CDN_Server_9,CDN_Server_10,CDN_Server_11,CDN_Server_12,CDN_Server_13,IP1,IP2,IP3,IP4,IP5,IP6,IP7,IP8,IP9,IP10,IP11,IP12,IP13
facebook.com,edge-star-mini-shv-02-pnq1.facebook.com,edge-star-mini-shv-01-fra3.facebook.com,edge-star-mini-shv-01-sjc3.facebook.com,edge-star-mini-shv-02-lga3.facebook.com,edge-star-mini-shv-01-ams2.facebook.com,edge-star-mini-shv-01-lga3.facebook.com,edge-star-mini-shv-01-lhr8.facebook.com,edge-star-mini-shv-01-iad3.facebook.com,edge-star-mini-shv-04-sin6.facebook.com,edge-star-mini-shv-01-yyz1.facebook.com,edge-star-mini-shv-01-syd2.facebook.com,,,157.240.237.35,157.240.252.35,157.240.22.35,157.240.241.35,157.240.247.35,31.13.71.36,157.240.221.35,31.13.66.35,157.240.235.35,31.13.80.36,157.240.8.35,None,None
instagram.com,instagram-p42-shv-01-iad3.fbcdn.net,instagram-p42-shv-01-yyz1.fbcdn.net,instagram-p42-shv-01-syd2.fbcdn.net,instagram-p42-shv-02-lhr8.fbcdn.net,instagram-p42-shv-01-sjc3.fbcdn.net,instagram-p42-shv-02-pnq1.fbcdn.net,instagram-p42-shv-02-lga3.fbcdn.net,instagram-p42-shv-04-sin6.fbcdn.net,instagram-p42-shv-02-fra3.fbcdn.net,instagram-p42-shv-01-ams2.fbcdn.net,,,,31.13.66.174,31.13.80.174,157.240.8.174,157.240.214.174,157.240.22.174,157.240.237.174,157.240.241.174,157.240.235.174,157.240.0.174,157.240.247.174,None,None,None
fbcdn.net,edge-star-mini-shv-02-pnq1.facebook.com,edge-star-mini-shv-01-sjc3.facebook.com,edge-star-mini-shv-02-lga3.facebook.com,edge-star-mini-shv-01-ams2.facebook.com,edge-star-mini-shv-01-lga3.facebook.com,edge-star-mini-shv-04-sin6.facebook.com,edge-star-mini-shv-01-iad3.facebook.com,edge-star-mini-shv-01-yyz1.facebook.com,edge-star-mini-shv-02-fra5.facebook.com,edge-star-mini-shv-02-lhr8.facebook.com,edge-star-mini-shv-01-syd2.facebook.com,,,157.240.237.35,157.240.22.35,157.240.241.35,157.240.247.35,31.13.71.36,157.240.235.35,31.13.66.35,31.13.80.36,157.240.253.35,157.240.214.35,157.240.8.35,None,None
whatsapp.net,whatsapp-cdn-shv-01-sjc3.fbcdn.net,whatsapp-cdn-shv-02-lga3.fbcdn.net,whatsapp-cdn-shv-02-fra3.fbcdn.net,whatsapp-cdn-shv-01-lga3.fbcdn.net,whatsapp-cdn-shv-04-sin6.fbcdn.net,whatsapp-cdn-shv-01-syd2.fbcdn.net,whatsapp-cdn-shv-02-pnq1.fbcdn.net,whatsapp-cdn-shv-01-ams4.fbcdn.net,whatsapp-cdn-shv-01-yyz1.fbcdn.net,whatsapp-cdn-shv-02-iad3.fbcdn.net,whatsapp-cdn-shv-02-lhr8.fbcdn.net,,,157.240.22.53,157.240.241.60,157.240.0.60,31.13.71.49,157.240.235.60,157.240.8.53,157.240.237.60,157.240.201.60,31.13.80.53,157.240.229.60,157.240.214.60,None,None
appsflyersdk.com,server-13-227-254-70.sin52.r.cloudfront.net,server-18-164-124-109.jfk50.r.cloudfront.net,server-108-158-20-81.syd62.r.cloudfront.net,server-18-164-124-45.jfk50.r.cloudfront.net,server-13-227-219-129.ams54.r.cloudfront.net,server-18-245-96-68.yto50.r.cloudfront.net,server-18-173-121-93.sfo53.r.cloudfront.net,server-108-159-80-97.bom78.r.cloudfront.net,server-18-173-121-98.sfo53.r.cloudfront.net,server-18-244-18-116.fra56.r.cloudfront.net,server-52-85-151-92.iad89.r.cloudfront.net,,,13.227.254.70,18.164.124.109,108.158.20.81,18.164.124.45,13.227.219.129,18.245.96.68,18.173.121.93,108.159.80.97,18.173.121.98,18.244.18.116,52.85.151.92,None,None
adobe.com,a96-16-53-152.deploy.static.akamaitechnologies.com,a23-46-187-168.deploy.static.akamaitechnologies.com,a23-44-136-162.deploy.static.akamaitechnologies.com,a23-44-136-158.deploy.static.akamaitechnologies.com,a23-198-214-132.deploy.static.akamaitechnologies.com,a23-223-17-138.deploy.static.akamaitechnologies.com,a23-67-33-138.deploy.static.akamaitechnologies.com,a23-67-33-152.deploy.static.akamaitechnologies.com,a23-48-246-143.deploy.static.akamaitechnologies.com,a2-16-10-172.deploy.static.akamaitechnologies.com,a23-55-38-249.deploy.static.akamaitechnologies.com,a23-73-138-240.deploy.static.akamaitechnologies.com,a184-28-235-169.deploy.static.akamaitechnologies.com,96.16.53.152,23.46.187.168,23.44.136.162,23.44.136.158,23.198.214.132,23.223.17.138,23.67.33.138,23.67.33.152,23.48.246.143,2.16.10.172,23.55.38.249,23.73.138.240,184.28.235.169
tiktokv.com,a23-48-165-85.deploy.static.akamaitechnologies.com,a2-21-20-14.deploy.static.akamaitechnologies.com,a184-28-190-18.deploy.static.akamaitechnologies.com,a184-28-190-75.deploy.static.akamaitechnologies.com,a23-194-131-154.deploy.static.akamaitechnologies.com,a184-28-190-34.deploy.static.akamaitechnologies.com,a173-222-162-40.deploy.static.akamaitechnologies.com,a173-222-162-25.deploy.static.akamaitechnologies.com,a23-48-247-240.deploy.static.akamaitechnologies.com,a23-209-46-136.deploy.static.akamaitechnologies.com,a104-88-71-75.deploy.static.akamaitechnologies.com,a2-16-6-23.deploy.static.akamaitechnologies.com,a23-201-31-226.deploy.static.akamaitechnologies.com,23.48.165.85,2.21.20.14,184.28.190.18,184.28.190.75,23.194.131.154,184.28.190.34,173.222.162.40,173.222.162.25,23.48.247.240,23.209.46.136,104.88.71.75,2.16.6.23,23.201.31.226
whatsapp.com,whatsapp-cdn-shv-01-ams2.fbcdn.net,whatsapp-cdn-shv-01-iad3.fbcdn.net,whatsapp-cdn-shv-02-lga3.fbcdn.net,whatsapp-cdn-shv-02-fra3.fbcdn.net,whatsapp-cdn-shv-04-sin6.fbcdn.net,whatsapp-cdn-shv-01-syd2.fbcdn.net,whatsapp-cdn-shv-02-pnq1.fbcdn.net,whatsapp-cdn-shv-01-lhr8.fbcdn.net,whatsapp-cdn-shv-01-yyz1.fbcdn.net,whatsapp-cdn-shv-01-sjc3.fbcdn.net,whatsapp-cdn-shv-01-lga3.fbcdn.net,,,157.240.247.60,31.13.66.56,157.240.241.60,157.240.0.60,157.240.235.60,157.240.8.53,157.240.237.60,157.240.221.60,31.13.80.53,157.240.22.53,31.13.71.49,None,None
tiktok.com,server-18-164-96-22.jfk50.r.cloudfront.net,server-108-158-20-54.syd62.r.cloudfront.net,server-18-164-96-16.jfk50.r.cloudfront.net,server-108-158-46-34.bom78.r.cloudfront.net,server-18-66-112-109.fra56.r.cloudfront.net,server-3-168-86-52.sfo5.r.cloudfront.net,server-3-168-86-124.sfo5.r.cloudfront.net,server-18-160-18-116.iad12.r.cloudfront.net,server-18-155-68-102.sin52.r.cloudfront.net,server-18-239-18-41.ams58.r.cloudfront.net,server-3-164-92-78.yto53.r.cloudfront.net,server-18-66-112-28.fra56.r.cloudfront.net,,18.164.96.22,108.158.20.54,18.164.96.16,108.158.46.34,18.66.112.109,3.168.86.52,3.168.86.124,18.160.18.116,18.155.68.102,18.239.18.41,3.164.92.78,18.66.112.28,None
unity3d.com,a23-40-161-9.deploy.static.akamaitechnologies.com,a23-58-115-33.deploy.static.akamaitechnologies.com,a23-206-222-76.deploy.static.akamaitechnologies.com,a23-203-73-209.deploy.static.akamaitechnologies.com,a104-114-71-31.deploy.static.akamaitechnologies.com,a23-214-118-35.deploy.static.akamaitechnologies.com,a23-201-163-46.deploy.static.akamaitechnologies.com,a104-100-80-224.deploy.static.akamaitechnologies.com,a23-41-180-234.deploy.static.akamaitechnologies.com,a184-29-114-32.deploy.static.akamaitechnologies.com,,,,23.40.161.9,23.58.115.33,23.206.222.76,23.203.73.209,104.114.71.31,23.214.118.35,23.201.163.46,104.100.80.224,23.41.180.234,184.29.114.32,None,None,None
