Website,IP Address,CDN Server
google.com,142.251.46.206,nuq04s45-in-f14.1e100.net
amazonaws.com,72.21.210.29,210-29.amazon.com
facebook.com,157.240.22.35,edge-star-mini-shv-01-sjc3.facebook.com
apple.com,17.253.144.10,shake.apple.com
youtube.com,142.250.191.78,nuq04s43-in-f14.1e100.net
googleapis.com,142.250.191.36,nuq04s42-in-f4.1e100.net
instagram.com,157.240.22.174,instagram-p42-shv-01-sjc3.fbcdn.net
gstatic.com,142.251.46.163,nuq04s44-in-f3.1e100.net
live.com,204.79.197.212,a-0010.a-msedge.net
googletagmanager.com,142.250.189.168,sfo03s24-in-f8.1e100.net
googlevideo.com,172.217.12.100,atl26s14-in-f4.1e100.net
amazon.com,Error,Error
fbcdn.net,157.240.22.35,edge-star-mini-shv-01-sjc3.facebook.com
doubleclick.net,142.251.214.142,sfo03s32-in-f14.1e100.net
googleusercontent.com,142.250.72.193,sfo03s21-in-f1.1e100.net
wikipedia.org,198.35.26.96,text-lb.ulsfo.wikimedia.org
googlesyndication.com,142.250.189.228,nuq04s39-in-f4.1e100.net
icloud.com,17.253.144.10,seminars.apple.com
youtu.be,142.250.191.78,nuq04s43-in-f14.1e100.net
github.com,140.82.116.4,lb-140-82-116-4-sea.github.com
netflix.com,44.240.158.19,ec2-44-240-158-19.us-west-2.compute.amazonaws.com
domaincontrol.com,127.0.0.1,localhost
whatsapp.net,157.240.22.53,whatsapp-cdn-shv-01-sjc3.fbcdn.net
yahoo.com,74.6.231.20,media-router-fp73.prod.media.vip.ne1.yahoo.com
appsflyersdk.com,18.173.121.98,server-18-173-121-98.sfo53.r.cloudfront.net
adobe.com,23.67.33.138,a23-67-33-138.deploy.static.akamaitechnologies.com
goo.gl,142.250.189.206,sfo03s25-in-f14.1e100.net
spotify.com,35.186.224.24,24.224.186.35.bc.googleusercontent.com
tiktokv.com,173.222.162.40,a173-222-162-40.deploy.static.akamaitechnologies.com
whatsapp.com,157.240.22.53,whatsapp-cdn-shv-01-sjc3.fbcdn.net
google-analytics.com,142.251.46.164,nuq04s44-in-f4.1e100.net
yandex.net,213.180.204.242,any.yandex.ru
nic.ru,31.177.80.4,www.nic.ru
gandi.net,217.70.185.65,v5.gandi.net
ntp.org,204.93.207.22,slb0.chi1.ntfo.org
tiktok.com,3.168.86.124,server-3-168-86-124.sfo5.r.cloudfront.net
blogspot.com,142.250.189.201,sfo03s25-in-f9.1e100.net
mozilla.org,35.190.14.201,201.14.190.35.bc.googleusercontent.com
unity3d.com,104.100.80.224,a104-100-80-224.deploy.static.akamaitechnologies.com
googleadservices.com,142.250.191.34,nuq04s42-in-f2.1e100.net
lencr.org,50.18.142.31,ec2-50-18-142-31.us-west-1.compute.amazonaws.com
googledomains.com,216.239.32.29,any-in-201d.1e100.net
intuit.com,104.103.183.154,a104-103-183-154.deploy.static.akamaitechnologies.com
snapchat.com,34.149.46.130,130.46.149.34.bc.googleusercontent.com
amazon-adsystem.com,54.145.59.57,ec2-54-145-59-57.compute-1.amazonaws.com
comcast.net,96.99.227.0,dns-upper-redirect.xfinity.com
wa.me,157.240.22.53,whatsapp-cdn-shv-01-sjc3.fbcdn.net
app-analytics-services.com,142.251.32.46,sfo03s26-in-f14.1e100.net
tumblr.com,192.0.77.40,assets.tumblr.com
msedge.net,204.79.197.197,www.msedge.net
vk.com,87.240.132.78,srv78-132-240-87.vk.com
app-measurement.com,172.217.164.110,sfo03s18-in-f14.1e100.net
sentry.io,35.186.247.156,156.247.186.35.bc.googleusercontent.com
ui.com,3.168.86.101,server-3-168-86-101.sfo5.r.cloudfront.net
github.io,185.199.110.153,cdn-185-199-110-153.github.com
userapi.com,87.240.129.187,srv187-129-240-87.vk.com
telecid.ru,89.108.82.15,d52892.azlk.regrucolo.ru
epicgames.com,3.228.211.137,ec2-3-228-211-137.compute-1.amazonaws.com
one.one,195.47.247.8,www.one.com
archive.org,207.241.224.2,www.archive.org
flickr.com,99.84.231.85,server-99-84-231-85.sfo5.r.cloudfront.net
webex.com,144.196.130.69,new-vanity.webex.com
meraki.com,108.138.246.71,server-108-138-246-71.sfo5.r.cloudfront.net
pki.goog,216.239.32.29,any-in-201d.1e100.net
soundcloud.com,18.155.192.59,server-18-155-192-59.sfo53.r.cloudfront.net
myfritz.net,212.42.244.100,www.myfritz.net
gmail.com,142.251.46.229,sfo03s27-in-f5.1e100.net
nginx.org,3.125.197.172,ec2-3-125-197-172.eu-central-1.compute.amazonaws.com
android.com,142.250.189.196,sfo03s25-in-f4.1e100.net
adobe.io,18.207.85.246,ec2-18-207-85-246.compute-1.amazonaws.com
ebay.com,23.67.33.5,a23-67-33-5.deploy.static.akamaitechnologies.com
amazonvideo.com,18.155.202.12,server-18-155-202-12.sfo53.r.cloudfront.net
cisco.com,72.163.4.185,redirect-ns.cisco.com
mit.edu,23.195.226.28,a23-195-226-28.deploy.static.akamaitechnologies.com
salesforce.com,23.1.106.133,a23-1-106-133.deploy.static.akamaitechnologies.com
ubuntu.com,185.125.190.21,website-content-cache-2.ps5.canonical.com
b-cdn.net,143.244.50.87,143-244-50-87.bunnyinfra.net
scorecardresearch.com,165.193.78.252,www.scorecardresearch.com
shopify.com,23.227.38.33,checkout.shopify.com
rubiconproject.com,69.194.143.123,cust-69.194.143.123.switchnap.com
t-online.de,54.217.253.146,ec2-54-217-253-146.eu-west-1.compute.amazonaws.com
youtube-nocookie.com,142.250.191.46,nuq04s42-in-f14.1e100.net
booking.com,18.239.199.14,server-18-239-199-14.sfo53.r.cloudfront.net
launchdarkly.com,75.2.60.5,acd89244c803f7181.awsglobalaccelerator.com
go.com,76.223.18.1,a43ace875fd13aca7.awsglobalaccelerator.com
googleblog.com,142.251.46.161,nuq04s44-in-f1.1e100.net
hp.com,Error,Error
ampproject.org,142.251.46.206,nuq04s45-in-f14.1e100.net
smartadserver.com,34.160.41.36,36.41.160.34.bc.googleusercontent.com
slack.com,44.234.235.93,ec2-44-234-235-93.us-west-2.compute.amazonaws.com
wikimedia.org,198.35.26.96,text-lb.ulsfo.wikimedia.org
salesforceliveagent.com,34.211.108.46,ec2-34-211-108-46.us-west-2.compute.amazonaws.com
grammarly.com,108.139.10.129,server-108-139-10-129.sfo5.r.cloudfront.net
openx.net,34.98.64.218,218.64.98.34.bc.googleusercontent.com
sharethrough.com,75.2.70.75,aacb0a264e514dd48.awsglobalaccelerator.com
mzstatic.com,Error,Error
cdc.gov,198.246.106.49,cdc.gov
oracle.com,138.1.33.162,ocomtld-prod.appoci.oracle.com
appsflyer.com,35.175.164.75,ec2-35-175-164-75.compute-1.amazonaws.com
espn.com,108.138.246.102,server-108-138-246-102.sfo5.r.cloudfront.net
weebly.com,74.115.51.6,www.weebly.com
3lift.com,65.8.161.82,server-65-8-161-82.sfo53.r.cloudfront.net
opendns.com,146.112.62.105,www.opendns.com
godaddy.com,208.109.192.70,70.192.109.208.host.secureserver.net
adsrvr.org,34.233.97.200,ec2-34-233-97-200.compute-1.amazonaws.com
reuters.com,155.46.172.255,westlawsolo.com
google.com.br,142.251.214.131,sfo03s32-in-f3.1e100.net
mozilla.com,35.190.14.201,201.14.190.35.bc.googleusercontent.com
avast.com,23.37.17.178,a23-37-17-178.deploy.static.akamaitechnologies.com
stripe.com,35.166.203.173,ec2-35-166-203-173.us-west-2.compute.amazonaws.com
crashlytics.com,216.239.32.29,any-in-201d.1e100.net
health.mil,214.10.40.15,www.gulflink.fhpr.osd.mil
pubmatic.com,18.155.202.118,server-18-155-202-118.sfo53.r.cloudfront.net
dailymail.co.uk,104.99.48.228,a104-99-48-228.deploy.static.akamaitechnologies.com
wiley.com,63.97.118.67,host67.ttslinx.com
media.net,3.226.3.35,ec2-3-226-3-35.compute-1.amazonaws.com
washingtonpost.com,23.203.236.165,a23-203-236-165.deploy.static.akamaitechnologies.com
steampowered.com,104.89.226.113,a104-89-226-113.deploy.static.akamaitechnologies.com
dzen.ru,62.217.160.2,www.dzen.ru
bidswitch.net,34.160.122.192,192.122.160.34.bc.googleusercontent.com
bloomberg.com,3.33.146.110,aa2f66099ca87b6fe.awsglobalaccelerator.com
telegraph.co.uk,3.168.86.2,server-3-168-86-2.sfo5.r.cloudfront.net
wbx2.com,13.59.223.206,ec2-13-59-223-206.us-east-2.compute.amazonaws.com
ibm.com,104.86.93.68,a104-86-93-68.deploy.static.akamaitechnologies.com
adsafeprotected.com,18.244.214.125,server-18-244-214-125.sfo53.r.cloudfront.net
wsj.com,65.8.161.52,server-65-8-161-52.sfo53.r.cloudfront.net
weather.com,104.100.64.171,a104-100-64-171.deploy.static.akamaitechnologies.com
quantserve.com,54.214.172.129,ec2-54-214-172-129.us-west-2.compute.amazonaws.com
shalltry.com,18.155.192.8,server-18-155-192-8.sfo53.r.cloudfront.net
dnsmadeeasy.com,34.234.52.18,ec2-34-234-52-18.compute-1.amazonaws.com
lijit.com,18.155.192.122,server-18-155-192-122.sfo53.r.cloudfront.net
dailymotion.com,195.8.215.136,www.dailymotion.com
google.de,142.250.191.35,nuq04s42-in-f3.1e100.net
ea.com,23.37.16.177,a23-37-16-177.deploy.static.akamaitechnologies.com
php.net,185.85.0.29,ip-185-85-0-29.ax5z.com
