Website,IP Address,CDN Server
google.com,142.251.41.78,yyz10s20-in-f14.1e100.net
amazonaws.com,72.21.210.29,210-29.amazon.com
facebook.com,31.13.80.36,edge-star-mini-shv-01-yyz1.facebook.com
apple.com,17.253.144.10,livepage.apple.com
youtube.com,142.251.41.46,yyz12s08-in-f14.1e100.net
googleapis.com,172.217.165.4,yyz12s06-in-f4.1e100.net
instagram.com,31.13.80.174,instagram-p42-shv-01-yyz1.fbcdn.net
gstatic.com,142.251.32.67,yyz12s07-in-f3.1e100.net
live.com,204.79.197.212,a-0010.a-msedge.net
googletagmanager.com,142.251.41.40,yyz12s08-in-f8.1e100.net
googlevideo.com,142.251.32.68,yyz12s07-in-f4.1e100.net
amazon.com,Error,Error
fbcdn.net,31.13.80.36,edge-star-mini-shv-01-yyz1.facebook.com
doubleclick.net,172.217.165.14,yyz12s06-in-f14.1e100.net
googleusercontent.com,172.217.1.1,yyz10s14-in-f1.1e100.net
wikipedia.org,208.80.154.224,text-lb.eqiad.wikimedia.org
googlesyndication.com,142.251.32.68,yyz12s07-in-f4.1e100.net
icloud.com,17.253.144.10,apple.fr
youtu.be,142.251.32.78,yyz12s07-in-f14.1e100.net
github.com,140.82.113.4,lb-140-82-113-4-iad.github.com
netflix.com,52.3.144.142,ec2-52-3-144-142.compute-1.amazonaws.com
domaincontrol.com,127.0.0.1,localhost
whatsapp.net,31.13.80.53,whatsapp-cdn-shv-01-yyz1.fbcdn.net
yahoo.com,74.6.143.25,media-router-fp73.prod.media.vip.bf1.yahoo.com
appsflyersdk.com,18.245.96.68,server-18-245-96-68.yto50.r.cloudfront.net
adobe.com,23.223.17.138,a23-223-17-138.deploy.static.akamaitechnologies.com
goo.gl,142.251.32.78,yyz12s07-in-f14.1e100.net
spotify.com,35.186.224.24,24.224.186.35.bc.googleusercontent.com
tiktokv.com,23.194.131.154,a23-194-131-154.deploy.static.akamaitechnologies.com
whatsapp.com,31.13.80.53,whatsapp-cdn-shv-01-yyz1.fbcdn.net
google-analytics.com,142.251.41.36,yyz12s08-in-f4.1e100.net
yandex.net,213.180.204.242,any.yandex.ru
nic.ru,31.177.80.4,www.nic.ru
gandi.net,217.70.185.65,v5.gandi.net
ntp.org,204.93.207.22,slb0.chi1.ntfo.org
tiktok.com,3.164.92.78,server-3-164-92-78.yto53.r.cloudfront.net
blogspot.com,142.251.33.169,yyz10s17-in-f9.1e100.net
mozilla.org,35.190.14.201,201.14.190.35.bc.googleusercontent.com
unity3d.com,184.29.114.32,a184-29-114-32.deploy.static.akamaitechnologies.com
googleadservices.com,142.251.33.162,yyz10s17-in-f2.1e100.net
lencr.org,34.234.106.80,ec2-34-234-106-80.compute-1.amazonaws.com
googledomains.com,216.239.32.29,any-in-201d.1e100.net
