Website,CDN_Server_1,CDN_Server_2,CDN_Server_3,CDN_Server_4,CDN_Server_5,CDN_Server_6,CDN_Server_7,CDN_Server_8,CDN_Server_9,CDN_Server_10,CDN_Server_11,CDN_Server_12,CDN_Server_13
3lift.com,server-65-8-161-82.sfo53.r.cloudfront.net,server-13-35-238-18.sin2.r.cloudfront.net,server-108-159-61-91.bom78.r.cloudfront.net,server-18-245-86-13.fra60.r.cloudfront.net,server-13-226-34-78.ewr53.r.cloudfront.net,server-13-226-34-20.ewr53.r.cloudfront.net,server-18-67-110-23.syd62.r.cloudfront.net,server-13-226-34-103.ewr53.r.cloudfront.net,server-3-162-112-58.iad61.r.cloudfront.net,server-18-67-17-110.yto50.r.cloudfront.net,server-18-245-86-80.fra60.r.cloudfront.net,server-18-239-36-29.ams58.r.cloudfront.net,
jwpltx.com,server-13-225-78-36.fra2.r.cloudfront.net,server-13-227-74-29.sfo20.r.cloudfront.net,server-18-67-39-21.yto50.r.cloudfront.net,server-13-227-74-75.sfo20.r.cloudfront.net,server-108-158-20-8.syd62.r.cloudfront.net,server-18-239-36-20.ams58.r.cloudfront.net,server-108-157-254-83.sin2.r.cloudfront.net,server-13-225-78-81.fra2.r.cloudfront.net,server-18-164-96-67.jfk50.r.cloudfront.net,server-3-162-125-59.iad61.r.cloudfront.net,server-108-158-61-24.bom78.r.cloudfront.net,server-18-164-96-25.jfk50.r.cloudfront.net,
jwpsrv.com,server-13-227-219-185.ams54.r.cloudfront.net,server-108-156-15-164.hel51.r.cloudfront.net,server-18-244-215-150.sfo53.r.cloudfront.net,server-3-161-81-138.fra56.r.cloudfront.net,server-18-165-97-134.iad55.r.cloudfront.net,server-18-67-14-206.yto50.r.cloudfront.net,server-3-168-114-132.jfk52.r.cloudfront.net,,,,,,
univision.com,ec2-54-85-95-186.compute-1.amazonaws.com,ec2-35-168-95-121.compute-1.amazonaws.com,ec2-54-147-252-136.compute-1.amazonaws.com,ec2-54-162-91-218.compute-1.amazonaws.com,ec2-35-153-48-25.compute-1.amazonaws.com,ec2-34-206-153-188.compute-1.amazonaws.com,ec2-34-203-182-196.compute-1.amazonaws.com,ec2-52-87-10-56.compute-1.amazonaws.com,ec2-3-215-149-202.compute-1.amazonaws.com,,,,
medlineplus.gov,server-108-156-22-61.hel51.r.cloudfront.net,server-18-238-55-11.jfk52.r.cloudfront.net,server-18-245-31-110.fra56.r.cloudfront.net,server-108-156-22-117.hel51.r.cloudfront.net,server-65-8-161-128.sfo53.r.cloudfront.net,server-65-8-161-70.sfo53.r.cloudfront.net,server-13-33-165-14.yto50.r.cloudfront.net,server-18-238-55-126.jfk52.r.cloudfront.net,server-18-239-36-27.ams58.r.cloudfront.net,server-65-8-161-92.sfo53.r.cloudfront.net,server-13-249-39-3.iad89.r.cloudfront.net,,
shiksha.com,a104-117-182-42.deploy.static.akamaitechnologies.com,a96-16-55-22.deploy.static.akamaitechnologies.com,a23-215-176-58.deploy.static.akamaitechnologies.com,a23-52-171-145.deploy.static.akamaitechnologies.com,a104-97-14-73.deploy.static.akamaitechnologies.com,a2-16-168-11.deploy.static.akamaitechnologies.com,a2-18-66-243.deploy.static.akamaitechnologies.com,a104-117-182-194.deploy.static.akamaitechnologies.com,a104-117-182-179.deploy.static.akamaitechnologies.com,a23-45-207-176.deploy.static.akamaitechnologies.com,a23-56-4-203.deploy.static.akamaitechnologies.com,a23-219-155-11.deploy.static.akamaitechnologies.com,a23-40-52-181.deploy.static.akamaitechnologies.com
sprig.com,server-18-66-147-90.fra60.r.cloudfront.net,server-99-84-238-150.sfo5.r.cloudfront.net,server-13-33-165-89.yto50.r.cloudfront.net,server-18-238-243-39.ams58.r.cloudfront.net,server-108-157-254-109.sin2.r.cloudfront.net,server-18-172-78-96.bom78.r.cloudfront.net,server-13-226-94-127.jfk52.r.cloudfront.net,server-52-85-151-66.iad89.r.cloudfront.net,server-13-226-94-110.jfk52.r.cloudfront.net,server-18-66-147-32.fra60.r.cloudfront.net,server-18-67-110-115.syd62.r.cloudfront.net,server-13-226-94-26.jfk52.r.cloudfront.net,
celtra.com,server-3-168-86-75.sfo5.r.cloudfront.net,server-18-239-94-93.ams1.r.cloudfront.net,server-13-33-88-46.sin2.r.cloudfront.net,server-13-33-252-71.jfk50.r.cloudfront.net,server-18-66-147-77.fra60.r.cloudfront.net,server-18-67-17-69.yto50.r.cloudfront.net,server-18-66-147-5.fra60.r.cloudfront.net,server-18-65-244-110.syd3.r.cloudfront.net,server-18-160-18-127.iad12.r.cloudfront.net,server-18-239-111-99.bom54.r.cloudfront.net,server-13-33-252-16.jfk50.r.cloudfront.net,server-3-168-86-7.sfo5.r.cloudfront.net,
smartclip.net,server-108-139-47-67.jfk50.r.cloudfront.net,server-65-9-66-8.fra56.r.cloudfront.net,server-108-156-22-79.hel51.r.cloudfront.net,server-18-67-39-11.yto50.r.cloudfront.net,server-13-32-151-81.iad66.r.cloudfront.net,server-18-239-36-8.ams58.r.cloudfront.net,server-108-139-10-19.sfo5.r.cloudfront.net,server-108-139-10-67.sfo5.r.cloudfront.net,server-108-139-10-103.sfo5.r.cloudfront.net,server-108-139-47-22.jfk50.r.cloudfront.net,server-108-139-47-55.jfk50.r.cloudfront.net,server-65-9-66-100.fra56.r.cloudfront.net,server-108-156-22-24.hel51.r.cloudfront.net
uzh.ch,wb.uzh.ch,ubscenter.uzh.ch,didactica.uzh.ch,phonebook.uzh.ch,neuroscience.uzh.ch,generalsecretariat.uzh.ch,physiol.uzh.ch,fi.uzh.ch,ipz.uzh.ch,oec.uzh.ch,isu.uzh.ch,scm.uzh.ch,chess.uzh.ch
google.mn,ya-in-f94.1e100.net,bom07s35-in-f3.1e100.net,syd09s31-in-f3.1e100.net,ams15s48-in-f3.1e100.net,atl26s14-in-f3.1e100.net,lga25s73-in-f3.1e100.net,ams16s21-in-f195.1e100.net,nuq04s42-in-f3.1e100.net,sb-in-f94.1e100.net,lga34s35-in-f3.1e100.net,yyz12s08-in-f3.1e100.net,fra16s49-in-f3.1e100.net,lga34s32-in-f3.1e100.net
cleanbrowsing.org,cdn-edge-usa-west-la1.noc.org,cdn-edge-australia-sydney1.noc.org,cdn-edge-usa-east-ny1.noc.org,cdn-edge-europe-frankfurt1.noc.org,cdn-edge-asia-singapore1.noc.org,cdn-edge-canada-montreal1.noc.org,cdn-edge-usa-east-chicago1.noc.org,cdn-edge-europe-london1.noc.org,,,,,
