website,ip_address,cdn_server
live.com,204.79.197.212,a-0010.a-msedge.net
googleusercontent.com,142.251.42.33,bom12s20-in-f1.1e100.net
ebay.com,184.50.85.145,a184-50-85-145.deploy.static.akamaitechnologies.com
stripe.com,54.179.176.233,ec2-54-179-176-233.ap-southeast-1.compute.amazonaws.com
globo.com,186.192.83.12,186-192-83-12.prt.globo.com
teamviewer.com,52.223.21.92,ad9dfefee4e491c65.awsglobalaccelerator.com
trustpilot.com,52.48.138.41,ec2-52-48-138-41.eu-west-1.compute.amazonaws.com
amazontrust.com,18.239.111.25,server-18-239-111-25.bom54.r.cloudfront.net
branch.io,18.239.111.47,server-18-239-111-47.bom54.r.cloudfront.net
comcast.com,96.99.227.0,dns-upper-redirect.xfinity.com
tremorhub.com,18.172.64.52,server-18-172-64-52.bom78.r.cloudfront.net
worldbank.org,52.223.24.49,a000b310d37acdcb9.awsglobalaccelerator.com
smartthings.com,18.239.111.49,server-18-239-111-49.bom54.r.cloudfront.net
google.ru,142.251.42.35,bom12s20-in-f3.1e100.net
wshareit.com,159.138.103.42,ecs-159-138-103-42.compute.hwclouds-dns.com
weathernews.jp,18.239.142.116,server-18-239-142-116.bom54.r.cloudfront.net
goguardian.com,54.70.54.65,ec2-54-70-54-65.us-west-2.compute.amazonaws.com
mparticle.com,54.196.97.165,ec2-54-196-97-165.compute-1.amazonaws.com
howstuffworks.com,108.159.80.27,server-108-159-80-27.bom78.r.cloudfront.net
mitre.org,52.45.20.31,ec2-52-45-20-31.compute-1.amazonaws.com
hyatt.com,23.3.70.195,a23-3-70-195.deploy.static.akamaitechnologies.com
tamu.edu,99.83.234.45,aff74224b277c7807.awsglobalaccelerator.com
kde.org,85.10.198.55,tyran.kde.org
web.de,82.165.229.138,bs.web.de
usercentrics.eu,34.160.77.130,130.77.160.34.bc.googleusercontent.com
arcticwolf.net,146.148.100.16,16.100.148.146.bc.googleusercontent.com
google.ch,142.250.192.99,bom12s17-in-f3.1e100.net
nessus.org,54.159.189.155,ec2-54-159-189-155.compute-1.amazonaws.com
rottentomatoes.com,118.215.81.254,a118-215-81-254.deploy.static.akamaitechnologies.com
xero.com,18.172.64.5,server-18-172-64-5.bom78.r.cloudfront.net
ethz.ch,129.132.19.216,cms-publish.ethz.ch
ccc.de,195.54.164.39,web.ber.ccc.de
hawaii.edu,128.171.133.42,p20hawaii.org
nalog.ru,37.220.164.100,cdn.ngenix.net
