website,ip_address,cdn_server
live.com,204.79.197.212,a-0010.a-msedge.net
googleusercontent.com,172.217.16.193,fra16s08-in-f193.1e100.net
ebay.com,2.16.6.34,a2-16-6-34.deploy.static.akamaitechnologies.com
stripe.com,52.215.231.162,ec2-52-215-231-162.eu-west-1.compute.amazonaws.com
globo.com,186.192.83.12,186-192-83-12.prt.globo.com
teamviewer.com,52.223.21.92,ad9dfefee4e491c65.awsglobalaccelerator.com
trustpilot.com,54.154.204.197,ec2-54-154-204-197.eu-west-1.compute.amazonaws.com
branch.io,18.66.122.95,server-18-66-122-95.fra60.r.cloudfront.net
amazontrust.com,143.204.215.39,server-143-204-215-39.fra53.r.cloudfront.net
tremorhub.com,13.33.187.120,server-13-33-187-120.fra60.r.cloudfront.net
comcast.com,96.99.227.0,dns-upper-redirect.xfinity.com
worldbank.org,35.71.168.154,a000b310d37acdcb9.awsglobalaccelerator.com
smartthings.com,3.160.150.101,server-3-160-150-101.fra60.r.cloudfront.net
wshareit.com,159.138.103.42,ecs-159-138-103-42.compute.hwclouds-dns.com
google.ru,142.250.185.99,fra16s49-in-f3.1e100.net
weathernews.jp,18.244.18.12,server-18-244-18-12.fra56.r.cloudfront.net
goguardian.com,54.190.157.47,ec2-54-190-157-47.us-west-2.compute.amazonaws.com
mparticle.com,44.208.247.206,ec2-44-208-247-206.compute-1.amazonaws.com
howstuffworks.com,18.245.86.64,server-18-245-86-64.fra60.r.cloudfront.net
mitre.org,52.45.20.31,ec2-52-45-20-31.compute-1.amazonaws.com
hyatt.com,92.123.104.59,a92-123-104-59.deploy.static.akamaitechnologies.com
tamu.edu,99.83.234.45,aff74224b277c7807.awsglobalaccelerator.com
kde.org,85.10.198.55,tyran.kde.org
web.de,82.165.229.83,bap.web.de
usercentrics.eu,34.160.77.130,130.77.160.34.bc.googleusercontent.com
arcticwolf.net,146.148.100.16,16.100.148.146.bc.googleusercontent.com
google.ch,216.58.206.35,lcfraa-aa-in-f3.1e100.net
nessus.org,54.159.189.155,ec2-54-159-189-155.compute-1.amazonaws.com
rottentomatoes.com,23.212.220.172,a23-212-220-172.deploy.static.akamaitechnologies.com
xero.com,99.86.4.54,server-99-86-4-54.fra6.r.cloudfront.net
ethz.ch,129.132.19.216,cms-publish.ethz.ch
mobilefuse.com,18.245.60.58,server-18-245-60-58.fra60.r.cloudfront.net
ccc.de,195.54.164.39,web.ber.ccc.de
hawaii.edu,128.171.133.42,paciber.org
sba.gov,3.220.200.186,ec2-3-220-200-186.compute-1.amazonaws.com
nalog.ru,37.220.164.100,cdn.ngenix.net
google.com.pk,142.250.186.131,fra24s07-in-f3.1e100.net
tele2.ru,78.41.111.55,cdn.ngenix.net
code.org,18.245.31.79,server-18-245-31-79.fra56.r.cloudfront.net
qualcomm.com,129.46.98.181,snapdragon.com
uga.edu,15.197.234.180,a4345f13d27631163.awsglobalaccelerator.com
lastline.com,208.91.0.132,as-40816.engx.vmware.com
