website,ip_address,cdn_server
live.com,204.79.197.212,a-0010.a-msedge.net
googleusercontent.com,64.233.185.132,yb-in-f132.1e100.net
ebay.com,104.93.21.145,a104-93-21-145.deploy.static.akamaitechnologies.com
stripe.com,52.86.4.21,ec2-52-86-4-21.compute-1.amazonaws.com
globo.com,186.192.83.12,186-192-83-12.prt.globo.com
teamviewer.com,52.223.21.92,ad9dfefee4e491c65.awsglobalaccelerator.com
trustpilot.com,52.211.4.10,ec2-52-211-4-10.eu-west-1.compute.amazonaws.com
branch.io,13.249.39.109,server-13-249-39-109.iad89.r.cloudfront.net
amazontrust.com,52.85.151.84,server-52-85-151-84.iad89.r.cloudfront.net
tremorhub.com,52.85.151.73,server-52-85-151-73.iad89.r.cloudfront.net
comcast.com,96.99.227.0,dns-upper-redirect.xfinity.com
worldbank.org,35.71.168.154,a000b310d37acdcb9.awsglobalaccelerator.com
smartthings.com,18.67.76.6,server-18-67-76-6.iad89.r.cloudfront.net
wshareit.com,159.138.103.42,ecs-159-138-103-42.compute.hwclouds-dns.com
google.ru,74.125.138.94,yi-in-f94.1e100.net
weathernews.jp,52.85.151.129,server-52-85-151-129.iad89.r.cloudfront.net
goguardian.com,54.186.42.254,ec2-54-186-42-254.us-west-2.compute.amazonaws.com
mparticle.com,54.196.97.165,ec2-54-196-97-165.compute-1.amazonaws.com
howstuffworks.com,18.160.41.11,server-18-160-41-11.iad55.r.cloudfront.net
mitre.org,52.45.20.31,ec2-52-45-20-31.compute-1.amazonaws.com
hyatt.com,23.1.33.207,a23-1-33-207.deploy.static.akamaitechnologies.com
tamu.edu,99.83.234.45,aff74224b277c7807.awsglobalaccelerator.com
kde.org,85.10.198.55,tyran.kde.org
web.de,82.165.229.83,bap.web.de
usercentrics.eu,34.160.77.130,130.77.160.34.bc.googleusercontent.com
arcticwolf.net,146.148.100.16,16.100.148.146.bc.googleusercontent.com
google.ch,172.253.124.94,ys-in-f94.1e100.net
nessus.org,54.159.189.155,ec2-54-159-189-155.compute-1.amazonaws.com
rottentomatoes.com,104.90.83.148,a104-90-83-148.deploy.static.akamaitechnologies.com
xero.com,18.160.41.85,server-18-160-41-85.iad55.r.cloudfront.net
ethz.ch,129.132.19.216,cms-publish.ethz.ch
mobilefuse.com,108.138.64.2,server-108-138-64-2.iad12.r.cloudfront.net
ccc.de,195.54.164.39,web.ber.ccc.de
hawaii.edu,128.171.133.42,web3-vip-www00.its.hawaii.edu
sba.gov,35.153.10.75,ec2-35-153-10-75.compute-1.amazonaws.com
nalog.ru,37.220.164.100,cdn.ngenix.net
google.com.pk,64.233.185.94,yb-in-f94.1e100.net
tele2.ru,212.193.152.180,cdn.ngenix.net
code.org,18.160.10.103,server-18-160-10-103.iad12.r.cloudfront.net
qualcomm.com,129.46.98.181,vip-drekar-lasdmzprd-xredirect.qualcomm.com
uga.edu,15.197.234.180,a4345f13d27631163.awsglobalaccelerator.com
lastline.com,208.91.0.132,as-40816.engx.vmware.com
google.lk,172.217.215.94,yo-in-f94.1e100.net
eia.gov,205.254.131.126,parspssmtest.doe.gov
siemens.de,99.83.253.123,a63a2890458a45c87.awsglobalaccelerator.com
tenor.co,34.120.13.18,18.13.120.34.bc.googleusercontent.com
merchant-center-analytics.goog,216.239.32.27,any-in-201b.1e100.net
statsig.com,34.36.101.214,214.101.36.34.bc.googleusercontent.com
alamy.com,52.211.209.222,ec2-52-211-209-222.eu-west-1.compute.amazonaws.com
3m.com,3.136.30.252,ec2-3-136-30-252.us-east-2.compute.amazonaws.com
netlify.com,44.217.247.226,ec2-44-217-247-226.compute-1.amazonaws.com
lapresse.ca,3.221.63.61,ec2-3-221-63-61.compute-1.amazonaws.com
uh.edu,129.7.97.54,www.uh.edu
ons.gov.uk,18.169.209.99,ec2-18-169-209-99.eu-west-2.compute.amazonaws.com
asuscomm.com,54.191.180.149,ec2-54-191-180-149.us-west-2.compute.amazonaws.com
jal.co.jp,18.178.219.162,ec2-18-178-219-162.ap-northeast-1.compute.amazonaws.com
salesforce-scrt.com,34.226.36.52,ec2-34-226-36-52.compute-1.amazonaws.com
lgdacom.net,34.149.84.92,92.84.149.34.bc.googleusercontent.com
academy.com,174.46.23.26,174-46-23-26.static.ctl.one
turbify.com,52.87.61.164,ec2-52-87-61-164.compute-1.amazonaws.com
autotrader.com,23.212.8.226,a23-212-8-226.deploy.static.akamaitechnologies.com
gigaset.net,81.173.115.217,ip81-173-115-217.pbiaas.com
trenitalia.com,2.18.142.69,a2-18-142-69.deploy.static.akamaitechnologies.com
retailrocket.ru,88.99.142.227,static.88-99-142-227.clients.your-server.de
o2.pl,212.77.98.29,www.o2.pl
deviantart.net,52.40.186.232,ec2-52-40-186-232.us-west-2.compute.amazonaws.com
pr3tty-fly4.com,136.243.223.251,psh5-2.1push.io
twingate.com,34.36.151.97,97.151.36.34.bc.googleusercontent.com
taxtelecom.ru,94.130.216.99,htz2.taximaxim.com
google.ga,142.250.105.94,yt-in-f94.1e100.net
googlecode.com,74.125.21.106,yv-in-f106.1e100.net
growthbook.io,3.162.125.36,server-3-162-125-36.iad61.r.cloudfront.net
nine.com.au,76.223.34.124,aa089eb6179d1ae2b.awsglobalaccelerator.com
eqads.com,74.213.173.116,74-213-173-116.beanfield.net
ccleaner.com,52.85.151.103,server-52-85-151-103.iad89.r.cloudfront.net
alaska.gov,158.145.65.37,alaskacare.gov
decolar.com,44.210.62.22,ec2-44-210-62-22.compute-1.amazonaws.com
fnn.jp,3.162.103.100,server-3-162-103-100.iad61.r.cloudfront.net
divvy.co,54.184.4.124,ec2-54-184-4-124.us-west-2.compute.amazonaws.com
upmusics.com,88.198.87.74,static.88.198.87.74.clients.your-server.de
rusvideos.cc,212.162.152.11,4769541.ds-b.had.pm
nishinippon.co.jp,18.160.10.69,server-18-160-10-69.iad12.r.cloudfront.net
petsmart.com,204.74.99.100,crs.ultradns.net
cryoutcreations.eu,95.211.185.122,web.cryout.eu
lespompeurs.com,51.68.247.241,vs1201.deus-communication.cognix-systems.net
volkskrant.nl,96.7.74.34,a96-7-74-34.deploy.static.akamaitechnologies.com
google.org,216.239.32.27,any-in-201b.1e100.net
dedeman.ro,52.16.150.45,ec2-52-16-150-45.eu-west-1.compute.amazonaws.com
supersport.hr,52.57.139.238,ec2-52-57-139-238.eu-central-1.compute.amazonaws.com
bitcoin.com,75.2.84.139,ab131f7b344fd985a.awsglobalaccelerator.com
pex.jp,18.160.41.127,server-18-160-41-127.iad55.r.cloudfront.net
sitepoint.com,54.148.84.95,ec2-54-148-84-95.us-west-2.compute.amazonaws.com
which.co.uk,52.30.245.92,ec2-52-30-245-92.eu-west-1.compute.amazonaws.com
umt.edu,150.131.194.46,wtswww.ito.umt.edu
schneevonmorgen.com,18.160.46.100,server-18-160-46-100.iad55.r.cloudfront.net
kiskegyed.hu,75.2.20.139,af07376032adb5926.awsglobalaccelerator.com
hackerrank.com,54.242.102.131,ec2-54-242-102-131.compute-1.amazonaws.com
campaign-archive1.com,23.196.32.55,a23-196-32-55.deploy.static.akamaitechnologies.com
redlights.be,34.107.190.89,89.190.107.34.bc.googleusercontent.com
paysafecard.com,52.219.169.168,s3-website.eu-central-1.amazonaws.com
