website,ip_address,cdn_server
live.com,204.79.197.212,a-0010.a-msedge.net
googleusercontent.com,142.250.72.193,sfo03s21-in-f1.1e100.net
ebay.com,23.67.33.5,a23-67-33-5.deploy.static.akamaitechnologies.com
stripe.com,35.166.203.173,ec2-35-166-203-173.us-west-2.compute.amazonaws.com
globo.com,186.192.83.12,186-192-83-12.prt.globo.com
teamviewer.com,52.223.21.92,ad9dfefee4e491c65.awsglobalaccelerator.com
trustpilot.com,34.251.59.78,ec2-34-251-59-78.eu-west-1.compute.amazonaws.com
branch.io,99.84.238.136,server-99-84-238-136.sfo5.r.cloudfront.net
amazontrust.com,18.173.121.33,server-18-173-121-33.sfo53.r.cloudfront.net
tremorhub.com,18.239.199.8,server-18-239-199-8.sfo53.r.cloudfront.net
comcast.com,96.99.227.0,dns-upper-redirect.xfinity.com
worldbank.org,35.71.168.154,a000b310d37acdcb9.awsglobalaccelerator.com
smartthings.com,18.155.202.71,server-18-155-202-71.sfo53.r.cloudfront.net
wshareit.com,159.138.103.42,ecs-159-138-103-42.compute.hwclouds-dns.com
google.ru,142.251.32.35,sfo03s26-in-f3.1e100.net
weathernews.jp,3.168.86.106,server-3-168-86-106.sfo5.r.cloudfront.net
goguardian.com,44.233.196.189,ec2-44-233-196-189.us-west-2.compute.amazonaws.com
mparticle.com,3.210.172.157,ec2-3-210-172-157.compute-1.amazonaws.com
howstuffworks.com,18.238.192.122,server-18-238-192-122.sfo53.r.cloudfront.net
mitre.org,52.45.20.31,ec2-52-45-20-31.compute-1.amazonaws.com
hyatt.com,23.62.46.150,a23-62-46-150.deploy.static.akamaitechnologies.com
tamu.edu,99.83.234.45,aff74224b277c7807.awsglobalaccelerator.com
kde.org,85.10.198.55,tyran.kde.org
web.de,82.165.229.138,bs.web.de
usercentrics.eu,34.160.77.130,130.77.160.34.bc.googleusercontent.com
arcticwolf.net,146.148.100.16,16.100.148.146.bc.googleusercontent.com
google.ch,142.251.46.195,nuq04s45-in-f3.1e100.net
nessus.org,54.159.189.155,ec2-54-159-189-155.compute-1.amazonaws.com
rottentomatoes.com,96.6.227.100,a96-6-227-100.deploy.static.akamaitechnologies.com
xero.com,13.227.74.6,server-13-227-74-6.sfo20.r.cloudfront.net
ethz.ch,129.132.19.216,cms-publish.ethz.ch
mobilefuse.com,18.155.202.39,server-18-155-202-39.sfo53.r.cloudfront.net
ccc.de,195.54.164.39,web.ber.ccc.de
hawaii.edu,128.171.133.42,hbtf.org
sba.gov,54.221.219.215,ec2-54-221-219-215.compute-1.amazonaws.com
nalog.ru,37.220.164.100,cdn.ngenix.net
google.com.pk,142.250.189.195,sfo03s25-in-f3.1e100.net
tele2.ru,212.193.152.180,cdn.ngenix.net
code.org,3.168.86.16,server-3-168-86-16.sfo5.r.cloudfront.net
qualcomm.com,129.46.98.181,vip-drekar-lasdmzprd-xredirect.qualcomm.com
uga.edu,3.33.229.187,a4345f13d27631163.awsglobalaccelerator.com
lastline.com,208.91.0.132,as-40816.engx.vmware.com
google.lk,142.250.191.67,nuq04s43-in-f3.1e100.net
eia.gov,205.254.131.126,parspssmtest.doe.gov
siemens.de,99.83.253.123,a63a2890458a45c87.awsglobalaccelerator.com
tenor.co,34.120.13.18,18.13.120.34.bc.googleusercontent.com
merchant-center-analytics.goog,216.239.32.27,any-in-201b.1e100.net
statsig.com,34.36.101.214,214.101.36.34.bc.googleusercontent.com
alamy.com,34.255.127.214,ec2-34-255-127-214.eu-west-1.compute.amazonaws.com
3m.com,3.130.138.83,ec2-3-130-138-83.us-east-2.compute.amazonaws.com
netlify.com,3.33.186.135,afa7f374f51cc8991.awsglobalaccelerator.com
lapresse.ca,34.199.174.9,ec2-34-199-174-9.compute-1.amazonaws.com
uh.edu,129.7.97.54,uh.edu
ons.gov.uk,18.169.209.99,ec2-18-169-209-99.eu-west-2.compute.amazonaws.com
asuscomm.com,54.191.180.149,ec2-54-191-180-149.us-west-2.compute.amazonaws.com
jal.co.jp,18.178.219.162,ec2-18-178-219-162.ap-northeast-1.compute.amazonaws.com
salesforce-scrt.com,34.211.108.45,ec2-34-211-108-45.us-west-2.compute.amazonaws.com
lgdacom.net,34.149.84.92,92.84.149.34.bc.googleusercontent.com
academy.com,174.46.23.26,174-46-23-26.static.ctl.one
turbify.com,52.7.42.254,ec2-52-7-42-254.compute-1.amazonaws.com
autotrader.com,23.55.196.215,a23-55-196-215.deploy.static.akamaitechnologies.com
gigaset.net,81.173.115.217,ip81-173-115-217.pbiaas.com
trenitalia.com,23.65.199.55,a23-65-199-55.deploy.static.akamaitechnologies.com
retailrocket.ru,88.99.142.227,static.88-99-142-227.clients.your-server.de
o2.pl,212.77.98.29,www.o2.pl
deviantart.net,44.226.191.238,ec2-44-226-191-238.us-west-2.compute.amazonaws.com
