website,ip_address,cdn_server
live.com,204.79.197.212,a-0010.a-msedge.net
googleusercontent.com,142.250.71.65,syd15s17-in-f1.1e100.net
ebay.com,23.32.5.151,a23-32-5-151.deploy.static.akamaitechnologies.com
stripe.com,3.106.27.78,ec2-3-106-27-78.ap-southeast-2.compute.amazonaws.com
globo.com,186.192.83.12,186-192-83-12.prt.globo.com
teamviewer.com,52.223.21.92,ad9dfefee4e491c65.awsglobalaccelerator.com
trustpilot.com,34.251.59.78,ec2-34-251-59-78.eu-west-1.compute.amazonaws.com
branch.io,18.67.110.14,server-18-67-110-14.syd62.r.cloudfront.net
amazontrust.com,108.158.32.114,server-108-158-32-114.syd3.r.cloudfront.net
tremorhub.com,18.67.93.115,server-18-67-93-115.syd62.r.cloudfront.net
comcast.com,96.99.227.0,dns-upper-redirect.xfinity.com
worldbank.org,52.223.24.49,a000b310d37acdcb9.awsglobalaccelerator.com
smartthings.com,18.65.244.68,server-18-65-244-68.syd3.r.cloudfront.net
wshareit.com,159.138.103.42,ecs-159-138-103-42.compute.hwclouds-dns.com
google.ru,142.251.221.67,syd09s31-in-f3.1e100.net
weathernews.jp,108.158.20.33,server-108-158-20-33.syd62.r.cloudfront.net
goguardian.com,34.212.125.0,ec2-34-212-125-0.us-west-2.compute.amazonaws.com
mparticle.com,18.207.35.54,ec2-18-207-35-54.compute-1.amazonaws.com
howstuffworks.com,18.67.110.24,server-18-67-110-24.syd62.r.cloudfront.net
mitre.org,52.45.20.31,ec2-52-45-20-31.compute-1.amazonaws.com
hyatt.com,23.32.5.199,a23-32-5-199.deploy.static.akamaitechnologies.com
tamu.edu,99.83.234.45,aff74224b277c7807.awsglobalaccelerator.com
kde.org,85.10.198.55,tyran.kde.org
web.de,82.165.229.83,bap.web.de
usercentrics.eu,34.160.77.130,130.77.160.34.bc.googleusercontent.com
arcticwolf.net,146.148.100.16,16.100.148.146.bc.googleusercontent.com
google.ch,142.250.66.195,syd09s23-in-f3.1e100.net
nessus.org,54.159.189.155,ec2-54-159-189-155.compute-1.amazonaws.com
rottentomatoes.com,104.68.12.201,a104-68-12-201.deploy.static.akamaitechnologies.com
xero.com,18.67.93.7,server-18-67-93-7.syd62.r.cloudfront.net
ethz.ch,129.132.19.216,cms-publish.ethz.ch
mobilefuse.com,108.158.32.74,server-108-158-32-74.syd3.r.cloudfront.net
ccc.de,195.54.164.39,web.ber.ccc.de
hawaii.edu,128.171.133.42,www2002.org
sba.gov,35.153.10.75,ec2-35-153-10-75.compute-1.amazonaws.com
nalog.ru,37.220.164.100,cdn.ngenix.net
google.com.pk,142.250.66.195,syd09s23-in-f3.1e100.net
tele2.ru,78.41.111.55,cdn.ngenix.net
code.org,18.67.93.9,server-18-67-93-9.syd62.r.cloudfront.net
qualcomm.com,129.46.98.181,snapdragon.com
uga.edu,3.33.229.187,a4345f13d27631163.awsglobalaccelerator.com
lastline.com,208.91.0.132,as-40816.engx.vmware.com
google.lk,172.217.167.67,syd15s06-in-f3.1e100.net
eia.gov,205.254.131.126,parspssmtest.doe.gov
siemens.de,75.2.23.197,a63a2890458a45c87.awsglobalaccelerator.com
tenor.co,34.120.13.18,18.13.120.34.bc.googleusercontent.com
merchant-center-analytics.goog,216.239.32.27,any-in-201b.1e100.net
statsig.com,34.36.101.214,214.101.36.34.bc.googleusercontent.com
alamy.com,18.202.65.174,ec2-18-202-65-174.eu-west-1.compute.amazonaws.com
3m.com,3.130.138.83,ec2-3-130-138-83.us-east-2.compute.amazonaws.com
netlify.com,15.197.167.90,afa7f374f51cc8991.awsglobalaccelerator.com
lapresse.ca,52.206.165.235,ec2-52-206-165-235.compute-1.amazonaws.com
uh.edu,129.7.97.54,m.uh.edu
ons.gov.uk,18.169.209.99,ec2-18-169-209-99.eu-west-2.compute.amazonaws.com
asuscomm.com,54.191.180.149,ec2-54-191-180-149.us-west-2.compute.amazonaws.com
jal.co.jp,18.178.219.162,ec2-18-178-219-162.ap-northeast-1.compute.amazonaws.com
salesforce-scrt.com,13.210.3.211,ec2-13-210-3-211.ap-southeast-2.compute.amazonaws.com
lgdacom.net,34.149.84.92,92.84.149.34.bc.googleusercontent.com
academy.com,174.46.23.26,174-46-23-26.static.ctl.one
turbify.com,52.7.42.254,ec2-52-7-42-254.compute-1.amazonaws.com
autotrader.com,23.40.162.169,a23-40-162-169.deploy.static.akamaitechnologies.com
gigaset.net,81.173.115.217,ip81-173-115-217.pbiaas.com
trenitalia.com,23.65.199.55,a23-65-199-55.deploy.static.akamaitechnologies.com
retailrocket.ru,88.99.142.227,static.88-99-142-227.clients.your-server.de
o2.pl,212.77.98.29,www.o2.pl
deviantart.net,35.163.214.23,ec2-35-163-214-23.us-west-2.compute.amazonaws.com
pr3tty-fly4.com,157.90.33.71,psh5.1push.io
twingate.com,34.36.151.97,97.151.36.34.bc.googleusercontent.com
taxtelecom.ru,94.130.216.99,htz2.taximaxim.com
google.ga,142.250.67.3,syd15s16-in-f3.1e100.net
googlecode.com,142.250.66.196,syd09s23-in-f4.1e100.net
growthbook.io,108.158.20.74,server-108-158-20-74.syd62.r.cloudfront.net
nine.com.au,75.2.43.150,a6033b2998aeb1ff7.awsglobalaccelerator.com
eqads.com,74.213.173.116,74-213-173-116.beanfield.net
ccleaner.com,18.67.110.20,server-18-67-110-20.syd62.r.cloudfront.net
alaska.gov,158.145.65.37,webbase.f.alaska.gov
decolar.com,142.202.129.22,142-202-129-22-static.despegar.net
fnn.jp,13.35.210.27,server-13-35-210-27.sin2.r.cloudfront.net
divvy.co,52.12.154.90,ec2-52-12-154-90.us-west-2.compute.amazonaws.com
upmusics.com,88.198.87.74,static.88.198.87.74.clients.your-server.de
rusvideos.cc,212.162.152.11,4769541.ds-b.had.pm
nishinippon.co.jp,18.67.110.59,server-18-67-110-59.syd62.r.cloudfront.net
petsmart.com,204.74.99.100,crs.ultradns.net
cryoutcreations.eu,95.211.185.122,web.cryout.eu
lespompeurs.com,51.68.247.241,vs1201.deus-communication.cognix-systems.net
volkskrant.nl,23.54.30.83,a23-54-30-83.deploy.static.akamaitechnologies.com
google.org,216.239.32.27,any-in-201b.1e100.net
dedeman.ro,52.16.150.45,ec2-52-16-150-45.eu-west-1.compute.amazonaws.com
supersport.hr,18.159.72.169,ec2-18-159-72-169.eu-central-1.compute.amazonaws.com
bitcoin.com,99.83.188.88,ab131f7b344fd985a.awsglobalaccelerator.com
pex.jp,3.165.82.43,server-3-165-82-43.sin2.r.cloudfront.net
sitepoint.com,54.148.84.95,ec2-54-148-84-95.us-west-2.compute.amazonaws.com
which.co.uk,34.246.63.90,ec2-34-246-63-90.eu-west-1.compute.amazonaws.com
umt.edu,150.131.194.46,wtswww.ito.umt.edu
schneevonmorgen.com,18.67.93.92,server-18-67-93-92.syd62.r.cloudfront.net
kiskegyed.hu,99.83.146.250,af07376032adb5926.awsglobalaccelerator.com
hackerrank.com,52.55.97.9,ec2-52-55-97-9.compute-1.amazonaws.com
campaign-archive1.com,23.202.168.131,a23-202-168-131.deploy.static.akamaitechnologies.com
redlights.be,34.107.190.89,89.190.107.34.bc.googleusercontent.com
paysafecard.com,3.5.134.13,s3-website.eu-central-1.amazonaws.com
