website,ip_address,cdn_server
live.com,204.79.197.212,a-0010.a-msedge.net
googleusercontent.com,172.217.1.1,yyz10s14-in-f1.1e100.net
ebay.com,23.33.42.144,a23-33-42-144.deploy.static.akamaitechnologies.com
stripe.com,3.229.145.172,ec2-3-229-145-172.compute-1.amazonaws.com
globo.com,186.192.83.12,186-192-83-12.prt.globo.com
teamviewer.com,52.223.21.92,ad9dfefee4e491c65.awsglobalaccelerator.com
trustpilot.com,34.241.213.78,ec2-34-241-213-78.eu-west-1.compute.amazonaws.com
branch.io,3.164.92.30,server-3-164-92-30.yto53.r.cloudfront.net
amazontrust.com,18.245.96.65,server-18-245-96-65.yto50.r.cloudfront.net
tremorhub.com,18.245.96.101,server-18-245-96-101.yto50.r.cloudfront.net
comcast.com,96.99.227.0,dns-upper-redirect.xfinity.com
worldbank.org,35.71.168.154,a000b310d37acdcb9.awsglobalaccelerator.com
smartthings.com,18.67.17.76,server-18-67-17-76.yto50.r.cloudfront.net
wshareit.com,159.138.103.42,ecs-159-138-103-42.compute.hwclouds-dns.com
google.ru,142.251.32.67,yyz12s07-in-f3.1e100.net
weathernews.jp,3.164.92.33,server-3-164-92-33.yto53.r.cloudfront.net
goguardian.com,54.190.157.47,ec2-54-190-157-47.us-west-2.compute.amazonaws.com
mparticle.com,18.207.35.54,ec2-18-207-35-54.compute-1.amazonaws.com
howstuffworks.com,18.67.39.83,server-18-67-39-83.yto50.r.cloudfront.net
mitre.org,52.45.20.31,ec2-52-45-20-31.compute-1.amazonaws.com
hyatt.com,23.222.17.239,a23-222-17-239.deploy.static.akamaitechnologies.com
tamu.edu,75.2.123.204,aff74224b277c7807.awsglobalaccelerator.com
kde.org,85.10.198.55,tyran.kde.org
web.de,82.165.229.83,bap.web.de
usercentrics.eu,34.160.77.130,130.77.160.34.bc.googleusercontent.com
arcticwolf.net,146.148.100.16,16.100.148.146.bc.googleusercontent.com
google.ch,142.251.33.163,yyz10s17-in-f3.1e100.net
nessus.org,54.159.189.155,ec2-54-159-189-155.compute-1.amazonaws.com
rottentomatoes.com,23.44.250.189,a23-44-250-189.deploy.static.akamaitechnologies.com
xero.com,18.67.17.36,server-18-67-17-36.yto50.r.cloudfront.net
ethz.ch,129.132.19.216,cms-publish.ethz.ch
mobilefuse.com,18.67.17.13,server-18-67-17-13.yto50.r.cloudfront.net
ccc.de,195.54.164.39,web.ber.ccc.de
hawaii.edu,128.171.133.42,web3-vip-www00.its.hawaii.edu
sba.gov,35.153.10.75,ec2-35-153-10-75.compute-1.amazonaws.com
nalog.ru,37.220.164.100,cdn.ngenix.net
google.com.pk,142.251.41.35,yyz12s08-in-f3.1e100.net
tele2.ru,78.41.111.55,cdn.ngenix.net
code.org,18.67.39.102,server-18-67-39-102.yto50.r.cloudfront.net
qualcomm.com,129.46.98.181,oss.qualcomm.com
uga.edu,15.197.234.180,a4345f13d27631163.awsglobalaccelerator.com
lastline.com,208.91.0.132,as-40816.engx.vmware.com
google.lk,142.251.32.67,yyz12s07-in-f3.1e100.net
eia.gov,205.254.131.126,parspssmtest.doe.gov
siemens.de,99.83.253.123,a63a2890458a45c87.awsglobalaccelerator.com
tenor.co,34.120.13.18,18.13.120.34.bc.googleusercontent.com
merchant-center-analytics.goog,216.239.32.27,any-in-201b.1e100.net
statsig.com,34.36.101.214,214.101.36.34.bc.googleusercontent.com
alamy.com,34.255.127.214,ec2-34-255-127-214.eu-west-1.compute.amazonaws.com
3m.com,3.130.138.83,ec2-3-130-138-83.us-east-2.compute.amazonaws.com
netlify.com,3.33.186.135,afa7f374f51cc8991.awsglobalaccelerator.com
lapresse.ca,18.207.171.205,ec2-18-207-171-205.compute-1.amazonaws.com
uh.edu,129.7.97.54,campusnet.uh.edu
ons.gov.uk,18.169.209.99,ec2-18-169-209-99.eu-west-2.compute.amazonaws.com
asuscomm.com,54.191.180.149,ec2-54-191-180-149.us-west-2.compute.amazonaws.com
