website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
123rf.com,18.239.36.25,0.728,1.57,0.8763,0.778,18.239.36.20,0.7875000000000001,-0.009500000000000064,False
20min.ch,18.65.39.128,0.456,0.756,0.5794999999999999,0.597,18.65.39.128,0.576,0.02100000000000002,True
20minutes.fr,108.156.60.30,0.453,0.529,0.4896,0.495,108.156.60.30,0.495,0.0,True
20minutos.es,18.239.50.10,0.623,0.695,0.656,0.6575,18.239.50.10,0.6575,0.0,True
24.hu,18.239.83.2,0.603,0.708,0.6473,0.646,18.239.83.2,0.646,0.0,True
2dehands.be,18.239.83.35,0.606,2.22,0.7855,0.6194999999999999,108.156.60.37,0.4815,0.13799999999999996,False
365scores.com,18.239.18.68,0.463,0.507,0.4829,0.4795,18.239.18.68,0.4795,0.0,True
3ds.com,18.239.36.104,0.42,0.49,0.4669,0.4725,18.239.36.104,0.4725,0.0,True
3lift.com,18.239.36.28,0.649,0.811,0.6963,0.6725000000000001,18.239.36.28,0.6725000000000001,0.0,True
4wps.net,18.65.39.12,0.46,0.595,0.5022,0.495,18.65.39.12,0.495,0.0,True
500px.com,13.227.219.126,0.603,1.85,0.7565000000000001,0.6395,13.227.219.73,0.3975,0.24199999999999994,False
8ballpool.com,18.239.36.91,0.743,0.871,0.7904000000000002,0.7945,18.239.36.91,0.7575000000000001,0.03699999999999992,True
99acres.com,23.209.125.31,0.8,3.96,1.1497,0.831,23.209.125.31,0.831,0.0,True
a-mo.net,18.239.50.72,0.656,0.959,0.7578,0.735,18.239.50.38,0.697,0.038000000000000034,False
a47b.com,18.239.82.57,0.646,4.48,1.093,0.6995,18.239.82.57,0.6935,0.006000000000000005,True
aa.com,23.220.112.122,1.12,1.34,1.193,1.1949999999999998,23.220.112.122,1.16,0.03499999999999992,True
aajtak.in,23.209.125.31,0.804,1.68,0.9223,0.834,23.209.125.31,0.834,0.0,True
abc.com,18.239.18.70,0.629,0.829,0.6703,0.6525000000000001,18.239.18.70,0.6385000000000001,0.014000000000000012,True
abc.es,95.101.74.114,0.809,1.97,0.9731,0.8694999999999999,95.101.74.114,0.8545,0.014999999999999902,True
