website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
123rf.com,18.172.78.96,19.3,20.2,19.46,19.4,18.172.78.96,19.4,0.0,True
20min.ch,65.9.112.67,161.0,162.0,161.1,161.0,108.138.26.73,135.0,26.0,False
20minutes.fr,18.66.57.129,16.2,16.3,16.209999999999997,16.2,18.66.57.129,16.2,0.0,True
20minutos.es,18.165.140.104,167.0,167.0,167.0,167.0,13.32.121.74,134.0,33.0,False
24.hu,18.165.122.126,164.0,164.0,164.0,164.0,13.33.187.25,132.0,32.0,False
2dehands.be,3.164.206.41,165.0,166.0,165.1,165.0,18.245.60.75,132.0,33.0,False
365scores.com,108.158.46.96,16.1,16.6,16.24,16.2,108.158.46.96,16.2,0.0,True
3ds.com,18.66.57.26,19.3,19.5,19.4,19.4,18.66.57.17,16.2,3.1999999999999993,False
3lift.com,18.172.64.23,13.0,13.1,13.07,13.1,18.172.64.23,13.1,0.0,True
4wps.net,18.172.78.10,13.0,13.0,13.0,13.0,18.172.78.10,13.0,0.0,True
500px.com,18.67.195.66,13.0,13.1,13.01,13.0,18.67.195.66,13.0,0.0,True
8ballpool.com,18.172.78.19,19.3,19.4,19.37,19.4,18.172.78.19,19.4,0.0,True
99acres.com,23.209.103.59,16.1,16.4,16.23,16.2,23.209.103.59,16.2,0.0,True
a-mo.net,52.85.49.48,184.0,185.0,184.1,184.0,3.160.150.11,164.0,20.0,False
a47b.com,54.182.1.124,20.7,21.6,20.8,20.7,18.239.115.177,13.6,7.1,False
aa.com,23.207.73.35,0.925,0.994,0.9543,0.9455,23.207.73.35,0.9455,0.0,True
aajtak.in,125.56.219.32,38.3,39.2,38.42999999999999,38.35,23.52.171.129,38.1,0.25,False
abc.com,18.239.111.92,16.3,16.4,16.32,16.3,18.239.111.92,16.3,0.0,True
abc.es,23.11.215.137,0.872,1.01,0.94,0.938,23.11.215.145,0.918,0.019999999999999907,False
abc.net.au,23.60.108.131,0.946,1.05,0.9957,1.001,23.60.108.131,1.001,0.0,True
aboutads.info,18.161.125.55,24.5,25.4,24.68,24.6,18.172.64.106,16.2,8.400000000000002,False
aboutamazon.com,18.66.57.110,16.2,16.3,16.22,16.2,18.66.57.110,16.2,0.0,True
abplive.com,23.217.52.121,0.937,1.16,1.0189,0.992,23.217.52.121,0.992,0.0,True
academia.edu,108.158.46.77,16.2,17.1,16.36,16.3,108.158.46.77,16.3,0.0,True
acast.com,3.164.206.129,167.0,169.0,167.6,167.5,65.9.66.109,131.0,36.5,False
accuweather.com,23.200.207.80,0.976,1.63,1.0760999999999998,1.015,23.200.207.80,1.015,0.0,True
activision.com,23.50.253.173,19.4,19.5,19.48,19.5,23.50.253.173,19.45,0.05000000000000071,True
ad.nl,23.11.215.136,0.965,1.07,1.0231,1.03,23.11.215.136,1.03,0.0,True
ada.support,18.66.57.75,16.2,16.4,16.22,16.2,18.66.57.75,16.2,0.0,True
adda247.com,108.159.61.39,19.3,20.0,19.43,19.4,108.159.61.39,19.4,0.0,True
adentifi.com,18.172.64.37,13.0,13.1,13.04,13.0,18.172.64.37,13.0,0.0,True
adevarul.ro,52.85.49.75,170.0,171.0,170.1,170.0,18.66.112.74,127.0,43.0,False
adingo.jp,54.182.0.44,17.5,18.5,17.65,17.6,18.155.99.21,1.725,15.875000000000002,False
adlightning.com,108.159.61.62,19.3,20.3,19.46,19.4,108.159.61.62,19.4,0.0,True
admanmedia.com,104.108.234.86,38.1,39.1,38.260000000000005,38.2,104.108.234.86,38.2,0.0,True
