website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
123rf.com,18.172.112.16,0.725,2.22,0.9261,0.759,18.172.112.48,0.749,0.010000000000000009,False
20min.ch,108.138.26.120,0.318,1.01,0.4346,0.3505,108.138.26.73,0.3325,0.01799999999999996,False
20minutes.fr,143.204.98.33,0.723,1.55,0.9151,0.862,143.204.98.16,0.79,0.07199999999999995,False
20minutos.es,13.32.121.74,0.717,1.53,0.8628,0.781,13.32.121.74,0.7615000000000001,0.019499999999999962,True
24.hu,13.33.187.26,0.718,1.95,0.9074,0.766,13.33.187.16,0.717,0.049000000000000044,False
2dehands.be,18.245.60.75,0.493,0.692,0.5503000000000001,0.53,18.245.60.7,0.5085,0.021500000000000075,False
365scores.com,13.35.58.84,0.504,1.18,0.5932999999999999,0.53,13.35.58.84,0.53,0.0,True
3ds.com,65.9.66.32,0.344,1.12,0.4515,0.375,65.9.66.127,0.3615,0.013500000000000012,False
3lift.com,18.245.86.10,0.674,1.27,0.7638,0.7104999999999999,18.245.86.10,0.7104999999999999,0.0,True
4wps.net,143.204.98.98,0.924,2.23,1.1304,0.962,143.204.98.98,0.962,0.0,True
500px.com,18.172.112.18,0.699,0.887,0.7451,0.732,18.172.112.18,0.725,0.007000000000000006,True
8ballpool.com,3.160.150.78,0.694,1.7,0.8211999999999999,0.725,3.160.150.119,0.6995,0.025499999999999967,False
99acres.com,23.207.210.71,0.478,0.694,0.5383,0.517,23.207.210.71,0.517,0.0,True
a-mo.net,3.160.150.66,0.696,1.61,0.8431000000000001,0.755,3.160.150.102,0.7235,0.03149999999999997,False
a47b.com,13.225.84.181,0.982,2.23,1.1288,1.01,13.225.84.181,1.01,0.0,True
aa.com,69.192.162.114,0.51,1.58,0.6341,0.534,69.192.162.114,0.534,0.0,True
aajtak.in,23.32.238.48,0.752,0.806,0.7715000000000001,0.769,23.53.40.123,0.546,0.22299999999999998,False
abc.com,13.35.58.85,0.495,1.16,0.5784,0.514,13.35.58.85,0.514,0.0,True
abc.es,2.21.20.21,0.527,1.54,0.6708000000000001,0.5515,2.21.20.11,0.521,0.03049999999999997,False
abc.net.au,184.30.20.92,0.925,1.96,1.0782,0.969,23.35.228.93,0.511,0.45799999999999996,False
aboutads.info,13.33.187.48,0.726,1.62,0.9164,0.7885,13.33.187.10,0.749,0.03949999999999998,False
aboutamazon.com,108.138.7.57,0.32,1.14,0.421,0.3325,108.138.7.57,0.3325,0.0,True
abplive.com,23.50.131.24,0.453,0.715,0.5729999999999998,0.587,193.108.153.27,0.487,0.09999999999999998,False
academia.edu,18.173.205.55,0.532,4.52,1.0254,0.5925,18.173.205.55,0.5925,0.0,True
acast.com,65.9.66.109,0.309,1.02,0.4221,0.354,65.9.66.109,0.354,0.0,True
accuweather.com,23.41.180.246,0.482,33.8,4.1956,0.5285,23.41.180.246,0.5145,0.014000000000000012,True
activision.com,23.218.209.110,0.763,1.3,0.8709,0.8140000000000001,23.218.209.110,0.8140000000000001,0.0,True
ad.nl,2.17.100.147,0.92,1.77,1.0195,0.931,23.50.131.144,0.494,0.43700000000000006,False
ada.support,13.35.58.34,0.481,1.35,0.5942999999999999,0.5005,13.35.58.34,0.5005,0.0,True
adda247.com,18.66.147.87,0.74,0.93,0.807,0.7835000000000001,18.66.147.15,0.7384999999999999,0.04500000000000015,False
adentifi.com,13.33.187.98,0.669,1.26,0.7544,0.707,13.33.187.98,0.707,0.0,True
adevarul.ro,18.66.112.39,0.52,1.25,0.6319999999999999,0.5694999999999999,18.66.112.74,0.541,0.02849999999999986,False
adingo.jp,3.160.150.62,0.723,1.79,0.8509,0.7395,18.245.46.110,0.492,0.24750000000000005,False
adlightning.com,143.204.98.97,0.955,2.08,1.1208,0.9855,143.204.98.110,0.9645,0.02100000000000002,False
admanmedia.com,23.210.120.148,0.816,3.99,1.1667,0.851,23.210.120.148,0.851,0.0,True
adobe.com,2.16.10.171,0.489,24.3,3.0299000000000005,0.5185,2.16.10.171,0.5185,0.0,True
adsafeprotected.com,13.32.27.125,0.526,1.49,0.683,0.56,18.66.112.50,0.5415000000000001,0.01849999999999996,False
aepd.es,95.101.111.165,0.915,2.22,1.1064000000000005,0.9595,95.101.111.165,0.9595,0.0,True
