website,cdn_first,cdn_min_median,response_time_first,response_time_min_median,throughput_first,throughput_min_median,latency_diff
123rf.com,18.172.112.16,18.172.112.48,0.46658802032470703,0.45617151260375977,2.1432183348901286,2.1921579326428065,0.010416507720947266
20min.ch,108.138.26.120,108.138.26.73,0.024899959564208984,0.02484416961669922,40.1607077883529,40.25089248013512,5.5789947509765625e-05
20minutes.fr,143.204.98.33,143.204.98.16,0.06573343276977539,0.049471139907836914,15.21295873140229,20.213805500802422,0.016262292861938477
24.hu,13.33.187.26,13.33.187.16,3.7810065746307373,3.8523950576782227,0.2644798363244482,0.2595787776248171,-0.07138848304748535
2dehands.be,18.245.60.75,18.245.60.7,0.031293392181396484,0.024563312530517578,31.95562801895561,40.71112146448469,0.006730079650878906
3ds.com,65.9.66.32,65.9.66.127,0.11347532272338867,0.04797554016113281,8.812488706796932,20.843954995427982,0.06549978256225586
8ballpool.com,3.160.150.78,3.160.150.119,0.04064798355102539,0.6421968936920166,24.60146636166344,1.5571548380605806,-0.6015489101409912
a-mo.net,3.160.150.66,3.160.150.102,0.020565032958984375,0.02020549774169922,48.626228900018546,49.4914806249115,0.00035953521728515625
aajtak.in,23.32.238.48,23.53.40.123,0.04645371437072754,0.045578956604003906,21.526803906775267,21.939949364969767,0.0008747577667236328
abc.es,2.21.20.21,2.21.20.11,0.018289566040039062,0.0168764591217041,54.67598289706956,59.25413576322667,0.001413106918334961
abc.net.au,184.30.20.92,23.35.228.93,0.01848459243774414,0.0261232852935791,54.099110021927,38.280024459473026,-0.007638692855834961
aboutads.info,13.33.187.48,13.33.187.10,0.021728992462158203,0.021312713623046875,46.021461958787775,46.92035081439055,0.0004162788391113281
abplive.com,23.50.131.24,193.108.153.27,0.07168889045715332,0.03533124923706055,13.949162745065435,28.303556245360685,0.03635764122009277
ad.nl,2.17.100.147,23.50.131.144,0.11324787139892578,0.02223372459411621,8.83018804368879,44.976719746930456,0.09101414680480957
adda247.com,18.66.147.87,18.66.147.15,0.016478300094604492,0.014479398727416992,60.6858713737973,69.06364130345293,0.0019989013671875
adevarul.ro,18.66.112.39,18.66.112.74,0.022185087203979492,0.019806623458862305,45.07532428453214,50.48816130003009,0.0023784637451171875
adingo.jp,3.160.150.62,18.245.46.110,0.02578115463256836,0.01656651496887207,38.78802226866665,60.3627257681514,0.009214639663696289
adlightning.com,143.204.98.97,143.204.98.110,0.026906251907348633,0.022068262100219727,37.166083311919046,45.31394431780124,0.004837989807128906
adsafeprotected.com,13.32.27.125,18.66.112.50,0.020388364791870117,0.020130157470703125,49.047582295503716,49.67671025203714,0.0002582073211669922
ahagamecenter.com,143.204.215.63,143.204.215.115,0.023392438888549805,0.023249149322509766,42.74885593436274,43.01232643517854,0.00014328956604003906
akamai.com,2.23.209.148,104.126.37.160,0.0237579345703125,0.026207923889160156,42.09120102761721,38.15639896655871,-0.0024499893188476562
alltrails.com,13.32.121.56,13.32.27.80,0.10651206970214844,0.10074734687805176,9.388607345593897,9.925819696378072,0.00576472282409668
amarujala.com,18.245.60.16,18.245.60.88,0.01801586151123047,0.017157554626464844,55.50664337515219,58.28336390417431,0.000858306884765625
amazonses.com,143.204.215.79,13.33.187.14,0.025139331817626953,0.02693629264831543,39.77830466038201,37.12463378149922,-0.0017969608306884766
amazontrust.com,143.204.215.107,143.204.215.70,0.026890277862548828,0.0257110595703125,37.18816165126877,38.893768545994064,0.0011792182922363281
ambitionbox.com,2.19.126.158,2.16.168.4,0.02590203285217285,0.03636360168457031,38.607008403825446,27.500026226068712,-0.010461568832397461
americanexpress.com,95.100.68.84,23.212.221.34,0.030022859573364258,0.06352806091308594,33.30795314671431,15.741075449605187,-0.03350520133972168
