website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
123rf.com,18.245.253.63,1.32,2.39,1.482,1.38,18.239.36.20,10.1,-8.719999999999999,False
20min.ch,18.164.68.15,0.239,0.384,0.3196,0.3225,18.164.68.15,0.3225,0.0,True
20minutes.fr,18.239.236.57,0.814,0.985,0.8798999999999999,0.846,18.239.236.57,0.846,0.0,True
20minutos.es,18.245.143.29,0.855,0.937,0.8863,0.8855,18.245.143.29,0.8855,0.0,True
24.hu,18.154.84.62,1.41,1.9,1.47,1.42,18.154.84.62,1.42,0.0,True
2dehands.be,108.138.233.125,0.965,1.94,1.0979,1.005,108.138.233.125,1.005,0.0,True
365scores.com,18.165.242.72,0.954,1.27,1.0142,0.9905,18.165.242.72,0.9905,0.0,True
3ds.com,18.239.36.104,6.07,6.2,6.11,6.105,18.239.36.104,6.105,0.0,True
3lift.com,18.245.86.32,11.3,11.7,11.41,11.4,18.239.36.29,9.78,1.620000000000001,False
4wps.net,18.165.242.112,1.64,1.94,1.716,1.68,18.165.242.112,1.68,0.0,True
500px.com,18.165.227.109,1.64,2.29,1.785,1.7,18.165.227.109,1.7,0.0,True
8ballpool.com,18.245.218.115,1.41,2.16,1.5559999999999998,1.43,18.245.218.115,1.43,0.0,True
99acres.com,104.86.110.192,1.59,2.58,1.7080000000000002,1.6150000000000002,104.86.110.192,1.6150000000000002,0.0,True
a-mo.net,13.224.222.122,1.27,1.97,1.429,1.4049999999999998,13.224.222.122,1.4049999999999998,0.0,True
a47b.com,13.224.246.124,0.941,8.3,1.8418,0.9955,13.224.246.124,0.9955,0.0,True
aa.com,2.19.170.111,1.93,3.35,2.128,1.965,104.115.32.134,1.94,0.025000000000000133,False
aajtak.in,2.18.66.224,1.18,1.27,1.213,1.215,2.18.66.224,1.215,0.0,True
abc.com,108.138.233.125,0.99,1.69,1.0965,1.03,108.138.233.125,1.03,0.0,True
abc.es,2.22.249.67,1.77,2.8,1.924,1.825,2.22.249.67,1.825,0.0,True
abc.net.au,2.16.232.107,0.453,1.1,0.5748,0.493,2.16.232.107,0.493,0.0,True
aboutads.info,18.172.153.16,0.279,0.801,0.3848,0.3485,18.172.153.16,0.3485,0.0,True
aboutamazon.com,108.156.46.57,0.269,1.07,0.4178,0.321,108.156.46.57,0.321,0.0,True
abplive.com,2.23.210.7,1.25,1.87,1.354,1.295,2.23.210.7,1.295,0.0,True
academia.edu,108.156.39.40,0.271,0.929,0.424,0.3625,108.156.39.40,0.3625,0.0,True
acast.com,143.204.68.102,0.994,1.78,1.1674000000000002,1.0950000000000002,143.204.68.102,1.0950000000000002,0.0,True
accuweather.com,23.58.115.76,6.33,7.3,6.486,6.41,23.52.124.75,1.705,4.705,False
activision.com,2.23.161.82,1.75,3.0,1.937,1.805,2.23.161.82,1.805,0.0,True
ad.nl,2.18.63.54,1.2,1.74,1.292,1.25,2.18.66.162,1.215,0.03499999999999992,False
ada.support,143.204.176.51,0.338,1.07,0.433,0.3605,143.204.176.51,0.3605,0.0,True
adda247.com,18.245.218.83,1.41,4.21,1.748,1.46,18.245.218.83,1.46,0.0,True
adentifi.com,108.156.39.58,0.255,1.05,0.3998,0.3375,108.156.39.58,0.3375,0.0,True
adevarul.ro,18.245.143.23,1.4,1.57,1.471,1.4449999999999998,18.245.143.23,1.4449999999999998,0.0,True
adingo.jp,18.245.253.55,1.32,2.95,1.6780000000000002,1.4449999999999998,18.245.253.55,1.4449999999999998,0.0,True
adlightning.com,108.156.39.89,0.903,1.92,1.0562,0.9255,108.156.39.89,0.9255,0.0,True
admanmedia.com,23.214.141.237,1.68,1.79,1.7450000000000003,1.75,23.214.141.237,1.75,0.0,True
adobe.com,104.77.118.123,0.453,1.41,0.6101000000000001,0.532,104.77.118.123,0.532,0.0,True
adsafeprotected.com,52.84.90.56,0.451,1.18,0.6011,0.552,52.84.90.27,0.539,0.013000000000000012,False
aepd.es,2.23.210.151,1.7,2.63,1.84,1.765,2.23.210.151,1.765,0.0,True
agenziaentrate.gov.it,2.16.6.21,8.12,8.24,8.155000000000001,8.145,2.19.194.107,7.75,0.3949999999999996,False
