website,cdn_first,cdn_min_median,response_time_first,response_time_min_median,throughput_first,throughput_min_median,latency_diff
123rf.com,18.245.253.63,18.239.36.20,0.4209606647491455,0.49944186210632324,2.3755188637302003,2.002235046503002,-0.07848119735717773
3lift.com,18.245.86.32,18.239.36.29,0.06819581985473633,0.04813838005065918,14.663655369641372,20.77344520001783,0.02005743980407715
aa.com,2.19.170.111,104.115.32.134,,,,,
accuweather.com,23.58.115.76,23.52.124.75,,,,,
ad.nl,2.18.63.54,2.18.66.162,0.03822612762451172,0.0440824031829834,26.160117755657012,22.68478866383623,-0.00585627555847168
adsafeprotected.com,52.84.90.56,52.84.90.27,0.024929285049438477,0.019864797592163086,40.11346486739798,50.34030653272363,0.005064487457275391
agenziaentrate.gov.it,2.16.6.21,2.19.194.107,0.0562129020690918,0.0571744441986084,17.789510293755885,17.490331808496,-0.0009615421295166016
aircanada.com,23.219.193.144,104.115.33.177,0.043444156646728516,0.06100106239318848,23.018055296403208,16.393157115107268,-0.01755690574645996
ajax.systems,108.138.217.32,108.138.217.52,0.0744016170501709,0.07189130783081055,13.44056809041764,13.909887442212154,0.0025103092193603516
aka.ms,92.123.242.18,104.120.141.111,0.03477883338928223,0.03138327598571777,28.753120865410324,31.864104960077793,0.003395557403564453
amazonvideo.com,18.66.102.31,18.239.83.55,0.08304524421691895,0.05825066566467285,12.041628746228293,17.167185792461556,0.024794578552246094
amd.com,104.115.32.117,2.23.204.110,0.12620902061462402,0.027295351028442383,7.923363917492666,36.63627549460628,0.09891366958618164
angi.com,95.100.104.20,2.21.67.24,0.06427407264709473,0.04322981834411621,15.55837305488065,23.132181404044804,0.021044254302978516
aniview.com,99.84.191.9,99.84.191.60,0.3603179454803467,0.36251044273376465,2.7753266595336545,2.7585412228646367,-0.0021924972534179688
apachefriends.org,185.199.111.153,185.199.108.153,0.03261542320251465,0.02683234214782715,30.660341084364653,37.26845738961997,0.0057830810546875
appsflyersdk.com,18.244.18.31,13.227.219.129,0.08292293548583984,0.06727027893066406,12.059389771250475,14.865405880518303,0.01565265655517578
argos.co.uk,23.48.165.154,23.48.165.152,0.052301645278930664,0.049852848052978516,19.119857409205494,20.059034519698898,0.0024487972259521484
autozone.com,2.22.68.225,173.222.9.24,0.048013925552368164,0.06032896041870117,20.82729100975743,16.575787035939268,-0.012315034866333008
avast.com,2.22.69.188,104.96.173.181,0.049484968185424805,0.06010293960571289,20.20815687408157,16.63812130588282,-0.010617971420288086
axisbank.com,173.222.9.214,2.22.69.176,0.08774137496948242,0.04631662368774414,11.39713163086187,21.590520214551184,0.04142475128173828
banco.bradesco,2.23.210.137,104.86.110.115,0.03290724754333496,0.043297767639160156,30.38844250595915,23.09587894539768,-0.010390520095825195
biglots.com,2.22.68.208,173.222.10.32,0.034865379333496094,0.029712438583374023,28.681747312563253,33.65593830994279,0.00515294075012207
bmwgroup.com,104.96.179.166,104.94.222.172,1.303851842880249,0.04593610763549805,0.7669583054704813,21.769367311984222,1.257915735244751
booking.com,18.245.60.7,18.65.39.125,0.06894135475158691,0.04687857627868652,14.50508194396893,21.33170585333354,0.02206277847290039
bradesco.com.br,2.23.210.137,104.86.110.115,0.026571273803710938,0.033232688903808594,37.63462780848467,30.09085430596608,-0.006661415100097656
branch.io,18.66.122.67,108.156.60.24,0.08284449577331543,0.050301313400268555,12.070807971796532,19.88019660724527,0.032543182373046875
businesstoday.in,2.23.210.21,2.18.66.9,0.03623199462890625,0.04742884635925293,27.59991577174142,21.08421512986915,-0.01119685173034668
cafepress.com,18.239.83.107,18.239.83.106,0.04938149452209473,0.04766416549682617,20.250500914924128,20.980121849958483,0.0017173290252685547
capcut.com,95.100.104.21,2.21.67.9,0.024103879928588867,0.03225898742675781,41.48709680610095,30.99911310825992,-0.008155107498168945
care.com,95.100.104.5,2.21.67.33,0.038956642150878906,0.036550045013427734,25.66956351440672,27.359747426648052,0.002406597137451172
carfax.com,13.249.91.81,18.245.31.3,0.3036978244781494,0.08272314071655273,3.2927466692207026,12.088515877636425,0.22097468376159668
casasbahia.com.br,95.100.104.4,2.21.67.32,0.0593724250793457,0.09828615188598633,16.842835687839823,10.174373305000461,-0.038913726806640625
cdn4image.com,142.132.194.184,157.90.128.108,0.0897371768951416,0.08767819404602051,11.143653439961742,11.405344406103076,0.0020589828491210938
chewy.com,104.96.172.32,173.222.8.118,0.03635716438293457,0.10591387748718262,27.504895306669816,9.441633369725484,-0.06955671310424805
cleanbrowsing.org,208.167.248.121,95.179.200.247,0.326308012008667,0.02523064613342285,3.064589170962309,39.63433971178833,0.30107736587524414
