website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
123rf.com,13.226.94.83,0.887,1.94,1.0417999999999998,0.9615,13.226.94.83,0.9345,0.027000000000000024,True
20min.ch,3.171.139.81,0.835,1.9,0.9832,0.882,3.171.139.121,0.859,0.02300000000000002,False
20minutes.fr,18.164.124.113,1.23,2.16,1.345,1.245,18.164.124.5,1.12,0.125,False
20minutos.es,108.138.128.99,1.03,2.37,1.2180000000000002,1.07,18.173.219.116,0.925,0.14500000000000002,False
24.hu,13.33.252.94,1.17,1.87,1.3130000000000002,1.265,13.33.252.121,1.22,0.04499999999999993,False
2dehands.be,13.33.252.115,1.03,1.82,1.1590000000000005,1.06,13.33.252.115,1.06,0.0,True
365scores.com,108.138.128.117,1.21,2.84,1.384,1.225,108.138.128.60,1.07,0.15500000000000003,False
3ds.com,3.168.102.59,0.912,2.09,1.0706,0.9515,3.168.102.80,0.944,0.007500000000000062,False
3lift.com,13.226.34.103,1.04,1.89,1.141,1.06,13.226.34.78,1.045,0.015000000000000124,False
4wps.net,108.139.47.82,1.24,2.37,1.387,1.275,108.139.47.2,1.1349999999999998,0.14000000000000012,False
500px.com,13.226.34.24,1.06,1.91,1.182,1.0950000000000002,13.226.34.29,0.9645,0.13050000000000017,False
8ballpool.com,108.139.29.61,1.01,1.69,1.129,1.07,108.139.29.89,1.065,0.0050000000000001155,False
99acres.com,104.117.182.179,1.04,2.02,1.177,1.08,104.117.182.179,1.08,0.0,True
a-mo.net,18.173.132.119,0.892,1.0,0.9447,0.942,18.173.132.119,0.864,0.07799999999999996,True
a47b.com,108.138.113.26,1.05,1.74,1.1700000000000002,1.115,108.138.113.205,1.0750000000000002,0.039999999999999813,False
aa.com,23.46.226.168,0.961,1.16,1.0475,1.045,23.46.226.168,1.045,0.0,True
aajtak.in,104.117.182.162,1.22,2.32,1.396,1.285,23.57.90.73,0.764,0.5209999999999999,False
abc.com,18.164.96.78,1.18,1.36,1.232,1.225,18.164.96.126,1.0750000000000002,0.1499999999999999,False
abc.es,23.48.224.111,0.728,0.815,0.7684,0.771,23.48.224.111,0.771,0.0,True
abc.net.au,23.47.168.139,1.15,1.79,1.31,1.245,23.47.168.139,1.245,0.0,True
aboutads.info,18.173.132.125,0.829,1.72,0.9871,0.9095,18.173.132.125,0.8734999999999999,0.03600000000000003,True
aboutamazon.com,52.85.61.51,0.869,1.57,0.9945,0.932,52.85.61.110,0.862,0.07000000000000006,False
abplive.com,23.210.92.140,0.907,1.11,1.0021999999999998,0.984,23.223.209.44,0.81,0.17399999999999993,False
academia.edu,18.164.116.28,1.04,1.66,1.206,1.14,18.164.116.91,1.11,0.029999999999999805,False
acast.com,13.249.91.10,0.839,1.78,0.9639,0.8775,13.249.91.10,0.8775,0.0,True
accuweather.com,23.201.163.89,1.17,2.35,1.347,1.25,23.201.163.89,1.2,0.050000000000000044,True
activision.com,69.192.108.183,0.965,1.89,1.1030000000000002,1.02,69.192.108.183,1.02,0.0,True
ad.nl,23.200.88.57,0.759,1.24,0.8617000000000001,0.8145,23.200.88.57,0.8145,0.0,True
ada.support,13.225.63.100,0.899,1.87,1.0678,0.986,13.225.63.100,0.986,0.0,True
adda247.com,18.164.96.3,1.05,1.22,1.0890000000000002,1.07,18.164.96.3,1.07,0.0,True
adentifi.com,13.249.91.4,0.842,1.88,0.9837,0.8725,13.249.91.4,0.854,0.018500000000000072,True
adevarul.ro,18.173.219.33,0.886,1.57,1.0195,0.951,18.173.219.33,0.912,0.038999999999999924,True
adingo.jp,3.168.122.27,0.83,1.9,0.966,0.8625,3.168.122.27,0.8625,0.0,True
adlightning.com,13.35.93.23,1.06,2.19,1.215,1.115,13.35.93.23,1.085,0.030000000000000027,True
admanmedia.com,23.205.13.228,1.57,2.19,1.711,1.66,23.204.8.169,1.22,0.43999999999999995,False
adobe.com,23.200.0.24,1.25,1.45,1.2959999999999998,1.28,23.200.0.24,1.28,0.0,True
adsafeprotected.com,18.173.132.63,0.858,1.83,0.9910999999999998,0.8925000000000001,18.173.132.108,0.883,0.009500000000000064,False
aepd.es,184.51.148.178,1.32,2.53,1.494,1.39,23.196.3.209,1.29,0.09999999999999987,False
agenziaentrate.gov.it,95.100.86.220,74.4,75.7,74.58000000000001,74.5,95.100.86.220,74.5,0.0,True
ahagamecenter.com,108.138.106.58,1.02,1.12,1.061,1.0550000000000002,108.138.106.58,1.0550000000000002,0.0,True
aircanada.com,23.197.254.71,0.98,1.49,1.0717,1.03,23.197.254.71,1.03,0.0,True
ajax.systems,3.168.122.33,0.854,2.0,0.9857,0.873,3.168.122.49,0.862,0.01100000000000001,False
aka.ms,96.17.65.152,1.25,2.52,1.4279999999999995,1.275,23.217.173.215,1.01,0.2649999999999999,False
akamai.com,23.44.203.83,0.747,1.12,0.8474999999999999,0.802,23.44.203.83,0.802,0.0,True
alhurra.com,23.201.173.206,0.903,1.34,1.0507000000000002,1.02,23.201.173.206,1.015,0.0050000000000001155,True
alltrails.com,13.225.63.48,0.946,2.18,1.1304,1.01,13.225.63.67,0.9955,0.014499999999999957,False
alodokter.com,23.200.88.74,0.706,0.809,0.7527000000000001,0.7444999999999999,23.200.88.74,0.7444999999999999,0.0,True
alphapolis.co.jp,13.225.70.41,0.984,2.06,1.1624000000000003,1.065,13.225.70.41,1.06,0.004999999999999893,True
altema.jp,23.196.3.172,1.1,1.66,1.2319999999999998,1.19,23.196.3.172,1.19,0.0,True
amarujala.com,13.226.94.68,0.832,1.52,0.9309,0.8634999999999999,13.226.94.129,0.844,0.019499999999999962,False
amazonses.com,13.226.94.51,0.882,1.12,0.9805,0.96,13.226.94.122,0.872,0.08799999999999997,False
amazonsilk.com,18.173.219.60,0.92,1.39,1.0074999999999998,0.9735,18.173.219.40,0.8734999999999999,0.10000000000000009,False
amazontrust.com,13.225.63.117,0.91,1.86,1.0376,0.946,13.225.63.107,0.938,0.008000000000000007,False
amazonvideo.com,108.138.106.32,1.2,2.26,1.334,1.23,108.138.106.119,1.225,0.004999999999999893,False
ambitionbox.com,104.117.182.179,1.08,1.68,1.174,1.11,104.117.182.179,1.105,0.0050000000000001155,True
amd.com,96.17.64.103,1.18,2.28,1.3539999999999996,1.22,23.47.168.129,0.8105,0.4095,False
americanexpress.com,23.204.20.147,1.19,1.41,1.296,1.26,23.204.20.147,1.26,0.0,True
americanprogress.org,13.225.63.127,0.895,1.07,0.9634999999999998,0.96,13.225.63.49,0.9555,0.0044999999999999485,False
amperwave.net,108.138.106.78,1.21,2.25,1.381,1.295,108.138.106.90,1.0550000000000002,0.23999999999999977,False
amtrak.com,23.201.181.15,1.13,1.35,1.2160000000000002,1.22,23.201.181.15,1.22,0.0,True
ana.co.jp,23.201.170.12,0.941,1.31,1.0395,1.03,23.201.170.12,0.986,0.04400000000000004,True
angi.com,23.48.224.106,0.913,1.13,1.005,0.9825,23.48.224.106,0.9825,0.0,True
aniview.com,99.84.188.16,6.18,7.27,6.344,6.25,99.84.191.41,5.845,0.40500000000000025,False
ankr.com,18.173.132.41,0.891,0.986,0.9454,0.9445,18.173.132.92,0.9285,0.016000000000000014,False
anydesk.com,3.171.139.64,0.896,1.83,1.0276999999999998,0.943,3.171.139.64,0.943,0.0,True
ap.org,23.204.4.68,0.972,1.92,1.1094000000000002,1.015,23.204.4.68,0.994,0.020999999999999908,True
apachefriends.org,185.199.111.153,0.673,2.16,0.9673,0.8205,185.199.108.153,0.683,0.13749999999999996,False
apartments.com,23.56.163.172,0.686,0.859,0.7579,0.7525,23.56.163.172,0.7525,0.0,True
app.link,13.225.63.24,0.924,2.0,1.0527000000000002,0.9485,13.225.63.38,0.9385,0.010000000000000009,False
appfolio.com,13.35.93.55,1.23,2.43,1.383,1.26,13.35.93.70,1.09,0.16999999999999993,False
apple.news,23.204.14.5,1.16,1.49,1.239,1.215,23.204.14.5,1.215,0.0,True
appsflyersdk.com,18.164.124.109,1.07,1.92,1.239,1.14,18.164.124.45,1.0950000000000002,0.04499999999999971,False
apuestatotal.com,13.225.63.25,0.89,1.75,1.0309,0.9575,13.225.63.25,0.947,0.010500000000000065,True
archdaily.com,108.138.128.91,1.02,1.84,1.163,1.0950000000000002,108.138.128.91,1.0950000000000002,0.0,True
arcpublishing.com,3.168.122.113,0.842,1.87,0.9997,0.879,3.168.122.113,0.8775,0.0015000000000000568,True
arduino.cc,3.168.102.70,0.846,1.77,0.9865,0.905,3.168.102.123,0.8514999999999999,0.0535000000000001,False
argos.co.uk,23.48.224.105,1.17,3.68,1.491,1.26,23.44.111.26,0.847,0.41300000000000003,False
arkoselabs.com,13.226.34.41,0.944,1.97,1.0779,0.9685,13.226.34.41,0.9685,0.0,True
as.com,23.210.92.138,0.953,1.99,1.1409,1.045,23.223.209.44,0.818,0.22699999999999998,False
asahi.com,23.204.5.145,0.874,1.06,0.9726,0.9765,23.204.5.145,0.9765,0.0,True
asda.com,23.197.253.57,0.722,1.15,0.8408000000000001,0.8155,23.197.253.57,0.8155,0.0,True
asos.com,23.44.203.14,0.91,1.56,1.0405000000000002,0.9865,23.44.203.14,0.9865,0.0,True
atlassian.com,18.238.49.108,0.883,1.98,1.0383,0.9405,18.238.49.108,0.9085,0.03200000000000003,True
attentionxyz.com,18.238.80.25,0.883,0.996,0.9485,0.943,18.238.80.92,0.8955,0.04749999999999999,False
audiomack.com,13.225.63.97,0.885,0.969,0.9289,0.932,13.225.63.97,0.932,0.0,True
autoscout24.de,13.226.94.57,0.901,1.83,1.0181,0.9365,13.226.94.62,0.863,0.07350000000000001,False
autoscout24.it,13.226.94.62,0.805,1.65,0.9218,0.8405,13.226.94.62,0.8405,0.0,True
autotrader.com,23.201.164.232,0.972,1.21,1.0482,1.035,23.201.164.232,0.981,0.05399999999999994,True
autozone.com,23.56.162.178,0.944,1.18,1.0213,1.003,23.56.162.178,0.968,0.03499999999999992,True
avast.com,23.56.163.124,0.939,1.1,1.0141,1.01,23.56.163.124,1.01,0.0,True
aviasales.com,18.164.116.39,1.04,1.16,1.086,1.07,18.164.116.39,1.07,0.0,True
aviasales.ru,18.164.96.117,1.05,1.23,1.1110000000000002,1.105,18.164.96.117,1.085,0.020000000000000018,True
awin1.com,108.139.29.12,1.01,1.86,1.14,1.065,108.139.29.12,1.065,0.0,True
aws.com,18.164.96.79,1.17,1.34,1.2240000000000002,1.21,18.164.96.79,1.21,0.0,True
awsapps.com,108.138.106.98,1.2,3.08,1.531,1.265,108.138.106.25,1.07,0.19499999999999984,False
axios.com,13.249.91.22,0.903,1.99,1.0568000000000002,0.9555,13.249.91.42,0.918,0.03749999999999998,False
axisbank.com,23.56.162.21,0.922,1.4,1.0234,0.9915,23.56.162.21,0.9915,0.0,True
axonix.com,18.238.80.27,0.915,5.3,1.3795000000000002,0.9425,18.238.80.27,0.9425,0.0,True
baby-calendar.jp,18.173.132.85,0.809,0.929,0.8786999999999999,0.8825000000000001,18.173.132.50,0.878,0.0045000000000000595,False
