website,cdn_first,cdn_min_median,response_time_first,response_time_min_median,throughput_first,throughput_min_median,latency_diff
20min.ch,3.171.139.81,3.171.139.121,0.11312079429626465,0.1099393367767334,8.840107658552933,9.095925346819367,0.00318145751953125
20minutes.fr,18.164.124.113,18.164.124.5,0.08747982978820801,0.08922934532165527,11.431206512644549,11.207075389774351,-0.0017495155334472656
20minutos.es,108.138.128.99,18.173.219.116,0.23638439178466797,0.028741836547851562,4.230397753634005,34.792487889043734,0.2076425552368164
24.hu,13.33.252.94,13.33.252.121,0.12265515327453613,0.02231311798095703,8.152939141184909,44.8166858999017,0.1003420352935791
365scores.com,108.138.128.117,108.138.128.60,0.020148038864135742,0.023909568786621094,49.632622149644405,41.82425910414423,-0.0037615299224853516
3ds.com,3.168.102.59,3.168.102.80,0.14022231101989746,0.08341193199157715,7.131532726329839,11.988692458304154,0.05681037902832031
3lift.com,13.226.34.103,13.226.34.78,0.027781248092651367,0.02841353416442871,35.99550303373583,35.19449548982588,-0.0006322860717773438
4wps.net,108.139.47.82,108.139.47.2,,,,,
500px.com,13.226.34.24,13.226.34.29,0.022743701934814453,0.025394916534423828,43.968216030358306,39.37795970482753,-0.002651214599609375
8ballpool.com,108.139.29.61,108.139.29.89,0.04410862922668457,0.0417022705078125,22.67130077565471,23.979509696304426,0.0024063587188720703
a47b.com,108.138.113.26,108.138.113.205,,,,,
aajtak.in,104.117.182.162,23.57.90.73,0.10234570503234863,0.05175352096557617,9.770805718558758,19.322356843414568,0.05059218406677246
abc.com,18.164.96.78,18.164.96.126,0.04820108413696289,0.05981326103210449,20.746421328584855,16.718700548081713,-0.011612176895141602
aboutamazon.com,52.85.61.51,52.85.61.110,0.02955174446105957,0.030204057693481445,33.838949890680844,33.1081343489758,-0.000652313232421875
abplive.com,23.210.92.140,23.223.209.44,0.04084634780883789,0.03422379493713379,24.48199297229778,29.219436413668188,0.0066225528717041016
academia.edu,18.164.116.28,18.164.116.91,0.03281283378601074,0.03137946128845215,30.47588045950286,31.867978573870758,0.0014333724975585938
admanmedia.com,23.205.13.228,23.204.8.169,0.026076316833496094,0.020810842514038086,38.34897414329079,48.05187484963397,0.005265474319458008
adsafeprotected.com,18.173.132.63,18.173.132.108,0.02375960350036621,0.02773737907409668,42.088244443329486,36.052432976044145,-0.003977775573730469
aepd.es,184.51.148.178,23.196.3.209,0.03371715545654297,0.0444028377532959,29.65849243388488,22.521083124372446,-0.01068568229675293
ajax.systems,3.168.122.33,3.168.122.49,0.06255865097045898,0.061159372329711914,15.984999428331873,16.350723722424284,0.0013992786407470703
aka.ms,96.17.65.152,23.217.173.215,0.03504776954650879,0.040128231048583984,28.532486173563445,24.920111698651297,-0.005080461502075195
alltrails.com,13.225.63.48,13.225.63.67,0.0832071304321289,0.08769822120666504,12.018200781670851,11.402739830303426,-0.004491090774536133
amarujala.com,13.226.94.68,13.226.94.129,0.025663137435913086,0.02528691291809082,38.96639693791284,39.546147971450395,0.0003762245178222656
amazonses.com,13.226.94.51,13.226.94.122,0.02036881446838379,0.02259063720703125,49.09465897252818,44.2661263086795,-0.002221822738647461
amazonsilk.com,18.173.219.60,18.173.219.40,0.026721715927124023,0.027254104614257812,37.42274645562505,36.69172090419204,-0.0005323886871337891
amazontrust.com,13.225.63.117,13.225.63.107,0.03860664367675781,0.04005551338195801,25.902277555456745,24.96535222166007,-0.0014488697052001953
amazonvideo.com,108.138.106.32,108.138.106.119,0.023234844207763672,0.029025793075561523,43.038808053030145,34.4521163434448,-0.0057909488677978516
amd.com,96.17.64.103,23.47.168.129,0.10749244689941406,0.09846735000610352,9.302979221747076,10.155650577963304,0.009025096893310547
americanprogress.org,13.225.63.127,13.225.63.49,0.028447628021240234,0.023879051208496094,35.15231566067148,41.87771077119693,0.004568576812744141
amperwave.net,108.138.106.78,108.138.106.90,,,,,
aniview.com,99.84.188.16,99.84.191.41,0.047850847244262695,0.045935869216918945,20.89827155818855,21.769480300411587,0.00191497802734375
ankr.com,18.173.132.41,18.173.132.92,0.15633630752563477,0.02325296401977539,6.396466795379749,43.00527017328002,0.13308334350585938
apachefriends.org,185.199.111.153,185.199.108.153,0.027966737747192383,0.04068875312805176,35.75676251694359,24.57681602709465,-0.012722015380859375
app.link,13.225.63.24,13.225.63.38,0.10922598838806152,0.10280346870422363,9.155330290508964,9.727298238127595,0.006422519683837891
appfolio.com,13.35.93.55,13.35.93.70,0.03160667419433594,0.027843236923217773,31.638887212600327,35.91536439379019,0.003763437271118164
appsflyersdk.com,18.164.124.109,18.164.124.45,0.03709912300109863,0.02338266372680664,26.954815076636354,42.766727165201786,0.013716459274291992
arduino.cc,3.168.102.70,3.168.102.123,0.023673534393310547,0.02910327911376953,42.24126331903237,34.36038929121473,-0.005429744720458984
argos.co.uk,23.48.224.105,23.44.111.26,0.3544907569885254,0.04631447792053223,2.820948022721984,21.59152051148736,0.30817627906799316
as.com,23.210.92.138,23.223.209.44,0.044213294982910156,0.05028986930847168,22.617631198636786,19.884720595834658,-0.0060765743255615234
attentionxyz.com,18.238.80.25,18.238.80.92,0.35132813453674316,0.10451912879943848,2.846341928518157,9.567626629560774,0.2468090057373047
autoscout24.de,13.226.94.57,13.226.94.62,0.20188236236572266,0.2090015411376953,4.9533797221395535,4.784653713826807,-0.007119178771972656
awsapps.com,108.138.106.98,108.138.106.25,0.058746337890625,0.05427074432373047,17.022337662337662,18.426133867538265,0.004475593566894531
axios.com,13.249.91.22,13.249.91.42,0.02559661865234375,0.022912263870239258,39.067660208643815,43.64474875391515,0.002684354782104492
baby-calendar.jp,18.173.132.85,18.173.132.50,0.9183883666992188,0.7053182125091553,1.088863966770509,1.417799770748185,0.21307015419006348
bambuser.com,18.164.116.126,18.164.116.89,0.023174762725830078,0.022408008575439453,43.15038785210181,44.626901879003256,0.000766754150390625
bancointer.com.br,18.173.132.127,18.173.132.67,0.022037267684936523,0.020456790924072266,45.37767632071491,48.88352252861239,0.0015804767608642578
barchart.com,13.226.94.59,13.226.94.104,0.043882131576538086,0.030756235122680664,22.788318709081526,32.51373245168642,0.013125896453857422
barrons.com,13.35.93.64,13.35.93.126,0.037548065185546875,0.04211306571960449,26.632530732500253,23.74559968296204,-0.004565000534057617
bartleby.com,13.33.252.106,13.33.252.16,0.03748011589050293,0.04366159439086914,26.680813979376985,22.903423797302462,-0.006181478500366211
beritasatu.com,13.225.63.90,13.225.63.99,0.022162675857543945,0.02007579803466797,45.12090536484611,49.81122036957864,0.0020868778228759766
betclic.ci,18.164.96.61,18.164.96.72,0.022643089294433594,0.022928237915039062,44.16358505664827,43.614341568921056,-0.00028514862060546875
biblegateway.com,18.173.132.48,18.173.132.28,0.01876378059387207,0.019875288009643555,53.294163987751105,50.31373630987368,-0.0011115074157714844
blendlabs.com,13.33.252.12,13.33.252.38,0.02144908905029297,0.02274298667907715,46.62202658841314,43.96959880911197,-0.0012938976287841797
blocket.se,18.173.219.34,18.173.219.82,0.3092377185821533,0.31730151176452637,3.2337581734368412,3.1515765381606915,-0.008063793182373047
bluebillywig.com,13.225.63.79,13.225.63.24,0.2277359962463379,0.15554046630859375,4.391049357512714,6.429195075293079,0.07219552993774414
bluestacks.com,52.85.61.91,52.85.61.48,0.024936914443969727,0.026757001876831055,40.1011922403985,37.37339499407451,-0.0018200874328613281
bmj.com,108.139.47.99,108.139.47.127,0.1702408790588379,0.021771669387817383,5.874029818974234,45.93125047910028,0.1484692096710205
bmwgroup.com,104.96.178.166,104.94.220.164,1.1696288585662842,0.02634263038635254,0.8549720645793462,37.96128121351447,1.1432862281799316
booking.com,52.85.61.119,52.85.61.64,0.021481037139892578,0.018264055252075195,46.552687074074896,54.752352979570524,0.003216981887817383
brand-display.com,18.164.96.119,18.164.96.12,0.0239713191986084,0.027971267700195312,41.71651930019991,35.750971701329696,-0.003999948501586914
bt.dk,18.238.49.14,18.238.49.90,0.01747918128967285,0.020858049392700195,57.210917572599676,47.943121678001944,-0.0033788681030273438
bugsnag.com,18.173.132.40,18.173.132.113,0.025693416595458984,0.023595809936523438,38.92047584581408,42.380405787729366,0.002097606658935547
businesstoday.in,23.210.92.141,23.223.209.42,0.04042625427246094,0.04899954795837402,24.736400094361876,20.408351539273742,-0.008573293685913086
bustle.com,13.35.93.14,13.35.93.97,0.020235300064086914,0.01801323890686035,49.41859012878065,55.51472476274933,0.0022220611572265625
c-span.org,3.168.102.36,3.168.102.128,0.01911020278930664,0.022046804428100586,52.328068468198715,45.3580473878297,-0.0029366016387939453
c212.net,18.238.80.7,18.238.80.49,0.03244757652282715,0.023900747299194336,30.818942650354533,41.839695951001026,0.008546829223632812
callofduty.com,104.126.112.115,23.51.57.218,0.031050443649291992,0.040160417556762695,32.20565900103659,24.900139511413222,-0.009109973907470703
careem-engineering.com,13.33.252.74,13.33.252.36,,,,,
carfax.com,13.249.91.100,13.249.91.83,0.017793655395507812,0.020674943923950195,56.19980705327473,48.36772489823218,-0.002881288528442383
cashify.in,13.226.94.67,13.226.94.9,0.022850513458251953,0.022131919860839844,43.76269276517602,45.183608394019046,0.0007185935974121094
casinoenvivo.club,3.171.139.30,3.171.139.84,0.02292776107788086,0.022084474563598633,43.61524863257284,45.28067883708126,0.0008432865142822266
catawiki.com,23.50.75.197,23.204.12.25,0.11927628517150879,0.19183754920959473,8.383896250307327,5.212743824763089,-0.07256126403808594
ccleaner.com,18.238.80.82,18.238.80.74,0.0503542423248291,0.07357048988342285,19.859299908617857,13.59240643340236,-0.02321624755859375
cdn4image.com,116.202.160.181,157.90.90.133,0.3888382911682129,0.39128684997558594,2.571763179484287,2.555669836751208,-0.002448558807373047
celuapuestas.io,18.238.80.59,18.238.80.71,0.019109010696411133,0.022839784622192383,52.331332892487744,43.783249997390314,-0.00373077392578125
chartbeat.com,108.138.106.39,108.138.106.58,0.0380556583404541,0.03673291206359863,26.27730128996285,27.223542698401367,0.0013227462768554688
citigroup.com,104.96.178.165,104.94.222.171,0.8454012870788574,0.06973385810852051,1.182870212387933,14.340236251431698,0.7756674289703369
clashofclans.com,13.226.94.121,13.226.94.95,0.04247283935546875,0.037598609924316406,23.544458415663733,26.59672796448954,0.004874229431152344
classdojo.com,18.173.132.98,18.173.132.32,0.01843547821044922,0.022348403930664062,54.24323625265118,44.7459247247589,-0.003912925720214844
clickcease.com,18.238.49.25,18.238.49.45,0.01755380630493164,0.021517276763916016,56.96770162714259,46.47428254847645,-0.003963470458984375
clicktripz.com,18.173.132.75,18.173.132.21,0.023444175720214844,0.019814014434814453,42.65451734938779,50.46932832767791,0.0036301612854003906
clickup.com,13.33.252.32,13.33.252.2,0.04039120674133301,0.0397028923034668,24.757863918353372,25.18708189712117,0.0006883144378662109
coches.net,18.238.49.4,18.238.49.48,0.15374040603637695,0.14029955863952637,6.50447091809675,7.127606171373027,0.013440847396850586
code.org,3.168.102.13,3.171.139.88,0.020703554153442383,0.025026798248291016,48.300885567212134,39.95716871487092,-0.004323244094848633
codedish.co,18.238.80.5,18.238.80.120,0.7517776489257812,0.7242326736450195,1.3301805413195043,1.380771727637004,0.02754497528076172
company-target.com,3.168.122.46,3.168.122.118,,,,,
compass.com,18.173.132.99,18.173.132.128,0.07190895080566406,0.04904913902282715,13.906474629320178,20.3877177035586,0.022859811782836914
consumerreports.org,3.171.85.59,3.171.85.114,0.03835606575012207,0.041274070739746094,26.071495614662133,24.228286235818757,-0.0029180049896240234
cylance.com,13.249.91.63,13.249.91.66,0.017301559448242188,0.018678903579711914,57.798258185426086,53.53633288659136,-0.0013773441314697266
dailykos.com,3.168.102.56,3.168.102.81,0.02253890037536621,0.024098634719848633,44.367736817051885,41.496126715276475,-0.0015597343444824219
dalyfeds.com,23.33.46.150,23.204.152.232,0.02351546287536621,0.03035449981689453,42.52521012663362,32.94404473907443,-0.00683903694152832
datadoghq.com,18.164.124.39,18.164.124.60,0.02220320701599121,0.028527259826660156,45.038538769637164,35.054190485741984,-0.006324052810668945
dazn.com,13.225.63.126,13.225.63.26,0.026009321212768555,0.02069401741027832,38.447754626871145,48.32314480915239,0.005315303802490234
deepai.org,108.139.47.57,108.139.47.32,0.022262096405029297,0.017863750457763672,44.91939940454516,55.97928622907936,0.004398345947265625
deezer.com,18.164.96.97,18.164.96.45,0.017398834228515625,0.01985955238342285,57.47511510633633,50.35360217054636,-0.0024607181549072266
deviantart.com,108.139.29.90,18.238.80.111,0.017566919326782227,0.020665407180786133,56.925177454160504,48.39004580223127,-0.0030984878540039062
dhl.de,23.217.135.133,2.18.220.144,0.3613736629486084,0.36428260803222656,2.767218816779716,2.7451214467848932,-0.002908945083618164
digitalgov.gov,13.35.93.67,13.35.93.95,0.024934768676757812,0.025759220123291016,40.10464315765318,38.821051072730974,-0.0008244514465332031
discoveryplus.com,13.226.94.25,13.226.94.47,0.04030942916870117,0.04841780662536621,24.8080913231206,20.65355846739446,-0.008108377456665039
dji.com,13.35.93.30,18.173.219.51,0.04593539237976074,0.04847598075866699,21.76970628078498,20.62877293764109,-0.00254058837890625
domestika.org,18.238.80.122,18.238.80.66,0.20078206062316895,0.20191311836242676,4.980524638985633,4.952625208853623,-0.0011310577392578125
draftkings.com,23.200.88.60,23.44.203.87,0.7661664485931396,0.1376051902770996,1.3051994143521075,7.267167742628535,0.62856125831604
