website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
123rf.com,13.227.74.17,1.44,2.71,1.623,1.475,13.227.74.11,1.1349999999999998,0.3400000000000003,False
20min.ch,108.139.10.50,0.85,2.03,1.0055,0.8755,108.139.10.50,0.8755,0.0,True
20minutes.fr,13.227.74.125,1.53,2.73,1.6949999999999998,1.57,13.227.74.125,1.57,0.0,True
20minutos.es,18.155.202.102,0.837,1.16,0.9539000000000002,0.9205,18.155.202.102,0.9205,0.0,True
24.hu,108.138.246.126,0.79,1.29,0.8857999999999999,0.834,108.138.246.126,0.799,0.03499999999999992,True
2dehands.be,3.169.183.18,0.824,1.87,0.9751,0.863,3.169.183.18,0.863,0.0,True
365scores.com,13.35.121.116,0.944,2.08,1.223,1.0175,13.35.121.116,0.988,0.02950000000000008,True
3ds.com,13.35.121.86,0.894,2.18,1.0796,0.962,108.138.246.84,0.9105,0.05149999999999999,False
3lift.com,65.8.161.46,0.971,1.79,1.1526999999999998,1.06,65.8.161.82,1.0550000000000002,0.004999999999999893,False
4wps.net,108.139.10.8,0.79,1.47,0.9056999999999998,0.83,108.139.10.8,0.809,0.020999999999999908,True
500px.com,18.239.199.4,0.265,1.67,0.4433999999999999,0.313,18.239.199.4,0.313,0.0,True
8ballpool.com,65.8.161.42,0.292,0.913,0.4589,0.4125,65.8.161.25,0.3405,0.07199999999999995,False
99acres.com,23.33.32.138,113.0,114.0,113.4,113.0,96.16.55.41,3.08,109.92,False
a-mo.net,3.168.86.93,0.849,2.01,1.0747,0.9055,3.168.86.6,0.897,0.008499999999999952,False
a47b.com,3.168.84.91,0.823,1.85,0.9444,0.8465,3.168.84.110,0.836,0.010500000000000065,False
aa.com,104.99.48.133,0.763,1.53,0.8615999999999999,0.791,104.99.48.133,0.791,0.0,True
aajtak.in,23.67.33.139,3.07,3.14,3.101,3.105,23.67.33.223,1.065,2.04,False
abc.com,65.8.161.63,0.946,2.18,1.0946000000000002,0.9805,65.8.161.4,0.971,0.009500000000000064,False
abc.es,23.212.62.196,1.38,1.55,1.43,1.4049999999999998,23.216.149.148,0.786,0.6189999999999998,False
abc.net.au,23.45.136.113,1.52,1.65,1.56,1.54,104.99.48.130,0.93,0.61,False
aboutads.info,18.239.199.87,0.898,5.78,1.5872000000000002,0.9765,18.239.199.99,0.867,0.10950000000000004,False
aboutamazon.com,65.8.161.69,0.932,1.76,1.0501999999999998,0.963,65.8.161.69,0.963,0.0,True
abplive.com,23.192.228.73,0.81,1.29,0.8985,0.8514999999999999,23.192.228.73,0.8514999999999999,0.0,True
academia.edu,108.138.246.2,0.855,2.48,1.0742,0.9145,108.138.246.2,0.9145,0.0,True
acast.com,99.84.238.131,0.894,1.52,1.0107,0.9665,99.84.238.161,0.9635,0.0030000000000000027,False
accuweather.com,104.89.224.71,2.28,2.64,2.372,2.335,104.89.224.71,2.315,0.020000000000000018,True
activision.com,23.37.17.218,2.23,2.39,2.281,2.26,104.107.105.200,0.815,1.4449999999999998,False
ad.nl,23.46.216.201,2.25,2.76,2.355,2.285,23.216.149.138,0.863,1.4220000000000002,False
ada.support,99.84.238.129,0.905,5.89,1.581,0.975,99.84.238.112,0.9665,0.008499999999999952,False
adda247.com,13.227.74.44,1.42,2.18,1.527,1.44,13.227.74.44,1.44,0.0,True
adentifi.com,13.35.121.42,0.942,2.99,1.1745,0.974,13.35.121.42,0.974,0.0,True
adevarul.ro,18.155.192.81,0.283,0.825,0.3943,0.3405,18.155.192.81,0.3405,0.0,True
adingo.jp,3.169.183.59,0.251,0.895,0.3283,0.267,3.169.183.59,0.267,0.0,True
adlightning.com,108.139.10.71,0.781,1.42,0.9065,0.854,108.139.10.71,0.796,0.05799999999999994,True
admanmedia.com,104.100.62.175,2.29,3.72,2.593,2.34,104.100.62.175,2.34,0.0,True
adobe.com,23.67.33.138,3.06,3.63,3.144,3.09,23.67.33.138,3.09,0.0,True
adsafeprotected.com,18.244.214.97,0.834,2.71,1.0778,0.9105,18.244.214.42,0.8765000000000001,0.03399999999999992,False
aepd.es,23.212.62.200,1.3,1.94,1.406,1.335,23.216.149.141,0.8314999999999999,0.5035000000000001,False
agenziaentrate.gov.it,23.192.118.89,138.0,143.0,138.9,138.0,23.192.118.27,134.0,4.0,False
ahagamecenter.com,18.244.214.114,0.278,1.18,0.4009,0.297,18.244.214.114,0.297,0.0,True
aircanada.com,23.47.185.180,0.789,4.21,1.2059000000000002,0.8354999999999999,104.99.50.65,0.8065,0.028999999999999915,False
ajax.systems,3.168.86.78,0.869,2.09,1.0506,0.925,3.168.86.78,0.925,0.0,True
aka.ms,23.1.102.151,1.35,2.0,1.5379999999999998,1.4449999999999998,104.99.49.220,0.8485,0.5964999999999998,False
akamai.com,23.211.139.197,0.797,0.984,0.8542,0.8394999999999999,23.211.139.197,0.8394999999999999,0.0,True
alhurra.com,23.202.199.206,2.25,2.61,2.343,2.31,23.38.227.33,2.265,0.04499999999999993,False
alltrails.com,65.8.161.48,0.308,1.17,0.4918,0.3545,65.8.161.17,0.3105,0.043999999999999984,False
alodokter.com,23.62.46.173,0.801,1.22,0.8880000000000001,0.8305,23.62.46.173,0.8305,0.0,True
alphapolis.co.jp,18.173.120.201,0.263,0.786,0.3500999999999999,0.303,18.173.120.201,0.2735,0.02949999999999997,True
altema.jp,23.62.46.181,0.778,1.25,0.9336,0.8625,23.216.149.152,0.82,0.04250000000000009,False
amarujala.com,108.138.246.70,0.845,1.91,0.9984000000000002,0.8935,108.138.246.70,0.8935,0.0,True
amazonses.com,18.239.199.128,0.847,1.57,1.0593,1.05,18.239.199.101,0.911,0.139,False
amazonsilk.com,13.35.121.38,0.934,2.33,1.171,1.05,13.35.121.115,0.9895,0.0605,False
amazontrust.com,18.173.121.110,0.822,1.02,0.8782,0.8614999999999999,18.173.121.110,0.8614999999999999,0.0,True
amazonvideo.com,18.155.202.12,0.83,1.94,0.9842,0.8645,18.155.202.12,0.8645,0.0,True
ambitionbox.com,23.56.4.208,1.45,1.66,1.534,1.525,23.56.4.208,1.47,0.05499999999999994,True
amd.com,23.45.136.99,1.28,2.23,1.438,1.36,104.99.48.117,0.8505,0.5095000000000001,False
americanexpress.com,184.85.76.134,10.0,13.6,10.579999999999998,10.1,184.85.76.134,10.1,0.0,True
americanprogress.org,3.169.183.31,0.286,1.68,0.4723999999999999,0.3185,18.239.199.40,0.2935,0.025000000000000022,False
amperwave.net,18.155.202.17,0.849,1.5,0.9667,0.906,18.155.202.101,0.8805000000000001,0.025499999999999967,False
amtrak.com,23.214.100.193,1.32,1.41,1.355,1.35,23.214.100.193,1.3450000000000002,0.004999999999999893,True
ana.co.jp,23.202.196.69,2.26,2.84,2.402,2.335,23.202.196.69,2.335,0.0,True
angi.com,23.216.149.83,0.791,1.01,0.8497999999999999,0.8305,23.216.149.83,0.8305,0.0,True
aniview.com,99.84.191.41,68.3,72.2,68.93000000000002,68.4,99.84.191.9,66.6,1.8000000000000114,False
ankr.com,18.155.192.50,0.848,3.45,1.1958,0.9115,18.155.192.35,0.9075,0.0040000000000000036,False
anydesk.com,18.238.192.84,0.848,3.39,1.159,0.895,18.238.192.84,0.895,0.0,True
ap.org,23.56.125.133,2.22,3.08,2.335,2.245,23.56.125.133,2.245,0.0,True
apachefriends.org,185.199.109.153,0.922,22.2,3.2329,1.105,185.199.108.153,1.015,0.09000000000000008,False
apartments.com,23.37.17.136,0.939,1.9,1.0745,0.9885,23.37.17.136,0.9885,0.0,True
app.link,18.238.192.117,0.86,2.95,1.2803,0.93,3.168.86.74,0.8985000000000001,0.03149999999999997,False
appfolio.com,3.168.86.125,0.874,1.92,1.0224,0.897,3.168.86.125,0.897,0.0,True
apple.news,104.100.68.214,0.949,2.1,1.1090000000000002,0.9955,104.100.68.214,0.9955,0.0,True
appsflyersdk.com,18.173.121.38,0.851,1.82,1.0432,0.9105,18.173.121.98,0.8945000000000001,0.015999999999999903,False
apuestatotal.com,65.8.161.28,0.3,1.25,0.4201,0.331,65.8.161.49,0.3275,0.003500000000000003,False
archdaily.com,3.168.86.93,0.768,1.64,0.8919,0.8035000000000001,3.168.86.93,0.8035000000000001,0.0,True
arcpublishing.com,18.238.192.112,0.872,1.9,1.0556,0.93,18.238.192.8,0.8925000000000001,0.03749999999999998,False
arduino.cc,18.239.199.36,0.289,1.17,0.4091999999999999,0.309,18.239.199.36,0.309,0.0,True
argos.co.uk,23.212.62.199,1.31,2.83,1.576,1.38,23.216.149.153,0.841,0.5389999999999999,False
arkoselabs.com,18.239.199.111,0.253,1.28,0.4048,0.304,18.239.199.15,0.2965,0.007500000000000007,False
as.com,23.44.229.233,3.06,4.4,3.2589999999999995,3.125,23.62.46.102,0.923,2.202,False
asahi.com,104.100.59.150,2.23,3.14,2.341,2.26,104.100.59.150,2.26,0.0,True
asda.com,184.28.121.40,1.34,2.65,1.535,1.42,104.99.49.42,0.845,0.575,False
