website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
123rf.com,13.35.238.38,0.889,2.21,1.0532,0.9245,13.35.238.38,0.9245,0.0,True
20min.ch,52.222.144.21,139.0,140.0,139.1,139.0,52.222.144.21,139.0,0.0,True
20minutes.fr,13.227.254.20,1.36,2.38,1.517,1.42,13.227.254.20,1.42,0.0,True
20minutos.es,18.165.140.104,180.0,180.0,180.0,180.0,13.32.121.100,156.0,24.0,False
24.hu,65.9.112.37,202.0,205.0,202.4,202.0,13.33.187.25,156.0,46.0,False
2dehands.be,3.164.206.41,190.0,191.0,190.1,190.0,18.245.60.75,154.0,36.0,False
365scores.com,13.35.210.40,0.84,1.69,0.954,0.873,13.35.210.40,0.866,0.007000000000000006,True
3ds.com,13.33.88.44,0.878,2.38,1.0655,0.919,13.33.88.94,0.9025,0.01650000000000007,False
3lift.com,13.35.238.94,0.862,1.61,0.9536,0.885,13.35.238.94,0.885,0.0,True
4wps.net,108.157.254.41,0.854,1.65,0.9590000000000002,0.8885000000000001,108.157.254.41,0.8885000000000001,0.0,True
500px.com,13.33.88.28,0.811,1.65,0.9389,0.8614999999999999,13.33.88.28,0.8614999999999999,0.0,True
8ballpool.com,108.156.133.77,0.899,2.2,1.0801,0.9505,108.156.133.23,0.946,0.0045000000000000595,False
99acres.com,125.56.219.40,0.524,1.68,0.6971999999999999,0.591,23.52.171.145,0.58,0.01100000000000001,False
a-mo.net,52.85.49.48,187.0,188.0,187.1,187.0,3.160.150.11,158.0,29.0,False
a47b.com,18.155.70.142,1.4,1.48,1.433,1.435,3.165.84.66,0.8454999999999999,0.5895000000000001,False
aa.com,23.207.182.113,0.454,0.499,0.4749,0.476,23.207.182.113,0.476,0.0,True
aajtak.in,23.52.171.105,0.477,0.777,0.5643,0.5205,23.52.171.129,0.5175000000000001,0.0029999999999998916,False
abc.com,3.165.102.44,0.817,1.72,0.9336,0.846,3.165.102.44,0.846,0.0,True
abc.es,96.17.180.3,0.505,1.26,0.5963999999999999,0.5255000000000001,96.17.180.3,0.5255000000000001,0.0,True
abc.net.au,104.83.196.95,0.83,1.43,0.9699,0.911,104.83.196.95,0.911,0.0,True
aboutads.info,13.35.210.79,0.853,1.41,0.9313,0.8734999999999999,13.35.210.26,0.837,0.03649999999999998,False
aboutamazon.com,3.165.82.69,0.862,0.979,0.9064,0.9025,3.165.82.69,0.9025,0.0,True
abplive.com,23.52.171.137,0.487,0.997,0.5868,0.516,23.52.171.137,0.516,0.0,True
academia.edu,108.157.254.49,0.846,1.77,0.9635,0.8734999999999999,108.157.254.49,0.8734999999999999,0.0,True
acast.com,13.226.2.52,207.0,208.0,207.1,207.0,13.35.58.62,159.0,48.0,False
accuweather.com,23.203.73.247,0.804,1.74,1.0905999999999998,0.865,23.203.73.247,0.8485,0.01649999999999996,True
activision.com,23.40.33.118,0.769,0.879,0.8034000000000001,0.7985,23.40.33.118,0.7985,0.0,True
ad.nl,23.59.168.131,0.521,0.938,0.575,0.5325,23.59.168.131,0.5325,0.0,True
