website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
123rf.com,108.158.32.47,0.423,1.02,0.5347000000000001,0.4715,108.158.32.55,0.4505,0.020999999999999963,False
20min.ch,108.139.10.30,143.0,143.0,143.0,143.0,108.139.10.16,142.0,1.0,False
20minutes.fr,108.158.32.117,0.307,0.46,0.3344,0.317,108.158.32.117,0.317,0.0,True
20minutos.es,18.155.202.102,143.0,143.0,143.0,143.0,99.84.238.116,142.0,1.0,False
24.hu,108.138.246.126,142.0,143.0,142.2,142.0,108.138.246.126,142.0,0.0,True
2dehands.be,3.169.183.115,143.0,143.0,143.0,143.0,3.169.183.115,143.0,0.0,True
365scores.com,18.67.110.81,0.649,0.709,0.6814,0.6855,18.67.110.81,0.6855,0.0,True
3ds.com,13.35.147.42,0.48,1.05,0.5720000000000001,0.5155000000000001,13.35.147.42,0.5155000000000001,0.0,True
3lift.com,18.67.110.30,0.824,0.89,0.8612,0.8634999999999999,18.67.110.23,0.844,0.019499999999999962,False
4wps.net,18.67.110.61,0.818,1.03,0.8946,0.8915,18.67.110.44,0.857,0.034499999999999975,False
500px.com,108.158.20.64,0.79,1.52,0.9049,0.837,108.158.20.64,0.837,0.0,True
8ballpool.com,18.65.244.88,0.324,0.516,0.3844,0.38,18.65.244.88,0.38,0.0,True
99acres.com,184.84.150.66,52.1,52.5,52.17,52.1,23.40.52.181,0.357,51.743,False
a-mo.net,3.168.86.93,143.0,143.0,143.0,143.0,3.168.86.93,143.0,0.0,True
a47b.com,108.158.16.176,0.668,1.25,0.7793,0.735,108.158.16.176,0.735,0.0,True
aa.com,23.215.56.119,0.305,2.71,0.6317,0.394,23.202.170.117,0.3735,0.020500000000000018,False
aajtak.in,23.46.179.155,0.239,0.598,0.2942,0.2625,23.40.52.187,0.254,0.008500000000000008,False
abc.com,13.35.147.32,0.453,1.05,0.5344,0.4775,18.65.244.97,0.3855,0.09199999999999997,False
abc.es,23.48.247.236,0.333,0.771,0.4151000000000001,0.369,23.48.247.236,0.369,0.0,True
abc.net.au,104.116.108.120,0.613,1.26,0.7019,0.6355,23.215.56.116,0.3395,0.29599999999999993,False
aboutads.info,18.65.244.41,0.367,0.81,0.4421,0.4035,18.65.244.41,0.376,0.027500000000000024,True
aboutamazon.com,18.67.93.28,0.664,1.07,0.7257,0.691,18.67.93.28,0.691,0.0,True
abplive.com,23.46.179.131,0.225,0.545,0.2884,0.265,23.46.179.131,0.265,0.0,True
academia.edu,18.67.93.48,0.672,0.725,0.706,0.7095,18.67.93.48,0.7095,0.0,True
acast.com,99.84.238.161,142.0,143.0,142.5,142.5,99.84.238.203,142.0,0.5,False
accuweather.com,23.40.161.49,0.248,0.881,0.3264,0.264,23.40.161.49,0.257,0.007000000000000006,True
activision.com,104.98.248.253,47.0,47.7,47.16,47.1,104.98.248.253,47.1,0.0,True
ad.nl,23.40.52.26,0.222,0.261,0.2467,0.2515,23.40.52.26,0.2515,0.0,True
ada.support,108.158.20.5,0.808,1.42,0.8996999999999999,0.8445,108.158.20.5,0.8445,0.0,True
adda247.com,18.67.93.96,0.798,0.973,0.8808,0.891,18.67.93.125,0.7375,0.15349999999999997,False
adentifi.com,108.158.20.35,0.812,1.34,0.8928999999999998,0.839,108.158.20.35,0.839,0.0,True
adevarul.ro,18.155.192.42,143.0,143.0,143.0,143.0,18.155.192.42,143.0,0.0,True
adingo.jp,3.168.203.28,216.0,216.0,216.0,216.0,3.165.102.16,91.7,124.3,False
adlightning.com,108.158.20.106,0.78,1.5,0.9469,0.894,108.158.20.106,0.894,0.0,True
admanmedia.com,104.74.40.185,0.246,0.87,0.3845,0.2805,104.74.40.185,0.2685,0.01200000000000001,True
adobe.com,23.46.179.72,0.227,0.488,0.2844,0.256,23.46.179.72,0.256,0.0,True
adsafeprotected.com,99.84.203.31,150.0,150.0,150.0,150.0,18.244.214.125,143.0,7.0,False
aepd.es,23.40.52.27,0.259,0.856,0.3652999999999999,0.312,23.40.52.27,0.312,0.0,True
agenziaentrate.gov.it,23.217.99.105,246.0,247.0,246.1,246.0,2.18.40.147,229.0,17.0,False
ahagamecenter.com,18.67.110.45,0.697,1.14,0.7692,0.727,18.67.110.45,0.727,0.0,True
aircanada.com,23.215.57.121,0.386,0.724,0.4448999999999999,0.415,23.202.169.159,0.3785,0.03649999999999998,False
ajax.systems,108.158.20.42,0.667,1.35,0.7596,0.699,108.158.20.42,0.699,0.0,True
aka.ms,23.221.133.155,0.239,0.584,0.299,0.273,23.221.133.155,0.273,0.0,True
akamai.com,23.48.247.239,0.238,0.457,0.3122,0.29,23.48.247.239,0.29,0.0,True
alhurra.com,23.38.130.178,0.259,0.538,0.3786,0.3665,23.201.141.211,0.3545,0.01200000000000001,False
alltrails.com,18.67.110.81,0.875,1.19,0.9501000000000002,0.909,108.158.32.77,0.4915,0.41750000000000004,False
alodokter.com,23.40.52.22,0.308,0.384,0.3586999999999999,0.364,23.40.52.22,0.364,0.0,True
alphapolis.co.jp,13.35.207.106,92.8,93.4,92.87,92.8,13.35.207.106,92.8,0.0,True
altema.jp,23.40.52.6,0.306,0.614,0.3714,0.3415,23.208.29.200,0.3375,0.0040000000000000036,False
amarujala.com,18.67.93.22,0.815,0.861,0.8423999999999999,0.849,18.67.93.22,0.849,0.0,True
amazonses.com,13.33.28.92,91.8,92.5,91.95,91.9,13.33.28.92,91.9,0.0,True
amazonsilk.com,108.158.32.2,0.358,0.592,0.3993,0.381,108.158.32.2,0.381,0.0,True
amazontrust.com,108.158.32.8,0.371,1.11,0.4568,0.3825,108.158.32.8,0.3825,0.0,True
amazonvideo.com,18.67.110.12,0.675,1.32,0.7507,0.6895,18.67.110.12,0.6895,0.0,True
ambitionbox.com,184.84.150.66,52.1,52.8,52.19,52.1,23.40.52.175,0.357,51.743,False
amd.com,23.52.231.219,0.209,0.29,0.246,0.2415,23.52.231.219,0.2415,0.0,True
americanexpress.com,104.68.21.215,0.228,1.14,0.3587999999999999,0.279,104.68.21.215,0.2595,0.019500000000000017,True
americanprogress.org,18.65.244.105,0.398,0.922,0.4755,0.4165,18.65.244.105,0.4165,0.0,True
amperwave.net,13.35.147.38,0.485,0.945,0.5478,0.5065,13.35.147.73,0.4895,0.01699999999999996,False
amtrak.com,23.214.100.193,181.0,182.0,181.1,181.0,23.38.137.105,0.2675,180.7325,False
ana.co.jp,23.40.167.66,0.213,0.274,0.2516999999999999,0.252,23.40.167.66,0.252,0.0,True
angi.com,23.48.247.234,0.239,0.28,0.2568,0.255,23.48.247.234,0.255,0.0,True
aniview.com,99.84.191.9,213.0,213.0,213.0,213.0,99.84.191.9,213.0,0.0,True
ankr.com,108.158.20.55,0.823,1.35,0.8996999999999999,0.855,108.158.20.55,0.855,0.0,True
anydesk.com,108.158.32.68,0.322,0.983,0.4024,0.335,108.158.32.68,0.335,0.0,True
ap.org,104.74.36.83,0.335,0.601,0.3878,0.3665,104.74.36.83,0.3665,0.0,True
apachefriends.org,185.199.108.153,0.293,0.785,0.3903999999999999,0.3315,185.199.108.153,0.3315,0.0,True
apartments.com,104.98.242.82,47.1,47.7,47.24,47.2,23.215.57.86,0.3355,46.8645,False
app.link,13.35.147.10,0.468,1.18,0.5635999999999999,0.4955,13.35.147.10,0.4955,0.0,True
appfolio.com,3.168.86.123,143.0,158.0,144.5,143.0,3.168.86.123,143.0,0.0,True
apple.news,104.74.46.19,0.243,1.57,0.4484,0.256,104.74.46.19,0.256,0.0,True
appsflyersdk.com,108.158.20.127,0.833,1.36,0.9143,0.859,108.158.20.81,0.854,0.0050000000000000044,False
apuestatotal.com,18.67.93.101,0.798,1.07,0.9155,0.911,18.67.93.101,0.911,0.0,True
archdaily.com,3.168.86.35,143.0,143.0,143.0,143.0,3.168.86.35,143.0,0.0,True
arcpublishing.com,18.65.244.81,0.351,0.41,0.3838,0.384,18.65.244.81,0.379,0.0050000000000000044,True
arduino.cc,13.35.147.122,0.524,1.15,0.6406,0.5985,13.35.147.122,0.5985,0.0,True
argos.co.uk,104.102.244.57,0.612,0.675,0.6396999999999999,0.6365000000000001,104.102.244.57,0.633,0.0035000000000000586,True
arkoselabs.com,18.67.93.94,0.828,1.42,0.9313,0.8755,18.67.93.8,0.872,0.0034999999999999476,False
as.com,23.202.230.51,0.295,1.02,0.3957,0.33,23.202.230.51,0.316,0.014000000000000012,True
asahi.com,104.68.24.43,0.276,0.998,0.4112,0.3545,104.68.24.43,0.3545,0.0,True
asda.com,23.204.66.35,0.608,0.646,0.6324,0.6365000000000001,23.204.66.35,0.6365000000000001,0.0,True
asos.com,23.208.29.176,0.393,0.546,0.4284,0.418,23.214.88.112,0.345,0.07300000000000001,False
atlassian.com,18.65.244.93,0.365,0.937,0.4432,0.3935,18.65.244.93,0.3935,0.0,True
attentionxyz.com,18.67.110.86,0.845,0.969,0.9147,0.91,18.67.110.86,0.91,0.0,True
audiomack.com,18.155.192.36,143.0,143.0,143.0,143.0,18.155.192.36,143.0,0.0,True
autoscout24.de,18.155.202.70,143.0,143.0,143.0,143.0,18.155.202.70,143.0,0.0,True
autoscout24.it,18.155.202.70,143.0,143.0,143.0,143.0,18.155.202.70,143.0,0.0,True
autotrader.com,23.40.162.169,0.238,0.497,0.2829,0.261,23.40.162.169,0.2535,0.007500000000000007,True
autozone.com,23.204.64.238,0.577,0.633,0.6152,0.6145,23.215.56.152,0.328,0.28650000000000003,False
avast.com,23.215.57.50,0.307,0.612,0.356,0.332,23.215.57.50,0.324,0.008000000000000007,True
aviasales.com,18.67.93.13,0.847,1.11,0.9015,0.8725,18.67.93.33,0.8694999999999999,0.0030000000000001137,False
aviasales.ru,18.65.244.6,0.374,0.466,0.4069,0.405,18.65.244.6,0.405,0.0,True
awin1.com,108.158.20.96,0.845,1.25,0.9261,0.8694999999999999,108.158.20.96,0.8694999999999999,0.0,True
aws.com,108.158.32.101,0.416,0.967,0.524,0.461,18.65.244.24,0.4605,0.0005000000000000004,False
awsapps.com,108.158.32.44,0.372,0.926,0.4378999999999999,0.3795,108.158.32.44,0.3795,0.0,True
axios.com,18.65.244.128,0.367,0.956,0.4615999999999999,0.414,18.65.244.82,0.411,0.0030000000000000027,False
axisbank.com,23.223.224.234,49.2,49.6,49.31,49.3,23.223.224.234,49.3,0.0,True
axonix.com,3.165.82.32,92.4,92.7,92.46,92.4,3.165.82.66,91.85,0.5500000000000114,False
baby-calendar.jp,108.157.254.5,92.5,93.1,92.65,92.6,108.157.254.5,92.6,0.0,True
bajajfinserv.in,23.204.65.46,0.596,0.631,0.6123000000000001,0.614,23.215.57.237,0.319,0.295,False
bambuser.com,108.158.32.67,0.311,0.654,0.3649,0.3335,108.158.32.67,0.3335,0.0,True
banco.bradesco,23.40.52.28,0.341,0.854,0.422,0.3745,23.40.52.28,0.3745,0.0,True
bancointer.com.br,108.158.20.15,0.825,1.35,0.9029,0.8465,108.158.20.15,0.8465,0.0,True
bancosantander.es,104.98.200.118,49.2,49.4,49.29,49.3,104.98.200.118,49.3,0.0,True
