website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
123rf.com,18.245.96.116,1.24,2.37,1.412,1.295,18.245.96.116,1.295,0.0,True
20min.ch,54.192.51.100,19.3,20.4,19.51,19.4,3.171.139.121,14.3,5.099999999999998,False
20minutes.fr,18.67.39.116,1.29,1.36,1.3170000000000002,1.31,18.67.39.116,1.31,0.0,True
20minutos.es,3.164.92.32,1.64,3.07,1.835,1.68,3.164.92.32,1.68,0.0,True
24.hu,18.67.39.115,1.29,1.9,1.416,1.38,18.67.39.115,1.34,0.039999999999999813,True
2dehands.be,18.245.96.72,1.14,1.33,1.214,1.19,18.245.96.72,1.19,0.0,True
365scores.com,3.164.92.88,1.7,10.5,3.0690000000000004,1.8,3.164.92.67,1.72,0.08000000000000007,False
3ds.com,13.33.165.21,1.15,2.38,1.324,1.2,13.33.165.21,1.2,0.0,True
3lift.com,18.67.17.94,1.23,1.31,1.265,1.26,18.67.17.110,1.215,0.04499999999999993,False
4wps.net,13.33.165.128,1.18,2.1,1.308,1.19,13.33.165.128,1.19,0.0,True
500px.com,18.67.39.7,1.3,2.93,1.492,1.32,18.67.39.7,1.32,0.0,True
8ballpool.com,3.164.92.107,1.62,2.78,1.871,1.68,3.164.92.12,1.5950000000000002,0.08499999999999974,False
99acres.com,23.223.17.174,1.19,1.48,1.302,1.27,23.223.17.174,1.27,0.0,True
a-mo.net,18.67.17.30,1.28,2.76,1.459,1.31,18.67.17.30,1.31,0.0,True
a47b.com,13.33.163.154,1.36,2.4,1.487,1.395,18.67.38.23,1.275,0.1200000000000001,False
aa.com,23.192.52.119,1.29,1.4,1.3270000000000002,1.315,23.192.52.119,1.3,0.014999999999999902,True
aajtak.in,23.210.92.122,14.5,14.6,14.56,14.6,23.210.92.122,14.6,0.0,True
abc.com,3.164.92.107,1.63,1.84,1.709,1.69,3.164.92.107,1.69,0.0,True
abc.es,23.205.255.236,1.25,1.36,1.2959999999999998,1.295,23.205.255.236,1.295,0.0,True
abc.net.au,23.5.99.87,1.18,1.37,1.214,1.1949999999999998,23.5.99.87,1.19,0.004999999999999893,True
aboutads.info,18.67.17.87,1.31,2.56,1.499,1.3849999999999998,18.67.17.93,1.365,0.019999999999999796,False
aboutamazon.com,18.67.17.49,1.19,1.42,1.271,1.255,18.67.17.49,1.255,0.0,True
abplive.com,23.223.17.200,1.16,1.28,1.223,1.24,23.223.17.200,1.24,0.0,True
academia.edu,3.164.92.110,1.59,3.01,1.844,1.645,3.164.92.110,1.645,0.0,True
acast.com,18.67.17.40,1.15,1.75,1.264,1.215,18.67.17.40,1.215,0.0,True
accuweather.com,23.47.11.54,1.17,2.17,1.304,1.215,23.47.11.54,1.205,0.010000000000000009,True
activision.com,23.44.17.222,12.8,12.9,12.820000000000002,12.8,23.44.17.222,12.8,0.0,True
ad.nl,23.205.255.235,1.18,1.28,1.239,1.24,23.205.255.235,1.24,0.0,True
ada.support,18.245.96.73,1.19,1.46,1.26,1.23,18.245.96.126,1.21,0.020000000000000018,False
adda247.com,18.245.96.63,1.17,1.42,1.2559999999999998,1.245,18.245.96.63,1.245,0.0,True
adentifi.com,13.33.165.6,1.29,2.45,1.4330000000000005,1.315,13.33.165.12,1.29,0.02499999999999991,False
adevarul.ro,18.67.39.94,1.41,1.63,1.4979999999999998,1.485,18.67.39.101,1.245,0.24,False
