website,cdn_first,cdn_min_median,response_time_first,response_time_min_median,throughput_first,throughput_min_median,latency_diff
20min.ch,54.192.51.100,3.171.139.121,0.23107218742370605,0.157196044921875,4.327651939202651,6.361483207144244,0.07387614250183105
365scores.com,3.164.92.88,3.164.92.67,0.0456700325012207,0.020677566528320312,21.896196372824374,48.36159025920118,0.02499246597290039
3lift.com,18.67.17.94,18.67.17.110,,,,,
8ballpool.com,3.164.92.107,3.164.92.12,0.2852916717529297,0.04951310157775879,3.505184689954872,20.19667457974797,0.2357785701751709
a47b.com,13.33.163.154,18.67.38.23,,,,,
aboutads.info,18.67.17.87,18.67.17.93,,,,,
ada.support,18.245.96.73,18.245.96.126,0.0453486442565918,0.02449965476989746,22.05137587668107,40.81690168257768,0.020848989486694336
adentifi.com,13.33.165.6,13.33.165.12,0.047585248947143555,0.02567315101623535,21.014915801129334,38.95119844726553,0.021912097930908203
adevarul.ro,18.67.39.94,18.67.39.101,,,,,
adingo.jp,18.67.39.3,18.67.39.115,,,,,
adlightning.com,13.33.165.50,18.245.96.71,0.022704362869262695,0.022951126098632812,44.044398240031924,43.57084683786255,-0.0002467632293701172
admanmedia.com,23.205.13.228,23.204.8.169,0.10378479957580566,0.16093802452087402,9.635322360184238,6.213571981991724,-0.05715322494506836
ajax.systems,13.225.195.24,3.168.122.33,0.8027598857879639,0.7886276245117188,1.245702504203273,1.2680255787630481,0.014132261276245117
aka.ms,104.126.114.106,23.54.41.214,0.11091876029968262,0.08467459678649902,9.015607434650182,11.809917471723296,0.026244163513183594
alltrails.com,18.67.17.92,18.67.17.109,,,,,
alodokter.com,23.205.255.232,23.205.255.204,0.021054744720458984,0.17485880851745605,47.49523270297814,5.7188997710697,-0.15380406379699707
amarujala.com,3.164.92.58,3.164.92.127,0.0221865177154541,0.02270984649658203,45.072417980377615,44.0337630705917,-0.0005233287811279297
amazonsilk.com,18.67.39.65,18.67.39.5,,,,,
amazonvideo.com,3.164.92.109,3.164.92.2,0.017394542694091797,0.01696491241455078,57.48929521094328,58.94519084827702,0.0004296302795410156
ambitionbox.com,23.192.230.9,104.117.182.179,0.24295353889465332,0.11091136932373047,4.116013310814988,9.016208221910764,0.13204216957092285
americanexpress.com,96.16.196.232,23.204.20.147,0.1355302333831787,0.09706974029541016,7.3784274920618165,10.301871592081348,0.038460493087768555
apachefriends.org,185.199.111.153,185.199.109.153,0.07869076728820801,0.2371079921722412,12.707971144028383,4.217487528946619,-0.1584172248840332
apartments.com,23.213.37.49,23.34.221.81,,,,,
arduino.cc,13.33.165.34,13.33.165.22,0.023253440856933594,0.020296096801757812,43.00438830332609,49.27055727845127,0.0029573440551757812
argos.co.uk,23.48.224.114,23.45.46.174,0.1031806468963623,0.3873777389526367,9.691739973334627,2.581459643767156,-0.2841970920562744
asda.com,23.39.185.39,184.51.218.163,0.1585252285003662,0.08728814125061035,6.308144195469113,11.456309937095924,0.07123708724975586
asos.com,23.44.203.23,23.205.255.94,0.06708168983459473,0.021785259246826172,14.907197514936326,45.90259811324884,0.045296430587768555
atlassian.com,18.245.96.77,18.245.96.30,0.0148468017578125,0.013833045959472656,67.35457348406989,72.29065839365735,0.0010137557983398438
attentionxyz.com,18.67.17.119,18.67.17.83,,,,,
audiomack.com,18.67.39.17,18.67.39.93,,,,,
autotrader.com,23.201.164.232,23.212.8.226,0.6087625026702881,0.08937668800354004,1.6426767345452125,11.18859987249015,0.519385814666748
awin1.com,18.67.17.14,18.67.17.68,,,,,
axisbank.com,23.213.37.11,23.56.162.21,0.24019598960876465,0.10046887397766113,4.1632668456655635,9.953331419065632,0.13972711563110352
axonix.com,13.33.165.58,13.33.165.69,0.04798603057861328,0.027554035186767578,20.839398215314905,36.29232499783681,0.020431995391845703
bajajfinserv.in,184.26.152.209,23.34.222.254,0.01780390739440918,0.238051176071167,56.167445597589555,4.200777397970272,-0.2202472686767578
bancosantander.es,23.39.20.53,23.201.164.132,0.2732391357421875,0.13956141471862793,3.659797844418384,7.165304264191621,0.13367772102355957
bandlab.com,18.245.96.12,18.245.96.21,0.051296234130859375,0.04944181442260742,19.494608462854167,20.225794940542208,0.0018544197082519531
barchart.com,18.67.17.113,18.67.17.82,,,,,
bellemaison.jp,23.205.255.228,23.205.255.233,0.03160977363586426,0.01850438117980957,31.635784916390733,54.0412559751588,0.013105392456054688
beritasatu.com,18.67.39.50,18.67.39.21,,,,,
bikewale.com,3.164.92.56,3.164.92.44,0.6120007038116455,0.6083095073699951,1.6339850489906764,1.643900001371777,0.0036911964416503906
blocket.se,3.164.92.113,3.164.92.18,0.346954345703125,0.34788012504577637,2.8822235904653004,2.8745534108003823,-0.0009257793426513672
bluebillywig.com,18.67.17.65,18.67.17.120,,,,,
bmo.com,23.6.97.82,23.52.144.43,0.2617957592010498,0.11458086967468262,3.8197715770943246,8.727460376581138,0.1472148895263672
bmwgroup.com,104.94.220.164,104.96.181.163,0.07901978492736816,0.10177111625671387,12.655058488442611,9.825970636673937,-0.022751331329345703
brave.com,13.225.195.83,18.67.17.57,0.13587570190429688,,7.359667593138494,,
bt.dk,3.164.92.49,3.164.92.14,0.3677077293395996,0.045790910720825195,2.719551209315052,21.83839509322559,0.3219168186187744
bustle.com,3.164.92.20,3.164.92.60,0.03843045234680176,0.022860050201416016,26.02103121180726,43.74443586908909,0.015570402145385742
c-span.org,13.33.165.71,13.33.165.86,0.09262490272521973,0.022083520889282227,10.796232660741268,45.282634278002696,0.0705413818359375
cadenaser.com,23.223.17.206,23.223.17.171,0.3636617660522461,0.09674334526062012,2.7498079076488158,10.336628295269993,0.266918420791626
callofduty.com,23.221.241.214,23.51.57.218,0.11568474769592285,0.089996337890625,8.644181881508686,11.111563241776874,0.02568840980529785
calm.com,18.67.17.67,18.67.17.18,,,,,
cardgames.io,18.67.39.14,18.67.39.13,,,,,
careem-engineering.com,18.67.17.7,18.67.17.46,,,,,
carfax.com,13.249.91.83,13.249.91.81,0.06612873077392578,0.06716442108154297,15.122020161232172,14.888835247845286,-0.0010356903076171875
carnival.com,104.92.250.165,23.201.170.233,0.2581300735473633,0.12010478973388672,3.8740158643952576,8.326062617616465,0.13802528381347656
casasbahia.com.br,23.205.255.145,23.205.255.238,0.5305554866790771,0.7761807441711426,1.884816998612778,1.2883597119738734,-0.24562525749206543
cashify.in,13.33.165.124,18.67.39.53,0.4363703727722168,,2.291631289372606,,
casino365online.ws,3.164.92.29,3.164.92.82,0.025125741958618164,0.022989988327026367,39.799819708687195,43.49719476909994,0.002135753631591797
cbc.ca,23.38.233.78,23.201.179.104,3.281026601791382,1.3098878860473633,0.3047826553597639,0.7634241148817233,1.9711387157440186
cdn4image.com,88.198.55.100,157.90.90.133,0.45171093940734863,0.45216846466064453,2.2138051412082573,2.2115651093680464,-0.00045752525329589844
chanel.com,23.205.255.228,23.205.255.235,,,,,
chartbeat.com,3.164.92.88,3.164.92.104,0.2937743663787842,0.11250734329223633,3.403972961720659,8.888308716014325,0.18126702308654785
chartboost.com,13.33.165.66,13.33.165.81,0.28345680236816406,0.08819580078125,3.5278744120635475,11.33840830449827,0.19526100158691406
checkpoint.com,3.161.213.110,13.225.63.129,0.13557052612304688,0.07030177116394043,7.376234559216635,14.224392692298562,0.06526875495910645
choicehotels.com,23.205.255.234,23.205.255.237,0.017667770385742188,0.019375324249267578,56.600237504048366,51.61203947530333,-0.0017075538635253906
cia.gov,2.19.132.192,184.30.165.43,0.26381945610046387,0.18153953552246094,3.7904710091555742,5.508441988253711,0.08227992057800293
citigroup.com,104.96.178.165,104.94.222.171,1.4507436752319336,0.4688723087310791,0.6893016437518694,2.132776837912064,0.9818713665008545
classdojo.com,18.67.39.27,18.67.39.84,,,,,
cleanbrowsing.org,149.28.121.105,51.161.115.44,0.0882103443145752,0.04549217224121094,11.33653890334909,21.981803697958156,0.04271817207336426
clever.com,18.67.39.95,18.67.39.39,,,,,
clevertap-prod.com,18.67.17.121,18.67.17.66,,,,,
cms.gov,23.39.17.84,23.10.129.109,0.2544384002685547,0.027062177658081055,3.9302243645004835,36.951941289964495,0.22737622261047363
cnstrc.com,18.245.96.51,18.245.96.57,0.0880885124206543,0.10565662384033203,11.35221804206025,9.464621939001164,-0.017568111419677734
code.org,18.67.39.10,18.67.39.102,,,,,
colearn.id,13.33.165.29,18.67.39.70,0.2786529064178467,,3.5886939521114347,,
company.site,3.164.92.67,3.164.92.26,0.10955643653869629,0.022676467895507812,9.127715646782573,44.098578517957776,0.08687996864318848
connatix.com,3.164.92.30,3.164.92.121,0.020907878875732422,0.016616344451904297,47.82885944306338,60.18170861193216,0.004291534423828125
credly.com,18.245.96.61,18.245.96.114,0.02561807632446289,0.02833843231201172,39.03493718008376,35.28776712098267,-0.002720355987548828
cvs.com,23.54.152.222,23.77.242.39,0.2895631790161133,0.19608592987060547,3.4534777639817014,5.099804971523897,0.09347724914550781
dailykos.com,18.67.17.68,18.67.17.107,,,,,
dalyfeds.com,23.223.17.172,23.223.17.165,0.10832881927490234,0.04543662071228027,9.23115387662755,22.008678997769906,0.06289219856262207
datadoghq.com,3.164.92.115,3.164.92.20,0.04970216751098633,0.025417566299438477,20.119846881505858,39.34286973895262,0.02428460121154785
dazn.com,18.67.17.54,18.67.17.30,,,,,
deezer.com,13.33.165.41,18.67.17.86,0.051097869873046875,,19.570287420679357,,
defense.gov,104.90.244.82,23.12.20.163,,,,,
delishkitchen.tv,13.33.165.43,13.33.165.46,0.7893657684326172,0.7752847671508789,1.2668398352079835,1.2898486367466433,0.014081001281738281
destentor.nl,23.205.255.231,23.205.255.233,0.16576623916625977,0.020027637481689453,6.032591467536539,49.931001642818025,0.1457386016845703
dhgate.com,104.73.9.70,23.49.87.66,0.10132265090942383,0.020882606506347656,9.86946147800592,47.88674247613828,0.08044004440307617
dialoguecorp.com,18.67.17.97,18.67.17.51,,,,,
digitalgov.gov,18.67.17.67,18.67.17.124,,,,,
discover.com,23.44.248.102,23.10.178.86,0.25168490409851074,0.030479907989501953,3.973222007818931,32.80849798970604,0.2212049961090088
doctoralia.com.br,3.164.92.17,3.164.92.37,0.5592925548553467,0.5617153644561768,1.787973022917561,1.7802610775444025,-0.002422809600830078
dome9.com,13.33.165.94,13.33.165.114,0.16733336448669434,0.030741453170776367,5.976094504927712,32.52936659970994,0.13659191131591797
domestika.org,3.164.92.2,3.164.92.37,0.2404932975769043,0.09378957748413086,4.1581200394169935,10.662165528671876,0.14670372009277344
dotloop.com,3.164.92.94,3.164.92.27,0.16086363792419434,0.16938567161560059,6.21644526323122,5.9036870737766645,-0.00852203369140625
dr.dk,23.205.255.233,23.205.255.232,0.1891953945159912,0.029386520385742188,5.285540922168049,34.029207503083015,0.15980887413024902
drift.com,3.164.92.61,18.245.96.73,0.09687113761901855,0.0822746753692627,10.322992220168492,12.154408334178536,0.01459646224975586
