website,cdn,min,max,mean,median
uisp.com,18.172.112.77,0.733,3.55,1.1519000000000001,0.863
uisp.com,18.172.112.87,0.711,1.17,0.8772000000000002,0.8315
uisp.com,18.239.69.19,12.5,12.8,12.569999999999999,12.5
uisp.com,13.33.88.77,156.0,157.0,156.3,156.0
uisp.com,18.238.192.88,146.0,146.0,146.0,146.0
uisp.com,3.167.56.42,88.7,90.0,88.85,88.7
uisp.com,13.249.91.53,79.4,80.8,79.57000000000001,79.4
uisp.com,18.238.192.91,152.0,153.0,152.1,152.0
uisp.com,13.33.165.23,106.0,106.0,106.0,106.0
uisp.com,18.172.112.79,0.736,1.87,0.9135,0.83
uisp.com,13.249.91.20,84.8,86.8,85.15,84.9
uisp.com,18.65.244.24,289.0,289.0,289.0,289.0
uisp.com,18.66.57.64,196.0,196.0,196.0,196.0
clevertap-prod.com,13.224.189.15,0.987,2.32,1.2927,1.07
clevertap-prod.com,18.65.244.104,291.0,291.0,291.0,291.0
clevertap-prod.com,18.67.76.11,87.7,87.8,87.71000000000001,87.7
clevertap-prod.com,18.245.46.67,0.512,1.12,0.5951000000000001,0.5405
clevertap-prod.com,18.238.243.90,18.2,18.4,18.24,18.2
clevertap-prod.com,18.67.17.66,113.0,113.0,113.0,113.0
clevertap-prod.com,3.168.122.95,83.3,84.5,83.58000000000001,83.4
clevertap-prod.com,3.168.122.8,77.9,78.8,78.13000000000001,78.0
clevertap-prod.com,18.238.192.11,151.0,152.0,151.2,151.0
clevertap-prod.com,18.172.78.8,198.0,198.0,198.0,198.0
clevertap-prod.com,3.165.82.58,229.0,230.0,229.1,229.0
clevertap-prod.com,18.245.46.129,0.519,0.756,0.5716,0.5345
ihg.com,104.126.37.178,0.914,2.26,1.0669,0.9365
ihg.com,2.16.27.213,6.6,8.55,6.981,6.66
ihg.com,23.1.33.216,99.5,101.0,99.68,99.5
ihg.com,23.32.5.159,323.0,324.0,323.1,323.0
ihg.com,2.18.27.76,13.8,17.7,14.200000000000003,13.8
ihg.com,92.123.104.44,0.487,1.68,0.7337,0.5925
ihg.com,23.3.70.48,150.0,152.0,150.2,150.0
ihg.com,125.56.219.17,159.0,160.0,159.1,159.0
ihg.com,69.192.139.86,147.0,150.0,147.4,147.0
ihg.com,23.222.17.239,103.0,104.0,103.1,103.0
ihg.com,23.43.85.9,85.1,85.7,85.2,85.1
ihg.com,23.44.201.26,82.4,82.6,82.44,82.4
ihg.com,23.62.46.146,149.0,149.0,149.0,149.0
ihg.com,23.43.85.24,81.1,82.0,81.24000000000001,81.2
dhs.gov,23.201.247.200,0.978,1.65,1.0788,1.01
dhs.gov,23.213.101.253,133.0,133.0,133.0,133.0
dhs.gov,23.201.247.200,0.991,1.45,1.0734,1.02
dhs.gov,23.5.8.183,142.0,144.0,142.3,142.0
dhs.gov,23.218.55.205,7.05,7.49,7.143000000000001,7.095
dhs.gov,23.194.5.176,12.4,12.6,12.5,12.5
dhs.gov,23.201.181.246,81.0,81.0,81.0,81.0
dhs.gov,184.26.201.110,102.0,104.0,102.2,102.0
dhs.gov,104.85.225.169,307.0,309.0,307.5,307.0
dhs.gov,23.210.105.227,162.0,166.0,162.6,162.0
dhs.gov,23.214.101.169,149.0,149.0,149.0,149.0
nextdoor.com,52.222.214.113,0.596,1.87,0.8480000000000001,0.695
nextdoor.com,18.239.83.90,12.3,12.4,12.34,12.3
nextdoor.com,52.222.214.30,0.519,0.701,0.6442,0.655
nextdoor.com,18.244.214.12,147.0,152.0,149.0,147.0
nextdoor.com,18.67.39.77,117.0,117.0,117.0,117.0
nextdoor.com,3.162.125.112,96.4,97.6,96.55,96.4
nextdoor.com,18.165.122.78,27.4,27.8,27.47,27.4
nextdoor.com,52.222.214.63,0.55,1.92,0.7402,0.6134999999999999
nextdoor.com,13.226.34.22,80.0,85.2,80.53,80.0
nextdoor.com,13.226.34.84,84.9,85.0,84.92,84.9
nextdoor.com,18.165.122.31,26.6,27.7,26.79,26.7
nextdoor.com,18.244.214.82,148.0,148.0,148.0,148.0
