website,cdn,min,max,mean,median
123rf.com,13.226.94.6,0.737,1.52,0.8461000000000001,0.77
123rf.com,18.172.112.48,83.5,84.3,83.66,83.6
123rf.com,13.35.238.20,252.0,253.0,252.9,253.0
123rf.com,18.239.36.20,77.2,77.5,77.28999999999999,77.3
123rf.com,18.245.96.110,19.4,19.4,19.4,19.4
123rf.com,18.160.10.79,6.31,6.39,6.343999999999999,6.34
123rf.com,13.226.94.90,0.705,1.39,0.8472,0.811
123rf.com,108.158.32.55,272.0,273.0,272.1,272.0
123rf.com,18.172.112.10,87.2,88.1,87.41,87.3
123rf.com,13.226.94.83,0.753,1.49,0.8659000000000001,0.7995000000000001
123rf.com,13.226.94.6,0.731,1.01,0.8063,0.7895000000000001
123rf.com,13.227.74.17,72.5,72.7,72.62,72.6
123rf.com,13.227.74.11,65.2,65.3,65.21000000000001,65.2
123rf.com,18.172.78.96,257.0,258.0,257.1,257.0
simplisafe.com,13.35.93.30,1.31,1.39,1.3590000000000002,1.355
simplisafe.com,13.35.93.91,1.27,1.85,1.363,1.3050000000000002
simplisafe.com,3.168.86.87,60.3,60.9,60.389999999999986,60.3
simplisafe.com,18.66.147.129,91.9,92.6,92.02000000000001,91.95
simplisafe.com,3.164.92.127,14.2,14.3,14.24,14.2
simplisafe.com,18.239.69.116,73.8,74.4,73.92999999999999,73.9
simplisafe.com,3.167.56.83,6.32,6.45,6.378000000000001,6.37
simplisafe.com,3.168.86.6,75.5,75.6,75.53,75.5
simplisafe.com,3.168.86.126,75.5,75.6,75.51,75.5
simplisafe.com,13.35.93.35,1.26,1.73,1.3319999999999999,1.275
simplisafe.com,3.164.206.83,116.0,116.0,116.0,116.0
growthbook.io,13.35.93.55,1.31,1.47,1.372,1.37
growthbook.io,13.227.74.65,63.1,63.3,63.15,63.1
growthbook.io,13.33.30.31,250.0,250.0,250.0,250.0
growthbook.io,108.139.47.38,1.24,1.86,1.358,1.31
growthbook.io,13.227.74.9,62.9,66.7,63.36,63.0
growthbook.io,13.227.219.109,79.4,79.6,79.5,79.5
growthbook.io,3.162.125.36,6.79,7.47,6.917,6.87
growthbook.io,18.245.96.63,19.2,20.0,19.37,19.3
growthbook.io,18.239.111.59,277.0,278.0,277.1,277.0
growthbook.io,143.204.215.89,88.3,88.9,88.42999999999999,88.4
growthbook.io,108.139.47.113,1.37,2.07,1.473,1.4
growthbook.io,108.158.20.74,274.0,275.0,274.1,274.0
growthbook.io,143.204.215.59,86.3,86.8,86.44,86.4
tn.com.ar,23.55.235.184,0.872,2.21,1.1008,0.9115
tn.com.ar,69.192.1.210,205.0,205.0,205.0,205.0
tn.com.ar,23.1.105.20,17.8,18.0,17.830000000000005,17.8
tn.com.ar,23.209.46.75,232.0,233.0,232.1,232.0
tn.com.ar,23.223.209.55,0.943,1.42,1.0726,1.0550000000000002
tn.com.ar,2.18.121.134,82.1,82.9,82.22,82.15
tn.com.ar,23.55.235.184,0.837,0.964,0.8995000000000001,0.8945000000000001
tn.com.ar,23.55.38.57,205.0,205.0,205.0,205.0
tn.com.ar,23.214.95.211,66.3,66.4,66.36999999999999,66.4
tn.com.ar,23.43.242.130,21.5,21.6,21.509999999999998,21.5
