website,cdn,min,max,mean,median
uisp.com,18.238.192.91,0.806,1.54,0.9132,0.8494999999999999
uisp.com,18.172.112.87,146.0,146.0,146.0,146.0
uisp.com,18.239.69.19,140.0,140.0,140.0,140.0
uisp.com,13.33.88.77,185.0,186.0,185.1,185.0
uisp.com,18.238.192.88,0.348,0.404,0.38180000000000003,0.388
uisp.com,3.167.56.42,67.0,67.8,67.08,67.0
uisp.com,13.249.91.53,66.2,67.0,66.36999999999999,66.3
uisp.com,18.238.192.91,0.789,1.75,0.9985999999999999,0.827
uisp.com,13.33.165.23,67.0,67.4,67.05,67.0
uisp.com,18.172.112.79,145.0,145.0,145.0,145.0
uisp.com,13.249.91.20,69.5,69.9,69.53999999999999,69.5
uisp.com,18.65.244.24,136.0,136.0,136.0,136.0
uisp.com,18.66.57.64,241.0,241.0,241.0,241.0
clevertap-prod.com,18.238.192.125,0.354,0.792,0.42210000000000003,0.3895
clevertap-prod.com,18.65.244.104,137.0,137.0,137.0,137.0
clevertap-prod.com,18.67.76.11,67.0,67.6,67.11999999999999,67.1
clevertap-prod.com,18.245.46.67,146.0,146.0,146.0,146.0
clevertap-prod.com,18.238.243.90,144.0,144.0,144.0,144.0
clevertap-prod.com,18.67.17.66,66.9,67.4,67.02000000000001,66.95
clevertap-prod.com,3.168.122.95,66.2,67.2,66.31,66.2
clevertap-prod.com,3.168.122.8,65.5,66.2,65.61,65.5
clevertap-prod.com,18.238.192.11,0.816,1.48,0.9087999999999999,0.84
clevertap-prod.com,18.172.78.8,234.0,234.0,234.0,234.0
clevertap-prod.com,3.165.82.58,184.0,185.0,184.1,184.0
clevertap-prod.com,18.245.46.129,143.0,143.0,143.0,143.0
ihg.com,69.192.139.86,2.92,7.19,3.467,2.98
ihg.com,2.16.27.213,141.0,142.0,141.1,141.0
ihg.com,23.1.33.216,59.8,60.7,59.96999999999999,59.9
ihg.com,23.32.5.159,178.0,179.0,178.5,178.5
ihg.com,2.18.27.76,135.0,136.0,135.1,135.0
ihg.com,92.123.104.44,147.0,148.0,147.1,147.0
ihg.com,23.3.70.48,220.0,221.0,220.1,220.0
ihg.com,125.56.219.17,190.0,193.0,190.7,190.5
ihg.com,69.192.139.86,2.93,3.95,3.07,2.97
ihg.com,23.222.17.239,59.4,60.1,59.529999999999994,59.5
ihg.com,23.43.85.9,66.5,67.0,66.61,66.6
ihg.com,23.44.201.26,65.6,65.7,65.67000000000002,65.7
ihg.com,23.62.46.146,0.851,0.894,0.8671,0.8654999999999999
ihg.com,23.43.85.24,66.7,66.7,66.70000000000002,66.7
dhs.gov,23.214.101.169,1.14,1.62,1.277,1.21
dhs.gov,23.213.101.253,240.0,240.0,240.0,240.0
dhs.gov,23.201.247.200,149.0,149.0,149.0,149.0
dhs.gov,23.5.8.183,10.5,10.5,10.5,10.5
dhs.gov,23.218.55.205,143.0,143.0,143.0,143.0
dhs.gov,23.194.5.176,134.0,134.0,134.0,134.0
dhs.gov,23.201.181.246,65.6,65.7,65.64000000000001,65.6
dhs.gov,184.26.201.110,59.4,60.2,59.55,59.5
dhs.gov,104.85.225.169,190.0,191.0,190.1,190.0
dhs.gov,23.210.105.227,176.0,177.0,176.8,177.0
dhs.gov,23.214.101.169,1.17,1.61,1.272,1.23
nextdoor.com,18.244.214.82,0.347,0.409,0.3668,0.365
nextdoor.com,18.239.83.90,142.0,142.0,142.0,142.0
nextdoor.com,52.222.214.30,149.0,150.0,149.1,149.0
nextdoor.com,18.244.214.12,0.36,0.461,0.3992,0.3995
nextdoor.com,18.67.39.77,67.9,68.4,67.95,67.9
