website,cdn,min,max,mean,media
123rf.com,13.227.74.17,1.44,2.71,1.623,1.475
123rf.com,18.172.112.48,148.0,149.0,148.1,148.0
123rf.com,13.35.238.20,187.0,188.0,187.1,187.0
123rf.com,18.239.36.20,138.0,139.0,138.5,138.5
123rf.com,18.245.96.110,66.9,72.6,67.58000000000001,67.0
123rf.com,18.160.10.79,59.4,59.5,59.44,59.4
123rf.com,13.226.94.90,65.6,66.6,65.75,65.65
123rf.com,108.158.32.55,146.0,148.0,146.2,146.0
123rf.com,18.172.112.10,148.0,149.0,148.2,148.0
123rf.com,13.226.94.83,66.4,67.3,66.49,66.4
123rf.com,13.226.94.6,68.6,69.1,68.68,68.6
123rf.com,13.227.74.17,1.48,2.62,1.7730000000000001,1.585
123rf.com,13.227.74.11,1.07,2.68,1.2879999999999998,1.1349999999999998
123rf.com,18.172.78.96,248.0,249.0,248.2,248.0
simplisafe.com,3.168.86.126,0.788,1.91,0.9359000000000002,0.834
simplisafe.com,13.35.93.91,68.6,69.8,68.72999999999999,68.6
simplisafe.com,3.168.86.87,0.78,0.865,0.8328999999999999,0.8385
simplisafe.com,18.66.147.129,148.0,149.0,148.1,148.0
simplisafe.com,3.164.92.127,68.2,68.9,68.32000000000001,68.3
simplisafe.com,18.239.69.116,141.0,141.0,141.0,141.0
simplisafe.com,3.167.56.83,67.7,67.9,67.76000000000002,67.75
simplisafe.com,3.168.86.6,0.75,0.834,0.7903,0.7855000000000001
simplisafe.com,3.168.86.126,0.835,1.52,0.9118999999999999,0.842
simplisafe.com,13.35.93.35,68.6,69.5,68.7,68.6
simplisafe.com,3.164.206.83,165.0,178.0,166.3,165.0
growthbook.io,13.227.74.65,1.11,1.84,1.1949999999999998,1.12
growthbook.io,13.227.74.65,1.09,1.27,1.141,1.1349999999999998
growthbook.io,13.33.30.31,171.0,172.0,171.2,171.0
growthbook.io,108.139.47.38,68.9,70.0,69.04,68.9
growthbook.io,13.227.74.9,1.43,2.0,1.5619999999999998,1.51
growthbook.io,13.227.219.109,137.0,137.0,137.0,137.0
growthbook.io,3.162.125.36,67.0,67.8,67.08,67.0
growthbook.io,18.245.96.63,66.1,67.4,66.31,66.2
growthbook.io,18.239.111.59,250.0,251.0,250.2,250.0
growthbook.io,143.204.215.89,150.0,151.0,150.6,151.0
growthbook.io,108.139.47.113,69.1,69.7,69.18,69.1
growthbook.io,108.158.20.74,146.0,147.0,146.8,147.0
growthbook.io,143.204.215.59,150.0,151.0,150.1,150.0
tn.com.ar,23.214.95.215,1.39,2.53,1.536,1.41
tn.com.ar,69.192.1.210,238.0,239.0,238.1,238.0
tn.com.ar,23.1.105.20,59.8,59.9,59.81999999999999,59.8
tn.com.ar,23.209.46.75,190.0,190.0,190.0,190.0
tn.com.ar,23.223.209.55,65.7,66.0,65.75000000000001,65.7
tn.com.ar,2.18.121.134,140.0,142.0,140.5,140.0
tn.com.ar,23.55.235.184,65.3,66.1,65.44,65.4
tn.com.ar,23.55.38.57,201.0,202.0,201.1,201.0
tn.com.ar,23.214.95.211,1.28,1.43,1.331,1.31
tn.com.ar,23.43.242.130,57.4,57.7,57.510000000000005,57.5
tn.com.ar,23.62.46.116,0.76,0.94,0.8214,0.8005
