website,cdn,min,max,mean,median
123rf.com,13.35.238.38,0.889,2.21,1.0532,0.9245000000000001
123rf.com,18.172.112.48,162.0,163.0,162.1,162.0
123rf.com,13.35.238.20,0.901,1.4,0.9914999999999997,0.961
123rf.com,18.239.36.20,163.0,164.0,163.1,163.0
123rf.com,18.245.96.110,386.0,387.0,386.1,386.0
123rf.com,18.160.10.79,237.0,237.0,237.0,237.0
123rf.com,13.226.94.90,225.0,227.0,225.2,225.0
123rf.com,108.158.32.55,94.9,96.3,95.08000000000001,94.95
123rf.com,18.172.112.10,158.0,159.0,158.1,158.0
123rf.com,13.226.94.83,227.0,229.0,227.2,227.0
123rf.com,13.226.94.6,220.0,220.0,220.0,220.0
123rf.com,13.227.74.17,169.0,169.0,169.0,169.0
123rf.com,13.227.74.11,174.0,175.0,174.1,174.0
123rf.com,18.172.78.96,62.4,63.5,62.57000000000001,62.5
simplisafe.com,65.9.112.22,208.0,209.0,208.1,208.0
simplisafe.com,13.35.93.91,283.0,285.0,283.2,283.0
simplisafe.com,3.168.86.87,171.0,172.0,171.1,171.0
simplisafe.com,18.66.147.129,172.0,173.0,172.1,172.0
simplisafe.com,3.164.92.127,247.0,247.0,247.0,247.0
simplisafe.com,18.239.69.116,167.0,167.0,167.0,167.0
simplisafe.com,3.167.56.83,234.0,234.0,234.0,234.0
simplisafe.com,3.168.86.6,179.0,180.0,179.1,179.0
simplisafe.com,3.168.86.126,165.0,165.0,165.0,165.0
simplisafe.com,13.35.93.35,289.0,290.0,289.1,289.0
simplisafe.com,3.164.206.83,190.0,190.0,190.0,190.0
growthbook.io,13.33.28.24,0.888,0.966,0.9335000000000001,0.9425
growthbook.io,13.227.74.65,174.0,180.0,174.7,174.0
growthbook.io,13.33.30.31,0.905,1.12,1.0074,1.0015
growthbook.io,108.139.47.38,221.0,222.0,221.1,221.0
growthbook.io,13.227.74.9,170.0,170.0,170.0,170.0
growthbook.io,13.227.219.109,179.0,179.0,179.0,179.0
growthbook.io,3.162.125.36,241.0,242.0,241.1,241.0
growthbook.io,18.245.96.63,241.0,242.0,241.1,241.0
growthbook.io,18.239.111.59,60.7,60.7,60.70000000000001,60.7
growthbook.io,143.204.215.89,156.0,158.0,157.0,157.0
growthbook.io,108.139.47.113,224.0,226.0,224.2,224.0
growthbook.io,108.158.20.74,95.2,95.9,95.32000000000001,95.3
growthbook.io,143.204.215.59,164.0,165.0,164.1,164.0
tn.com.ar,23.45.207.198,0.953,2.42,1.1196,0.98
tn.com.ar,69.192.1.210,37.2,38.5,37.339999999999996,37.2
tn.com.ar,23.1.105.20,226.0,226.0,226.0,226.0
tn.com.ar,23.209.46.75,0.847,1.39,0.9429000000000001,0.9105000000000001
tn.com.ar,23.223.209.55,246.0,246.0,246.0,246.0
tn.com.ar,2.18.121.134,162.0,163.0,162.1,162.0
tn.com.ar,23.55.235.184,294.0,295.0,294.1,294.0
tn.com.ar,23.55.38.57,93.3,94.0,93.41,93.3
tn.com.ar,23.214.95.211,233.0,233.0,233.0,233.0
tn.com.ar,23.43.242.130,396.0,396.0,396.0,396.0
tn.com.ar,23.62.46.116,233.0,233.0,233.0,233.0
tn.com.ar,2.16.164.97,158.0,159.0,158.1,158.0
narrative.io,3.165.82.124,0.89,1.06,0.9707000000000001,0.961
narrative.io,18.239.36.98,163.0,164.0,163.1,163.0
narrative.io,18.66.41.21,60.4,60.5,60.470000000000006,60.5
