website,cdn,min,max,mean,median
123rf.com,108.158.32.47,0.423,1.02,0.5347000000000001,0.4715
123rf.com,18.172.112.48,244.0,244.0,244.0,244.0
123rf.com,13.35.238.20,91.1,91.9,91.3,91.25
123rf.com,18.239.36.20,246.0,247.0,246.7,247.0
123rf.com,18.245.96.110,210.0,210.0,210.0,210.0
123rf.com,18.160.10.79,213.0,213.0,213.0,213.0
123rf.com,13.226.94.90,210.0,211.0,210.1,210.0
123rf.com,108.158.32.55,0.379,1.08,0.506,0.4505
123rf.com,18.172.112.10,256.0,257.0,256.1,256.0
123rf.com,13.226.94.83,208.0,209.0,208.1,208.0
123rf.com,13.226.94.6,207.0,208.0,207.1,207.0
123rf.com,13.227.74.17,144.0,144.0,144.0,144.0
123rf.com,13.227.74.11,144.0,144.0,144.0,144.0
123rf.com,18.172.78.96,154.0,155.0,154.1,154.0
simplisafe.com,3.168.86.126,143.0,143.0,143.0,143.0
simplisafe.com,13.35.93.91,210.0,211.0,210.1,210.0
simplisafe.com,3.168.86.87,143.0,143.0,143.0,143.0
simplisafe.com,18.66.147.129,262.0,263.0,262.1,262.0
simplisafe.com,3.164.92.127,209.0,209.0,209.0,209.0
simplisafe.com,18.239.69.116,248.0,248.0,248.0,248.0
simplisafe.com,3.167.56.83,215.0,215.0,215.0,215.0
simplisafe.com,3.168.86.6,143.0,143.0,143.0,143.0
simplisafe.com,3.168.86.126,143.0,143.0,143.0,143.0
simplisafe.com,13.35.93.35,208.0,209.0,208.6,209.0
simplisafe.com,3.164.206.83,269.0,269.0,269.0,269.0
growthbook.io,108.158.32.91,0.357,0.888,0.44460000000000005,0.394
growthbook.io,13.227.74.65,144.0,144.0,144.0,144.0
growthbook.io,13.33.30.31,92.0,92.2,92.03999999999999,92.0
growthbook.io,108.139.47.38,208.0,209.0,208.1,208.0
growthbook.io,13.227.74.9,143.0,144.0,143.9,144.0
growthbook.io,13.227.219.109,281.0,282.0,281.1,281.0
growthbook.io,3.162.125.36,214.0,215.0,214.2,214.0
growthbook.io,18.245.96.63,208.0,209.0,208.1,208.0
growthbook.io,18.239.111.59,274.0,274.0,274.0,274.0
growthbook.io,143.204.215.89,266.0,267.0,266.1,266.0
growthbook.io,108.139.47.113,208.0,209.0,208.3,208.0
growthbook.io,108.158.20.74,0.667,0.79,0.7221,0.7155
growthbook.io,143.204.215.59,267.0,268.0,267.1,267.0
tn.com.ar,23.40.52.141,0.294,1.1,0.45220000000000005,0.365
tn.com.ar,69.192.1.210,264.0,265.0,264.1,264.0
tn.com.ar,23.1.105.20,199.0,199.0,199.0,199.0
tn.com.ar,23.209.46.75,91.6,92.0,91.66,91.6
tn.com.ar,23.223.209.55,206.0,206.0,206.0,206.0
tn.com.ar,2.18.121.134,247.0,248.0,247.1,247.0
tn.com.ar,23.55.235.184,207.0,208.0,207.2,207.0
tn.com.ar,23.55.38.57,0.378,0.715,0.4729,0.4285
tn.com.ar,23.214.95.211,181.0,181.0,181.0,181.0
tn.com.ar,23.43.242.130,202.0,202.0,202.0,202.0
tn.com.ar,23.62.46.116,143.0,143.0,143.0,143.0
tn.com.ar,2.16.164.97,271.0,272.0,271.1,271.0
narrative.io,18.65.244.112,0.403,0.588,0.4657,0.4435
narrative.io,18.239.36.98,246.0,247.0,246.1,246.0
narrative.io,18.66.41.21,153.0,153.0,153.0,153.0
narrative.io,18.164.96.36,208.0,208.0,208.0,208.0
narrative.io,18.245.46.12,244.0,244.0,244.0,244.0
narrative.io,13.227.74.44,144.0,144.0,144.0,144.0
narrative.io,13.227.74.76,144.0,144.0,144.0,144.0
narrative.io,18.164.96.98,208.0,209.0,208.1,208.0
narrative.io,18.67.39.8,208.0,208.0,208.0,208.0
narrative.io,18.65.244.95,0.392,0.508,0.4519,0.4445
narrative.io,18.245.46.121,246.0,246.0,246.0,246.0
narrative.io,3.165.82.51,91.8,92.6,91.88999999999999,91.8
narrative.io,18.154.227.128,210.0,210.0,210.0,210.0
lookout.com,108.158.32.71,0.345,0.849,0.4391999999999999,0.384
lookout.com,18.67.93.32,0.867,1.26,0.9459000000000002,0.896
lookout.com,18.172.64.118,265.0,265.0,265.0,265.0
lookout.com,18.239.199.14,143.0,143.0,143.0,143.0
lookout.com,13.35.238.59,92.0,92.7,92.14000000000001,92.1
lookout.com,18.164.96.34,208.0,209.0,208.2,208.0
lookout.com,13.227.219.13,262.0,263.0,262.6,263.0
lookout.com,18.164.96.57,207.0,207.0,207.0,207.0
lookout.com,18.239.199.62,143.0,143.0,143.0,143.0
lookout.com,108.138.85.17,213.0,214.0,213.1,213.0
lookout.com,18.173.205.22,255.0,255.0,255.0,255.0
lookout.com,18.173.205.68,244.0,245.0,244.5,244.5
lookout.com,18.67.39.47,210.0,210.0,210.0,210.0
lidl.com,104.68.26.196,0.303,0.849,0.38370000000000004,0.326
lidl.com,173.222.140.155,209.0,210.0,209.1,209.0
lidl.com,104.68.26.196,0.297,0.448,0.35889999999999994,0.345
lidl.com,23.223.130.107,202.0,202.0,202.0,202.0
lidl.com,23.197.145.98,266.0,266.0,266.0,266.0
lidl.com,23.204.9.21,206.0,206.0,206.0,206.0
lidl.com,23.77.18.120,120.0,120.0,120.0,120.0
lidl.com,23.56.204.188,280.0,280.0,280.0,280.0
lidl.com,184.26.181.155,202.0,203.0,202.1,202.0
lidl.com,104.114.94.102,129.0,129.0,129.0,129.0
lidl.com,23.59.199.80,143.0,144.0,143.1,143.0
lidl.com,104.103.246.96,256.0,256.0,256.0,256.0
manyvids.com,108.158.32.105,0.297,0.48,0.39149999999999996,0.3955
manyvids.com,18.67.17.92,209.0,209.0,209.0,209.0
manyvids.com,108.158.20.60,0.805,1.54,0.9561,0.854
manyvids.com,3.168.73.41,207.0,208.0,207.2,207.0
manyvids.com,18.66.57.30,156.0,157.0,156.9,157.0
manyvids.com,3.168.73.120,209.0,209.0,209.0,209.0
manyvids.com,13.33.187.55,283.0,284.0,283.9,284.0
manyvids.com,108.157.254.65,91.1,91.9,91.23,91.2
manyvids.com,3.168.86.9,142.0,143.0,142.7,143.0
manyvids.com,18.238.243.77,258.0,259.0,258.1,258.0
nykaa.com,18.67.110.124,0.808,1.21,0.9385,0.913
nykaa.com,18.238.49.64,208.0,209.0,208.1,208.0
nykaa.com,18.238.49.106,207.0,209.0,207.3,207.0
nykaa.com,18.238.49.91,209.0,210.0,209.1,209.0
nykaa.com,143.204.215.13,268.0,269.0,268.1,268.0
nykaa.com,108.156.60.26,250.0,250.0,250.0,250.0
nykaa.com,108.138.7.84,256.0,256.0,256.0,256.0
nykaa.com,99.84.238.157,143.0,143.0,143.0,143.0
nykaa.com,13.33.88.71,91.9,92.6,92.05,92.0
nykaa.com,99.84.238.127,143.0,143.0,143.0,143.0
nykaa.com,18.245.96.34,208.0,208.0,208.0,208.0
nykaa.com,108.158.46.19,263.0,264.0,263.2,263.0
nykaa.com,108.138.64.72,213.0,213.0,213.0,213.0
nykaa.com,18.67.110.11,0.807,1.41,0.9626000000000001,0.9145000000000001
company.site,3.168.86.117,143.0,143.0,143.0,143.0
company.site,3.168.86.117,143.0,143.0,143.0,143.0
company.site,18.173.219.39,207.0,208.0,207.1,207.0
company.site,3.168.86.77,143.0,143.0,143.0,143.0
company.site,18.67.76.29,210.0,237.0,213.7,210.0
company.site,52.222.214.97,245.0,246.0,245.1,245.0
company.site,52.222.214.14,255.0,255.0,255.0,255.0
company.site,108.156.22.39,270.0,271.0,270.1,270.0
company.site,3.168.86.69,142.0,143.0,142.4,142.0
company.site,18.239.50.12,258.0,258.0,258.0,258.0
company.site,108.156.22.41,282.0,283.0,282.4,282.0
company.site,3.164.92.26,210.0,211.0,210.1,210.0
company.site,18.173.219.123,207.0,208.0,207.1,207.0
reserved.com,23.48.247.239,0.324,0.447,0.3785,0.3705
reserved.com,2.21.67.16,255.0,256.0,255.2,255.0
reserved.com,2.21.20.13,280.0,280.0,280.0,280.0
reserved.com,23.11.215.144,259.0,259.0,259.0,259.0
reserved.com,23.216.149.137,143.0,143.0,143.0,143.0
reserved.com,95.101.74.67,265.0,266.0,265.1,265.0
reserved.com,23.208.29.162,0.412,0.876,0.5319,0.449
reserved.com,23.49.248.31,206.0,206.0,206.0,206.0
reserved.com,23.32.29.9,91.7,92.1,91.83999999999999,91.8
reserved.com,23.216.149.145,143.0,143.0,143.0,143.0
reserved.com,23.205.255.228,199.0,199.0,199.0,199.0
reserved.com,23.48.105.17,199.0,199.0,199.0,199.0
expressvpn.com,18.65.244.47,0.342,0.514,0.4311,0.432
expressvpn.com,65.9.66.123,268.0,269.0,268.1,268.0
expressvpn.com,108.139.10.17,143.0,143.0,143.0,143.0
expressvpn.com,18.65.244.82,0.41,1.02,0.48529999999999995,0.4285
expressvpn.com,18.239.18.75,258.0,258.0,258.0,258.0
expressvpn.com,13.226.94.129,208.0,209.0,208.1,208.0
expressvpn.com,18.172.78.78,267.0,267.0,267.0,267.0
expressvpn.com,13.226.94.52,208.0,208.0,208.0,208.0
expressvpn.com,108.139.10.101,143.0,143.0,143.0,143.0
expressvpn.com,99.84.191.77,213.0,214.0,213.1,213.0
expressvpn.com,13.35.210.110,92.0,92.7,92.1,92.0
expressvpn.com,13.33.165.126,208.0,208.0,208.0,208.0
maurices.com,23.48.247.243,0.334,0.795,0.4102,0.3585
maurices.com,23.49.248.29,206.0,206.0,206.0,206.0
maurices.com,23.32.29.17,92.0,92.2,92.14000000000001,92.15
maurices.com,2.21.20.10,281.0,282.0,281.1,281.0
maurices.com,23.11.215.153,253.0,254.0,253.1,253.0
maurices.com,23.206.243.41,0.361,0.755,0.471,0.4485
maurices.com,23.44.111.73,206.0,207.0,206.4,206.0
maurices.com,2.19.248.81,246.0,247.0,246.1,246.0
maurices.com,23.205.255.228,199.0,199.0,199.0,199.0
maurices.com,23.48.105.11,197.0,197.0,197.0,197.0
maurices.com,23.49.248.25,207.0,207.0,207.0,207.0
maurices.com,95.101.74.112,247.0,248.0,247.1,247.0
maurices.com,23.216.149.144,143.0,144.0,143.1,143.0
maurices.com,23.216.149.141,143.0,143.0,143.0,143.0
domestika.org,108.158.32.56,0.362,0.834,0.45339999999999997,0.4185
domestika.org,13.35.121.82,143.0,143.0,143.0,143.0
domestika.org,18.238.80.66,209.0,210.0,209.1,209.0
domestika.org,108.158.32.62,0.447,1.0,0.5537000000000001,0.499
domestika.org,108.138.64.109,213.0,213.0,213.0,213.0
domestika.org,3.165.102.43,92.5,93.2,92.64,92.6
domestika.org,18.245.31.126,267.0,268.0,267.1,267.0
domestika.org,18.239.111.121,264.0,264.0,264.0,264.0
domestika.org,3.164.92.37,209.0,210.0,209.1,209.0
domestika.org,18.238.80.122,210.0,211.0,210.1,210.0
domestika.org,13.35.121.53,143.0,143.0,143.0,143.0
domestika.org,18.239.83.114,247.0,247.0,247.0,247.0
certalicup.com,3.168.86.34,143.0,143.0,143.0,143.0
certalicup.com,108.139.29.97,207.0,208.0,207.1,207.0
certalicup.com,18.67.39.106,209.0,209.0,209.0,209.0
certalicup.com,99.86.229.107,213.0,213.0,213.0,213.0
certalicup.com,108.139.29.78,207.0,208.0,207.7,208.0
certalicup.com,3.168.86.111,143.0,143.0,143.0,143.0
