website,cdn,min,max,mean,median
facebook.com,31.13.65.36,15.85,24.636,19.782600000000002,19.287
facebook.com,157.240.237.35,267.169,376.802,324.73128571428566,334.551
facebook.com,157.240.252.35,136.925,173.704,155.8443,155.873
facebook.com,157.240.22.35,65.771,72.027,69.3446,70.1195
facebook.com,157.240.241.35,18.542,24.081,21.304,21.555
facebook.com,157.240.247.35,165.89,207.605,185.84529999999998,184.245
facebook.com,31.13.71.36,17.032,26.107,21.7544,22.043
facebook.com,157.240.221.35,88.346,96.431,91.965,91.77850000000001
facebook.com,31.13.66.35,14.652,21.132,18.483099999999997,18.6555
facebook.com,157.240.235.35,272.526,459.597,340.0756,325.6785
facebook.com,31.13.80.36,37.894,70.914,48.1006,42.914500000000004
facebook.com,157.240.8.35,225.842,315.971,252.6212,243.67649999999998
instagram.com,31.13.65.174,16.398,45.817,27.378777777777778,21.434
instagram.com,31.13.66.174,12.872,22.594,17.3555,17.624499999999998
instagram.com,31.13.80.174,39.05,67.81,43.7617,41.2745
instagram.com,157.240.8.174,226.423,335.37,281.3147,280.4565
instagram.com,157.240.214.174,90.195,93.883,91.7787,91.576
instagram.com,157.240.22.174,65.812,71.97,68.8925,68.53299999999999
instagram.com,157.240.237.174,256.985,458.112,315.9631111111111,313.864
instagram.com,157.240.241.174,17.129,28.376,22.166999999999998,22.137
instagram.com,157.240.235.174,257.561,504.279,342.50424999999996,330.1305
instagram.com,157.240.0.174,173.374,306.734,226.2246,209.4425
instagram.com,157.240.247.174,207.522,339.744,257.46433333333334,235.656
fbcdn.net,31.13.65.36,16.22,25.465,20.062900000000003,19.692999999999998
fbcdn.net,157.240.237.35,287.469,365.715,324.4395714285714,322.362
fbcdn.net,157.240.22.35,66.089,81.375,71.95530000000001,71.35249999999999
fbcdn.net,157.240.241.35,18.043,26.37,21.775599999999997,21.799
fbcdn.net,157.240.247.35,197.941,319.162,241.5511,229.70100000000002
fbcdn.net,31.13.71.36,16.965,25.653,20.5997,20.594
fbcdn.net,157.240.235.35,253.5,337.355,277.9578,262.5385
fbcdn.net,31.13.66.35,14.166,21.064,18.9419,19.957500000000003
fbcdn.net,31.13.80.36,36.592,41.451,38.7568,38.8645
fbcdn.net,157.240.253.35,182.629,308.102,217.8947,202.561
fbcdn.net,157.240.214.35,89.189,95.915,93.4811,93.6
fbcdn.net,157.240.8.35,230.376,336.766,289.2421,292.3535
whatsapp.net,31.13.65.49,19.466,22.665,20.755599999999998,20.572499999999998
whatsapp.net,157.240.22.53,67.182,73.237,70.62039999999999,70.96
whatsapp.net,157.240.241.60,16.928,24.417,21.729899999999997,21.700499999999998
whatsapp.net,157.240.0.60,173.199,329.383,228.698,222.4745
whatsapp.net,31.13.71.49,16.535,23.781,21.218700000000002,22.214
whatsapp.net,157.240.235.60,241.172,352.09,283.50374999999997,278.028
whatsapp.net,157.240.8.53,251.987,437.984,316.4434444444444,291.165
whatsapp.net,157.240.237.60,239.128,261.518,245.489625,244.156
whatsapp.net,157.240.201.60,213.327,311.315,249.78900000000002,230.479
whatsapp.net,31.13.80.53,35.917,45.486,41.54559999999999,42.2305
whatsapp.net,157.240.229.60,13.402,19.293,16.628700000000002,16.576500000000003
whatsapp.net,157.240.214.60,89.395,94.847,91.5874,91.7205
appsflyersdk.com,18.244.202.34,14.188,21.035,18.268,19.195
appsflyersdk.com,13.227.254.70,255.713,355.85,311.0007,311.66650000000004
appsflyersdk.com,18.164.124.109,19.209,25.757,21.8725,21.3305
appsflyersdk.com,108.158.20.81,228.02,327.807,276.38120000000004,270.245
appsflyersdk.com,18.164.124.45,19.188,25.255,23.375500000000002,24.371000000000002
appsflyersdk.com,13.227.219.129,101.805,205.272,115.33810000000001,105.557
appsflyersdk.com,18.245.96.68,37.324,45.531,41.3037,41.2565
appsflyersdk.com,18.173.121.93,67.836,72.765,70.11200000000001,70.2955
appsflyersdk.com,108.159.80.97,270.941,372.319,321.4346,325.786
appsflyersdk.com,18.173.121.98,65.728,72.957,69.81099999999999,69.79249999999999
appsflyersdk.com,18.244.18.116,159.318,262.786,196.18619999999999,193.147
appsflyersdk.com,52.85.151.92,11.854,18.185,16.585900000000002,17.1505
