website,cdn_first,min,max,mean,median_first,cdn_min_median,median_min_median,diff,CDNChoiceGood
20minutos.es,18.165.140.104,180.0,180.0,180.0,180.0,13.32.121.100,156.0,24.0,False
3lift.com,13.35.238.94,0.862,1.61,0.9536,0.885,13.35.238.94,0.885,0.0,True
a-mo.net,52.85.49.48,187.0,188.0,187.1,187.0,3.160.150.11,158.0,29.0,False
aajtak.in,23.52.171.105,0.477,0.777,0.5643,0.5205,23.52.171.129,0.5175000000000001,0.0029999999999998916,False
abc.net.au,104.83.196.95,0.83,1.43,0.9699,0.911,104.83.196.95,0.911,0.0,True
aboutads.info,13.35.210.79,0.853,1.41,0.9313,0.8734999999999999,13.35.210.26,0.837,0.03649999999999998,False
abplive.com,23.52.171.137,0.487,0.997,0.5868,0.516,23.52.171.137,0.516,0.0,True
academia.edu,108.157.254.49,0.846,1.77,0.9635,0.8734999999999999,108.157.254.49,0.8734999999999999,0.0,True
accuweather.com,23.203.73.247,0.804,1.74,1.0905999999999998,0.865,23.203.73.247,0.8485,0.01649999999999996,True
ad.nl,23.59.168.131,0.521,0.938,0.575,0.5325,23.59.168.131,0.5325,0.0,True
adentifi.com,13.227.254.108,1.41,2.16,1.525,1.455,13.35.238.75,0.8805000000000001,0.5745,False
admanmedia.com,23.50.81.117,0.833,0.974,0.8655999999999999,0.855,23.50.81.117,0.855,0.0,True
adobe.com,42.99.140.137,0.976,1.04,1.0216,1.03,184.28.235.169,0.8434999999999999,0.1865000000000001,False
adsafeprotected.com,52.84.45.31,137.0,137.0,137.0,137.0,52.84.45.31,137.0,0.0,True
aka.ms,184.25.222.17,0.832,1.87,0.9732,0.868,184.25.222.17,0.868,0.0,True
akamai.com,23.215.7.9,0.847,1.44,0.9379,0.876,23.215.7.17,0.8605,0.015499999999999958,False
amarujala.com,3.165.82.105,0.893,2.83,1.2334,0.959,3.165.82.94,0.942,0.017000000000000015,False
amazontrust.com,108.156.133.117,0.862,1.41,0.9387,0.879,108.156.133.117,0.879,0.0,True
amazonvideo.com,13.35.238.85,0.811,6.11,1.4233,0.825,13.35.238.85,0.825,0.0,True
amd.com,104.83.196.87,0.989,2.01,1.1539,1.07,104.83.196.87,1.03,0.040000000000000036,True
americanexpress.com,118.215.83.54,0.836,1.86,0.9645,0.8714999999999999,118.215.83.54,0.8714999999999999,0.0,True
aniview.com,99.84.191.116,229.0,230.0,229.1,229.0,99.84.191.116,229.0,0.0,True
anydesk.com,3.165.82.54,0.852,1.48,0.9673,0.9265,3.165.82.54,0.9245,0.0020000000000000018,True
app.link,13.35.210.32,0.874,2.05,1.025,0.9115,13.35.210.5,0.905,0.00649999999999995,False
apple.news,23.50.90.230,0.797,0.853,0.8256999999999998,0.826,23.50.90.230,0.826,0.0,True
appsflyersdk.com,13.227.254.103,1.37,2.32,1.507,1.42,13.227.254.70,1.4,0.020000000000000018,False
argos.co.uk,23.52.40.73,0.898,1.71,1.0115,0.937,23.52.40.73,0.937,0.0,True
as.com,72.247.127.193,0.463,1.56,0.6099000000000001,0.497,72.247.127.193,0.497,0.0,True
atlassian.com,3.165.102.120,0.854,0.945,0.9041,0.91,3.165.102.102,0.84,0.07000000000000006,False
avast.com,23.54.57.104,0.76,0.829,0.8015000000000001,0.8115,23.54.57.104,0.8115,0.0,True
bestbuy.com,23.207.180.175,0.479,0.537,0.505,0.502,23.207.180.175,0.502,0.0,True
biblegateway.com,108.156.133.84,0.821,1.43,0.9153,0.8514999999999999,108.156.133.84,0.8514999999999999,0.0,True
bikewale.com,13.33.28.94,0.862,1.35,0.9354,0.889,13.33.30.21,0.86,0.029000000000000026,False
bmj.com,13.35.210.49,0.849,1.76,0.9524,0.8625,13.35.210.49,0.8625,0.0,True
